Record_ID,Date,Regulatory_Fine_Frequency,Data_Privacy_Breach_Incidents,Compliance_Audit_Pass_Rate,Customer_Data_Consent_Rate,Spectrum_Licensing_Compliance,Emergency_Service_Response_Time_Minutes,Regulatory_Reporting_Accuracy,Fair_Usage_Policy_Violation_Rate
99f7eda1-d3a9-4ff2-81ab-8dbd05254a95,2025-10-17,1,0,94.73,80.34,99.41,9.7,98.87,2
c50735c2-0fb7-4a1b-906f-d72d9a006cb2,2025-08-15,2,1,92.39,88.79,97.15,7.4,99.7,4.19
84b3a695-e713-4278-8b52-c27268b1f952,2026-04-16,1,1,99.93,85.61,97.93,2.5,90.25,1.91
9a68baa2-2f55-4330-aaf0-81eeda272609,2026-06-06,2,0,90.72,87.85,95.4,5.7,97.11,1.98
75b003d7-f206-432c-ac7c-46d6d357a26d,2026-01-09,1,1,99.14,85.03,98.24,6.8,95.23,1.67
890f3426-83a6-4580-af61-af1448d548e6,2025-11-10,1,0,94.26,91.38,95.25,9,90.42,3.06
66818267-20e3-49cb-85b9-967dad1a1077,2026-01-12,1,2,97.37,94.24,97.01,8.2,97.04,1.53
6387c44c-a0f5-4ca6-9fe5-6a8c2aa565c5,2025-11-23,1,0,90.41,88.77,95.49,7.6,96.07,2.05
d6719fdd-a262-4bb5-aaa9-750fc6892d96,2025-11-16,1,2,95.4,92.79,98.84,3.6,93.75,0.65
9deaf8b5-8f42-4954-9bd7-539dcf839914,2025-10-02,0,2,97.97,85.25,95.47,7,97.99,1.6
a3210ecf-fff1-427b-8b9e-0d78f45f57ad,2026-06-21,3,1,94.58,82.65,96.06,7.8,90.21,1.66
2310f4bd-5d3e-4c4a-aa3f-72ab8679fa9f,2025-10-07,1,0,95.18,86,96,2.2,99.36,3.87
0a3771fe-ede5-433b-84c3-7850344da737,2026-04-08,3,1,97.93,87.66,98.05,4.1,95.48,4.72
28ee1675-563c-4e3b-8885-1266cc41b731,2025-08-06,1,0,90.6,93.39,98.05,9,92.29,4.4
6a65a04e-6aab-4e73-9b83-f5341225ff76,2025-11-03,2,2,94.45,97.61,96.64,2.8,94.36,3.22
9452b853-2d36-4035-b3e9-41e9a948ff24,2025-10-30,3,1,93.53,86.58,97.21,8.5,98.15,4.11
e3f6176e-8f5f-4234-bec9-9db131abd97a,2026-03-13,1,1,93.79,82.17,98.62,9.9,91.54,3.48
01199e76-b477-4551-9971-2b830eb3d56b,2026-06-20,0,1,92.13,92.8,96.27,5.9,92.3,0.61
8c0d7228-5315-41ba-b5b9-770332a22623,2026-01-14,1,2,91.12,86.8,96.09,7.5,93.82,3.65
08d1b84e-574b-4fd3-a0a7-114b71e846a6,2026-02-15,2,2,95.23,89.9,96.16,5.9,98.6,2.07
76d3e810-48a0-4a95-828a-63229e0fb6bc,2025-11-10,1,2,92.81,97.01,97.47,7.7,94.23,3.4
ba0fcbfa-66c3-42d3-a4ce-0ab205af3c63,2025-12-09,1,2,98.9,80.37,96.8,2,96.1,1.08
7481dc07-a30d-4cab-bd1b-be36aadf0101,2025-11-02,3,1,97.31,87.55,96.23,1.3,91.45,3.87
5460bcfe-0ebe-4e27-90e8-b373a19a2b82,2025-10-06,0,1,93.58,87.89,96.25,7.8,92.36,3.23
289c42f8-bec9-4c0b-b0ef-00132e400b02,2026-03-12,1,0,99.15,98.07,96.14,3.7,91.46,4.38
7d553efc-faef-42e9-ae50-d5487a26f7c9,2026-04-01,2,2,98.49,94.7,95.8,6.3,92.8,1.35
3b048906-aa4a-484d-b3a4-b433d1de3382,2025-08-12,0,0,91.59,80.95,99.1,1,95.74,1.12
2b87b6e3-897d-488e-b52a-b83c041f39d4,2025-07-27,3,1,91.45,85.46,97.54,4.7,99.14,4.08
7e8e5244-3236-4086-b530-093ecf895dda,2025-10-22,2,0,95.47,90.01,98.2,8.1,94.7,1.72
4bee34e0-a0c8-437f-92e6-2f5e12766ae2,2026-02-04,3,2,91.52,94.38,96.03,8.8,97.86,2.48
30daf6f9-a578-482e-9bbc-a57b9e384059,2026-04-21,1,0,99,82.43,99.3,5,93.03,0.67
df2d4a62-004c-4b83-a984-61356efa5c3c,2025-12-28,2,1,93.97,92.8,98.12,3.8,94.15,2.55
b23fbb42-c3c6-41e7-9389-6c9efaf1f9e4,2025-11-10,0,1,97.04,90.43,95.98,7.6,98.44,2.34
cf90685e-911d-43e7-80fa-05992085ad29,2026-03-10,2,1,90.94,93.56,95.42,6.6,90.85,2.61
6107bdbb-c377-4224-af57-b60ffee7180f,2026-05-24,2,0,94.88,81.72,99.55,5.2,90.18,1.68
d64d1cfd-7c01-4901-b1fe-b92023cbed34,2026-01-27,2,2,97.58,96.82,98.99,4.5,96.74,2.11
9f89a7dc-9079-4640-9747-af231270d3ae,2025-11-13,3,1,97.31,86.94,98.57,2.3,98.32,4.83
8ad270cf-5e59-4ebd-8437-68d5ab22fa77,2026-01-22,2,2,96.82,91.99,96.17,2.7,94.32,0.75
a9b401a5-708e-4416-8d4e-930d51c51f80,2026-06-14,2,1,92.79,96.23,98.26,6.8,90.86,2.6
e25b377c-0b46-49b2-b742-720ff9da2105,2025-11-11,2,2,93.72,81.85,99.49,9,94.7,4.71
fdc96b31-243a-4c4a-8128-ada871e3139f,2026-06-04,1,2,92.19,92.01,99.69,7.4,90.6,1.99
ef96e380-62e9-44b9-baf0-479987a546b0,2026-02-22,0,2,94.34,85,98.81,1.9,90.61,1.95
88bf63dd-f029-4c6f-ad2d-c72697e65d23,2026-03-31,2,0,90.85,98.81,97.99,6.4,91.96,3.56
3d76b9f9-e174-4842-b700-5de333002237,2026-06-28,1,1,97.14,93.17,96.99,9.4,95.68,3.58
6721ea2d-a883-47e8-9b73-4b253a7ec9c7,2026-04-06,2,1,93.79,88.31,98.68,5.2,95.51,2.34
db3ae191-f9a5-40d3-9fc6-831f6d517170,2026-07-05,2,0,93.4,94.77,95.79,8.5,95.42,1.61
17228c6d-e01c-4de2-b0f1-173cf96f989a,2025-10-26,1,2,98.53,94.12,96.08,1.1,90.08,2.66
b0fd6766-11c3-4f1d-bfe5-4a7ca21afc29,2026-04-20,2,0,93.19,83.09,98.34,3.2,94.18,4.71
ffd68c7d-c4fd-4724-b123-dcd0adf49719,2025-10-30,2,0,91.68,96.38,96.35,9.2,92.94,1.42
78334bc6-defd-432e-b57b-c1fd4a0e4230,2026-05-22,3,2,97.86,94.37,95.63,1.4,95.71,3.45
392947c9-bcd2-45f5-b731-5f80ffb95457,2025-11-25,1,2,92.19,90.17,96.83,5.6,95.5,4.27
f4c1c8ac-8c8b-48f3-890f-57d5fdb91b54,2025-10-17,1,2,94.7,85.74,96.85,8.4,92.36,1.38
18c14a51-6442-4aaa-a9ff-055268de56e4,2025-12-20,1,1,95.1,95.61,96.22,6.4,98.43,3.38
a627416c-af60-496e-a13a-35de3b805474,2026-05-24,0,2,94.04,83.7,96.15,7,98.83,3.68
b0b76ad0-6240-480e-8aaf-656496266d7f,2025-08-15,2,1,95.11,84.34,99,4.8,94.7,1.09
1751152c-64e9-4776-834b-0931ed0fbcb7,2025-10-27,1,1,94.69,95.06,98.95,7.4,92.15,1.26
0c14f18e-a6c7-4f3d-b316-a89bb5f95edb,2025-11-23,1,1,98.31,90.66,96.89,2.7,93.46,1.17
71f7d1cc-3e2a-4efa-a77a-186f87ac0ba3,2025-12-23,1,0,96.41,86.63,95.21,2.1,94.76,2.31
2181bf79-25f7-4501-9deb-7ee5c2c234a0,2026-05-10,2,0,91.96,80.58,98.79,2.1,91.43,3.84
93061516-3338-4f89-b4cd-2aea826734c9,2026-01-03,0,2,95.63,87.52,97.95,5,99.61,3.91
9c80370e-2a3f-4322-a2c6-4943b44ee63a,2026-01-06,1,0,98.49,91.15,95.49,2.7,94.55,0.22
2208d132-5371-4550-a87a-044ac60f42af,2026-06-26,1,0,93.72,89.31,95.91,4.1,98.08,4.03
9fe0e411-aa76-4e1f-9957-77cbb1edfda3,2025-09-06,2,0,93.95,81.12,99.24,1.9,90.31,3.15
f08b2e5a-9e07-45f3-bfe0-459abac229c3,2025-11-27,1,2,97.53,93.79,99.25,5.7,99.96,2.33
4796cf1b-899c-49bc-8ed1-48c13b502621,2026-03-15,3,1,92.39,91.32,95.45,5.4,96.46,1.26
5374ca19-9085-4e75-b571-70b665209068,2026-03-17,2,1,98.06,92.6,97.53,9.1,90.02,1.67
c1ce790b-3922-4d1c-a5f9-f96498828b1e,2025-12-23,1,1,92.07,90.49,96.31,2.5,97.92,2.35
a9840505-2978-40a4-9452-b65747089499,2026-05-20,3,2,99.84,84.06,99.44,3,94.86,0.36
6780807c-6f17-4e57-a1ca-b70a497d1ebb,2026-01-06,1,1,90.82,86.91,96.33,6.8,99.17,1.92
01573f63-c5fe-4dba-b4e6-c9a82989c9b8,2025-12-20,1,0,97.8,90.01,99.72,7.6,92.83,0.15
a9dad8b5-3b08-4931-9945-f6825b515953,2026-06-03,0,2,97.77,82.5,98.1,2.9,95.75,3.4
2fcec4ee-5276-4f44-ac8a-850492e78ea6,2025-08-05,3,0,98.33,86.72,96.4,3.3,91.5,1.78
d956b8e9-9c63-4883-8cae-91c9d6af67ad,2026-02-06,0,1,98.19,96.56,96.56,9.9,92.09,3.71
33050590-b2d6-46cc-8439-3d275ab97e12,2026-01-06,1,1,98.41,90.24,98.04,5.3,98.6,0.66
bfc9a5ee-18a2-4be4-8e8a-05c65227b878,2026-03-16,0,1,96.4,94.96,98.89,4.8,95.24,2.03
0d42404a-4b63-4419-a866-cba5caab0d3f,2025-10-01,0,1,94.19,98.02,98.4,2.9,97.71,2.45
32209b88-6e37-4d07-a987-d6558e83d27d,2025-08-22,1,2,96.51,92.46,95.55,9.7,91.92,1.58
b18bafb0-d3a1-44d3-9610-c326a43c3546,2026-04-08,0,1,99.91,94.93,96.65,5.7,99.19,0.58
bf93293b-d5ae-44a8-96dd-a152c6483c68,2025-10-19,0,1,92.83,90.93,99.61,5.2,97.67,4.03
c8d43a5d-f3b6-4a28-b950-f971b3c2613c,2025-09-20,2,1,99.95,97.56,96.27,4.3,93.61,1.17
d9b57dac-db7a-49fd-9f34-5f3acde53967,2025-12-27,1,2,98.38,80.33,96.26,4.9,90.42,4.67
3987b68f-85db-4b0f-967c-c3aceee9eb4e,2026-04-14,1,1,93.16,98.73,98.76,7,99.51,1.42
09f60838-697d-40e2-9eb9-c09cc841ee91,2026-01-14,2,2,97.98,80.25,99.86,9.2,97.61,2.12
604c2bf7-db8d-42c4-8a16-641f2568cdcc,2025-07-25,1,1,96.72,80.55,97.4,9.7,91.52,4.58
fd9f3f41-1e59-49e8-a5fb-63207b9bb096,2025-08-08,1,1,93.62,84.36,95.1,2.9,92.14,2.69
42adc80d-3edd-4da8-b7ad-1914f211e499,2025-08-04,3,0,94.66,80.98,98.4,5.6,95.13,1.17
835bf940-ce6f-40cd-ae0f-8f4f9c5ed08c,2025-07-31,0,0,96.59,86.45,97.78,6.9,92.74,3.94
5db734a7-b66e-433f-9855-787f8ec64d86,2026-01-11,3,1,91.4,94.46,95.51,6.1,93.51,4.31
326e37b4-a5a3-47bb-849c-57a947357459,2026-02-10,3,1,99.38,87.81,97,4.3,98.93,2.93
84a900e5-aac6-4cb1-987d-98ff71aec34b,2026-01-14,3,2,95.98,81.61,95.53,8,98.45,0.54
5421b72d-9d2b-447a-8c2c-4eca7b5ad10e,2026-04-10,1,1,95.98,91.93,96.77,4.1,91.26,1.15
df298794-b54b-43b1-9cca-05123995b87a,2025-10-13,3,0,98.52,94.97,95.01,9.4,90.26,1.91
169e169d-7762-46ee-b7d1-358d804ac99e,2025-11-11,2,1,96.91,88.62,98.99,9.4,90.82,4.5
b4f89e2f-1d3a-40d6-a9e7-ed6af3b7fc28,2026-03-04,1,2,91.49,83.79,97.61,9.9,99.78,2.19
afe707ad-13d3-4ba4-b643-584d3348c939,2026-01-25,1,1,91.18,84.17,96.91,2,99.11,1.97
c238bbfb-a28d-4dc2-96ce-f07f997f1dca,2025-09-11,3,1,98,88.05,97.31,4.1,97.97,1.05
16018df4-8a60-4db6-8c02-75bdc4c61fef,2026-02-24,3,1,92.02,96.24,98.29,5.7,97.34,0.58
8542f66f-0adf-4c09-9801-89892e806469,2026-06-16,2,1,90.03,97.95,98.84,8.5,97.82,2.14
9d5f6915-5c08-499e-86d9-269cee57e178,2025-11-28,0,0,98.98,91.87,97.83,1.6,91.25,4.45
931073c7-4a52-4283-b55b-63c27716a613,2026-01-23,1,1,92.47,86.24,99.7,9.6,92.1,1.81
5e98b595-21ee-4707-b893-ec39c0f36359,2026-03-21,2,1,92.03,86.39,99.25,9.1,91.42,2.85
1adb0a15-b847-485c-b621-61c51f347fbc,2025-09-07,3,2,97.51,86.84,95.65,2.7,99.2,1.77
275d4fa8-3a19-4758-9e56-87de70f5bf1a,2025-10-16,0,2,92.64,87,95.38,9.5,93.14,3.2
1f1684d1-1f93-4ff2-b98e-7263a5554e2b,2025-10-23,3,1,94.44,80.39,95.22,2.2,94.6,4.64
1efa77e7-6623-40a1-b3c2-702c60971288,2025-10-18,1,2,98.46,83.44,99.26,1.7,93.97,4.71
1245045d-a01e-426d-87ae-e2b3f08fa35a,2025-09-26,1,2,96.92,85.39,96.35,1.7,93.78,4.61
e9fb8c4e-52aa-447c-b3a9-1d573c104316,2026-05-28,1,1,91.92,92.56,99.78,7.9,98.61,1.68
3dbfea38-bcaf-433d-ad91-85151d62da76,2025-08-20,3,1,95.18,94.8,99.09,1.4,98.58,1.27
123cecff-d39c-4b0e-960b-1d0ecd2bd231,2025-11-30,2,1,98.03,85.99,95.98,9.4,90.18,1.01
a076a5b9-1637-4928-8662-ef538127ff1d,2025-08-13,0,0,97.87,91.74,99.64,8.4,95.52,0.1
fde745a1-6d1c-4e14-a575-7006495525a6,2025-10-30,1,2,91.46,89.24,99.65,5.3,95.69,1.71
81c2e8f0-7e86-46c0-a9a8-ffef93b9876d,2025-08-10,0,1,99.27,93.44,95.77,7.4,93.53,2.04
4df3c967-33e7-496f-99e8-cbb52136cc80,2026-05-26,1,0,95.09,83.79,97.89,5.8,95.72,4.27
65f09502-87db-437e-91c0-a2de6b758d66,2026-02-05,1,1,98.16,90.86,95.52,9.5,91.34,1.53
03a46942-72de-4eda-91a8-0535f5debaf0,2026-07-03,1,2,97.08,95.82,96.24,1.7,95.73,1.52
a61be50e-dd89-4c66-9967-4b83b67f32aa,2026-03-09,0,2,95.51,97.84,97.46,4.6,97.11,2.36
0690281b-b9de-48f5-b30e-7cbe35dd1610,2025-11-26,2,0,98.48,94.53,95.25,2.1,96.38,4
a0157cdb-92f2-45c2-abbf-3a1053c7f55f,2026-02-18,2,1,99.89,89.62,98.79,5.1,97.25,3.83
e4a0138e-e76e-4b82-b204-9ef5ec0ae01b,2026-01-07,2,2,97.15,92.54,97.46,9.4,95.08,2.2
9a896f58-9239-4e99-b46a-8ee1140af51f,2025-09-22,3,0,99.85,96.5,96.17,4.4,92.18,0.62
288ad14a-98ef-4409-8ad2-2091da2dbdf4,2025-08-07,0,1,90.53,81.36,95.04,4.4,96.79,0.36
2f2d5114-2019-4261-992e-ee5149f61d8f,2025-11-19,1,1,93.4,95.7,96.52,8.5,96.61,2.19
a4305a92-2cd8-4463-906c-202fcc4a00e0,2025-12-04,1,0,90.41,96.41,98.82,9.9,97.01,0.97
81ec2c27-c10c-480c-bed0-25f574dd5418,2026-06-14,1,0,92.42,98.51,99.24,2.4,91.88,4.6
58c62aa8-3009-44e6-a75f-25125165ca16,2025-08-10,0,1,93.76,88.03,95.39,4.9,91.96,1.3
943b6a5f-7ad4-4979-84cb-56537702ecb0,2025-11-10,1,1,93.44,80.62,95.05,2.8,98.64,1.76
057025d6-0b63-4b06-9412-3cd557c6f03d,2025-07-25,1,1,95.52,81.68,99.83,6,93.57,2.86
8b020c1c-0ceb-41f5-ae62-2b5397c935c7,2026-02-14,2,1,91.53,90.32,98.4,4.9,95.95,3.41
e5b0d5cd-cbd1-474a-ab1a-24f52162d7b7,2026-02-16,3,1,99.98,90.69,96.13,7.2,98.77,0.17
7dbed500-8f9a-4e55-94c2-c8e67e3e9458,2025-10-31,1,1,97.52,91.29,99.65,1.4,98.68,1.51
f6d9e9bc-6d73-4774-85f7-02a63bb8c22e,2025-12-06,2,0,96.97,82.99,96.64,7.6,95.41,3.14
e33517e0-639a-4247-9cd6-0f88d51a47d9,2025-08-18,0,0,97.33,82.28,97.87,6.7,91.87,3.04
cd3c5ac6-79fb-4ba3-a2d9-98353bf8c734,2026-07-02,1,0,97.41,82.49,98.34,5.6,98.2,0.13
7893047c-98bc-49ff-96df-5a964739ff01,2026-04-10,1,1,94.33,82.67,98.21,9,91.56,1.56
dac250fa-73b9-4f59-a2f9-8e4441021417,2026-03-17,1,1,93.63,92.59,97.67,3.9,94.57,1.42
7a790a7d-2c52-403a-8005-103829613dc4,2026-01-05,2,0,92.19,87.95,98.94,1.5,96.07,3.95
221c7f16-d33c-4cdc-920f-2c4584776cdb,2026-02-01,1,2,99.94,90.34,96.92,8.4,95.92,0.42
0e443415-99ff-4d33-8482-eeec5e4a380e,2025-09-02,1,2,98.54,86.21,96.93,1.1,94.72,1.63
68c7f2c2-05e3-4089-803c-fb73d62fe5d7,2025-11-01,1,1,96.76,95.86,99.83,1.1,99.33,0.99
c73777be-3650-4560-874f-7c05459b81f9,2025-10-19,1,2,99.73,90.56,99.34,3.4,95.89,4.32
d2babd6d-b369-4307-b9be-299809c37abd,2025-11-25,2,0,92.72,85.75,99.4,8.2,90.72,1.31
6f3728f8-eb83-4fa9-8ffe-f115bc8241a5,2026-01-02,2,1,92.15,98.66,99.92,6.8,96.29,4.57
c5c369d8-d97b-4761-9e2e-2aa4dc08f14d,2026-07-18,2,1,94.04,82.88,95.75,8.7,98.8,1.34
b61758e8-d565-4ac4-9031-3c54aba029c0,2025-08-11,0,0,92.34,92.87,96.19,2,97.25,3.64
dd1cfb84-e243-4f22-a03a-c5886c6bf9cb,2025-12-25,1,1,92.68,80.92,97.21,5.3,93,2.21
8097b626-a0c3-4fef-864e-f0d28be0bcb1,2026-05-12,1,1,96.37,93.1,98.76,5.8,95.87,2.8
543f5975-91eb-46e9-9db9-ad7bde88b82a,2025-08-19,1,1,90.08,94.93,97.42,1.6,96.79,0.86
69910285-3386-4b9b-84f6-7144d07b6867,2026-07-05,1,1,96.23,86.03,98.46,6.3,93.25,2.19
24f682e7-ce78-493a-8a6a-baf26260a4e3,2026-03-23,2,1,92.39,86,95.56,5.4,97.02,4.57
3984df07-fadb-4ca1-8fab-0cc7d6fe5838,2025-12-27,3,1,93.38,96.1,97.62,3.8,95.52,0.96
3759f4c8-6796-4745-ab75-093a3bef9bbe,2025-10-29,2,2,92.14,88.04,97.92,3.9,93.81,3.99
23689ff5-e334-4a3b-a8c1-4d0fb164e4ee,2025-12-01,1,1,99.94,84.07,96.4,3.4,93.25,1.97
fa012d3a-e099-461a-b489-5bc351b451e3,2025-09-17,2,1,94.63,80.12,96.93,8,96.12,1.49
d58071dc-fbad-4ed2-8a1f-8cc9bab7f18e,2025-11-10,2,1,91.24,93.48,95.19,5.7,93.52,1.18
92eff339-fe5f-4df4-bae4-6eb49bdba332,2025-09-14,2,2,94.9,96.66,95.57,9.1,96.62,4.75
081c521d-dd14-49a4-b690-0cb28aa6759b,2025-09-27,0,2,94.36,91,96.77,8.8,95.63,3.08
381bd60c-d420-4e03-bd89-0559d950a94f,2025-09-16,1,1,96.01,91.12,98.37,8.4,91.67,3.94
0c958999-97d6-47a4-b35d-c1fe6a7f4aa4,2026-06-08,3,1,97.2,81.74,95.81,1.1,99.78,4.77
bfa464a1-411e-4cb2-b386-abe8d032e0ff,2026-06-05,2,2,90.63,95.19,98.99,6.7,95.88,1.07
5e49ce60-d8d9-4960-b512-45ced82331d2,2025-11-26,0,1,92.11,88.48,97.52,4.2,90.04,1.04
6191ffc4-8bc3-4a6a-8130-303c71e91f97,2026-01-19,2,1,95.1,85.92,97.75,4.7,95.37,2.47
52120b90-4961-4d95-a121-867e8b8ac540,2025-09-02,2,1,92.88,88.98,99.69,9.7,92.08,3.31
36493487-a9f7-437b-887c-b798af9e11cb,2026-01-29,2,1,99.45,97.51,95.9,5.7,94.01,3.94
5694648a-a81f-46ea-b23b-bb45b7e744d9,2026-04-16,2,0,92.61,89.4,96.93,7,91.34,4.39
73fbb4c8-665b-4d96-8e6d-ca2133619a90,2025-11-13,3,1,90.58,90.16,99.64,7.8,91.2,3.12
ff4bb071-ab7a-45b1-964d-6ca8bbe6499d,2025-10-11,1,0,98.62,88.35,99.21,5.6,90.66,4.79
557fba9b-2f62-43bd-be0a-8cf4f593ac70,2025-09-20,1,2,97.63,91.21,95.45,8.5,97.95,4.7
58fc0f0b-2203-4349-aea8-7424d7f0f2be,2026-07-24,3,2,92.85,92.04,97.84,6.7,90.35,2.6
ce4484c2-1c13-4267-aa0a-4367a12b57b5,2026-02-23,2,1,93.17,84.55,99.52,9.6,94.69,1.01
fc783b8a-5306-4d6b-8dc7-6b1e727e41a2,2026-05-15,0,0,94.89,89.14,95.27,6.8,97.58,3.76
cc72f79a-d518-4ce5-bdb1-7e62fce271f8,2025-12-12,1,1,95.02,82.82,95.97,9.7,96.84,0.39
3c5dcc7e-a739-43b6-a185-05aebe7d6845,2026-01-29,2,1,94.2,87.83,97.15,9.3,91.19,3.27
