Record_ID,Date,Customer_ID,Age,Gender,Occupation,Location,Subscription_Start_Date,Customer_Segment,Device_Type,Device_Brand,Device_Model,SIM_Card_Type,Multiple_Lines_Associated,Income_Bracket,Education_Level,Household_Size,Preferred_Communication_Language,Device_Ownership_Status,Customer_Referral_Source,Demographic_Diversity_Index,Urban_vs_Rural_Classification,Family_Plan_Participation,Device_Upgrade_Frequency_Months
a4267e8a-fbde-45bc-b600-2aa21a55a3ab,2025-12-11,CUST-276602,53,Female,Teacher,Chicago,2022-12-23,Prepaid,Tablet,Xiaomi,Model A,eSIM,No,Low,Bachelors,4,Spanish,Leased,Retail Store,0.88,Rural,No,21
67ee3bb4-4ec6-48b9-b6b4-4487eb6006e3,2026-05-27,CUST-282351,60,Female,Engineer,New York,2023-06-23,Enterprise,IoT Device,Google,Model A,eSIM,Yes,High,PhD,3,French,Owned,Online Ad,0.94,Rural,Yes,10
388a1e63-e102-46c7-b608-5735d04f5066,2025-11-19,CUST-811360,21,Female,Other,Rural South,2023-04-25,Prepaid,Smartphone,Apple,Model A,eSIM,No,Low,PhD,1,Mandarin,Owned,Online Ad,0.21,Rural,No,36
e6877849-d6fc-417f-8ff9-d2084302b4c7,2025-12-17,CUST-255333,62,Other,Engineer,Rural South,2020-03-19,Postpaid,Tablet,Google,Model C,eSIM,No,Medium,Bachelors,2,English,Owned,Retail Store,0.69,Rural,No,23
ee0063fa-4ccd-476f-a0a2-e9a092004078,2025-08-17,CUST-450100,46,Other,Student,Rural South,2023-04-21,Enterprise,Feature Phone,Apple,Model C,Physical,Yes,Low,High School,4,English,Owned,TV Commercial,0.14,Rural,Yes,34
56053b0a-55a6-4258-afc1-79476b26bf65,2026-04-17,CUST-716032,76,Female,Retired,Rural West,2021-11-03,Enterprise,Feature Phone,OnePlus,Model C,Physical,No,Low,Bachelors,4,Spanish,Owned,Online Ad,0.91,Urban,No,28
91b2380e-104c-44c0-b731-cde439ee2890,2026-03-01,CUST-225723,53,Other,Teacher,Phoenix,2018-03-31,Postpaid,Smartphone,Google,Model C,Physical,No,Medium,High School,3,Spanish,Owned,Retail Store,0.28,Urban,Yes,21
2d2c1f08-f020-49f3-b815-de9aa63cf77e,2026-05-01,CUST-862672,80,Male,Student,Houston,2022-02-08,Enterprise,IoT Device,Apple,Model A,Physical,Yes,Low,Masters,4,English,Owned,Social Media,0.67,Urban,No,15
77fae7cd-720f-4fc8-8fca-d5e1d6f1d2ae,2026-01-06,CUST-174330,63,Other,Retired,Rural North,2020-07-12,Postpaid,Smartphone,OnePlus,Model A,eSIM,No,High,Bachelors,5,French,Owned,Retail Store,0.39,Rural,No,30
67bb8566-e404-4392-8992-28577d92625b,2026-04-12,CUST-563889,41,Male,Retired,Houston,2023-12-13,Postpaid,Smartphone,OnePlus,Model B,eSIM,No,Medium,Bachelors,3,Spanish,Leased,Social Media,0.41,Rural,Yes,8
2ca0674d-6f89-419c-8bea-dd86b4288470,2025-09-24,CUST-972038,30,Male,Artist,Rural West,2021-01-17,Postpaid,Tablet,Apple,Model C,Physical,No,Medium,Masters,2,Mandarin,Leased,Social Media,0.93,Urban,No,24
2614fe30-2269-4f71-9914-965c31cd616b,2026-05-17,CUST-590814,21,Other,Business Owner,Rural East,2024-03-26,Enterprise,Tablet,Xiaomi,Model B,Physical,No,High,Bachelors,4,French,Owned,Friend Referral,0.69,Urban,No,28
70606a91-7936-4207-89be-47847b79d35d,2025-10-07,CUST-914946,68,Male,Doctor,Rural West,2020-04-26,Postpaid,Smartphone,Samsung,Model C,Physical,Yes,Low,Bachelors,5,German,Owned,Friend Referral,0.65,Rural,No,7
5d31de6c-b69f-4513-a929-800f016463d8,2026-05-27,CUST-842250,34,Female,Artist,Rural West,2020-05-01,Enterprise,Tablet,Samsung,Model C,Physical,No,Medium,Bachelors,4,French,Leased,Retail Store,0.5,Rural,Yes,33
695f59fb-6dbd-493e-8f27-13fc07ac3f69,2025-12-13,CUST-590128,28,Female,Teacher,Los Angeles,2023-01-04,Postpaid,IoT Device,Huawei,Model B,eSIM,Yes,Low,High School,2,Mandarin,Leased,TV Commercial,0.14,Urban,No,13
724af16d-ad5d-45c6-8963-8a7a18f52dbf,2025-09-23,CUST-777213,65,Other,Doctor,Rural South,2022-02-16,Prepaid,IoT Device,Apple,Model A,Physical,No,High,High School,5,French,Owned,Retail Store,0.4,Rural,No,21
59285b0e-4291-4e8b-a985-113579d867ec,2026-05-13,CUST-161307,36,Male,Student,Chicago,2018-09-20,Prepaid,Tablet,Samsung,Model A,eSIM,Yes,Low,Bachelors,2,Mandarin,Owned,TV Commercial,0.26,Rural,Yes,23
9268ebf1-c12d-4ce3-a400-eaaf858e1a3f,2025-11-24,CUST-259791,35,Other,Business Owner,New York,2021-09-02,Postpaid,Tablet,Google,Model A,Physical,No,Medium,High School,5,German,Leased,Friend Referral,0.97,Urban,No,11
a01080fb-406d-4291-8c00-6bcc75a4a8ff,2025-07-29,CUST-231166,61,Female,Other,New York,2020-01-21,Enterprise,Feature Phone,OnePlus,Model A,eSIM,No,High,High School,4,French,Owned,Online Ad,0.5,Urban,No,18
b1835ee5-b9b0-488e-96a0-872fb4578403,2026-03-01,CUST-182885,77,Female,Retired,Rural North,2018-09-06,Enterprise,Smartphone,Google,Model B,eSIM,Yes,High,PhD,1,Mandarin,Leased,Friend Referral,0.77,Rural,Yes,17
e0ac86fc-2a4a-42bf-be78-371209c94f96,2026-06-15,CUST-784171,40,Female,Student,Houston,2020-10-19,Enterprise,IoT Device,Google,Model C,Physical,No,Low,Masters,1,French,Owned,Online Ad,0.38,Rural,Yes,7
dcd81d02-942c-4c2c-9ac0-2761cbf0a135,2026-02-12,CUST-483240,79,Other,Business Owner,Los Angeles,2021-12-14,Postpaid,Feature Phone,OnePlus,Model B,Physical,No,Medium,High School,6,English,Leased,Retail Store,0.17,Rural,Yes,7
319cd4f4-3aa0-48cf-89bd-83b0d9e195ea,2026-04-03,CUST-962871,72,Male,Doctor,Chicago,2019-06-26,Postpaid,Feature Phone,OnePlus,Model B,eSIM,Yes,Medium,Masters,5,Spanish,Owned,Retail Store,0.83,Urban,No,23
d37a8d5d-5607-4587-902f-417f40b6e561,2025-12-01,CUST-136282,62,Female,Engineer,Los Angeles,2024-06-16,Postpaid,Feature Phone,Xiaomi,Model C,eSIM,No,High,Bachelors,5,English,Owned,TV Commercial,0.8,Urban,No,11
e373aadc-39a4-4bdd-ade3-4387ebe1551d,2025-07-30,CUST-272312,67,Other,Business Owner,Chicago,2019-12-10,Enterprise,Feature Phone,Samsung,Model C,Physical,No,High,High School,3,French,Owned,Social Media,0.27,Rural,No,20
427e5ae6-3c1d-4acb-b32c-0e2a34ac5aba,2025-09-30,CUST-229008,48,Other,Artist,Los Angeles,2022-10-19,Prepaid,IoT Device,Apple,Model B,Physical,No,Low,PhD,6,German,Leased,TV Commercial,0.35,Rural,No,8
acafdf3f-3959-419e-b342-b4b4155ad977,2025-09-06,CUST-564677,69,Other,Doctor,Phoenix,2021-03-09,Prepaid,IoT Device,OnePlus,Model C,Physical,No,Medium,Bachelors,3,English,Owned,Retail Store,0.36,Urban,No,19
580479d0-8e9a-4ef6-bc8b-cea4caaf75c7,2026-04-11,CUST-275768,39,Other,Artist,Houston,2019-03-08,Prepaid,Feature Phone,Apple,Model A,Physical,No,Low,High School,5,Mandarin,Owned,Social Media,0.53,Rural,No,30
b085fcc2-2410-4539-bd79-6a6ae1e16308,2025-12-04,CUST-922276,71,Male,Other,Rural West,2018-04-13,Enterprise,Smartphone,Apple,Model B,Physical,No,Medium,High School,2,English,Owned,Social Media,0.31,Rural,No,17
92c88e3d-756b-4e2b-99a7-7c4f11c5eb54,2025-09-18,CUST-951958,25,Male,Retired,Rural East,2020-11-07,Prepaid,Feature Phone,Apple,Model A,eSIM,No,High,Bachelors,6,English,Owned,Social Media,0.44,Rural,Yes,23
88043dcb-c907-40fd-9490-3f5d1df40abc,2025-09-26,CUST-154902,74,Female,Artist,Rural South,2022-09-16,Prepaid,Feature Phone,OnePlus,Model A,Physical,No,Low,Bachelors,1,German,Owned,TV Commercial,0.38,Rural,No,30
1e1e57fe-8ba9-4563-8348-09c7252d8675,2026-05-29,CUST-697121,44,Other,Teacher,Rural East,2022-12-06,Postpaid,Feature Phone,Google,Model C,eSIM,Yes,High,PhD,4,French,Owned,Social Media,0.48,Rural,No,11
971586b9-b0f3-4337-9b1b-c75ebcd152c1,2025-11-30,CUST-453327,56,Male,Student,Rural West,2021-09-11,Postpaid,IoT Device,OnePlus,Model B,eSIM,Yes,Low,Masters,6,Spanish,Owned,Social Media,0.13,Rural,No,23
e4de3a51-d33d-4b3b-9389-f8a19604f0bc,2026-02-14,CUST-418754,59,Male,Doctor,Rural North,2018-08-10,Postpaid,Tablet,Google,Model A,eSIM,No,Medium,High School,3,Spanish,Owned,TV Commercial,0.31,Urban,No,16
3b21f960-28a9-4261-ad77-ae35e2c8e8c5,2025-09-18,CUST-912756,30,Other,Engineer,Chicago,2020-09-21,Enterprise,IoT Device,Apple,Model B,Physical,No,Low,PhD,4,English,Owned,Social Media,0.81,Urban,No,17
69868405-076b-4945-909b-e8cc7cf70d14,2026-05-20,CUST-506480,54,Male,Other,Rural East,2023-07-24,Postpaid,Tablet,OnePlus,Model C,eSIM,No,High,High School,5,German,Leased,Online Ad,0.78,Rural,No,15
eebdbc3e-a7b9-4acf-8f54-96da0f7fb063,2025-10-03,CUST-621807,63,Other,Doctor,Rural East,2024-04-05,Enterprise,IoT Device,Apple,Model C,Physical,Yes,High,PhD,3,English,Owned,TV Commercial,0.4,Urban,No,33
f3d9146f-8663-4a1c-b041-ac9b5bb5b125,2025-09-23,CUST-999997,53,Other,Retired,New York,2019-07-14,Prepaid,Smartphone,Samsung,Model A,eSIM,No,Low,High School,4,German,Leased,TV Commercial,0.13,Rural,No,23
1ce88535-2b25-400f-9e9c-76ecd35aad58,2026-07-09,CUST-931528,45,Male,Engineer,Rural West,2023-01-13,Prepaid,Feature Phone,Samsung,Model B,Physical,No,High,High School,4,Spanish,Leased,Friend Referral,0.57,Urban,Yes,7
3eb4858a-4dc5-4a13-9169-306f77051fa6,2026-01-17,CUST-288577,37,Other,Business Owner,Rural South,2023-10-17,Enterprise,Tablet,Google,Model B,Physical,Yes,Low,PhD,3,Spanish,Owned,Friend Referral,0.46,Rural,Yes,33
f6123449-06f5-43ff-afad-599ed603fff0,2026-03-27,CUST-964967,34,Male,Business Owner,Los Angeles,2018-12-25,Prepaid,IoT Device,Xiaomi,Model B,Physical,No,High,High School,4,English,Owned,TV Commercial,0.71,Urban,No,11
0ed5304a-2f5e-46cd-9da0-e0ffda1db7d3,2026-05-01,CUST-394415,24,Male,Other,Rural East,2020-02-03,Enterprise,IoT Device,Samsung,Model B,eSIM,No,High,High School,2,French,Owned,Friend Referral,0.37,Urban,No,33
93cdf0de-82b3-426a-8a0c-974adc3fc30e,2026-06-01,CUST-601780,29,Other,Other,Phoenix,2020-05-15,Prepaid,Feature Phone,Xiaomi,Model A,Physical,Yes,Low,Bachelors,4,French,Owned,Social Media,0.49,Urban,No,11
b83f72e2-4c26-4215-a01f-cf12c33235d5,2026-05-14,CUST-711043,72,Female,Teacher,Rural East,2022-04-18,Prepaid,IoT Device,Samsung,Model C,eSIM,Yes,High,Masters,5,French,Owned,Social Media,0.72,Rural,No,18
b7d4d8f0-10d4-43ff-8af4-3209628a1453,2026-02-17,CUST-732271,28,Other,Retired,Rural South,2022-06-21,Postpaid,Smartphone,OnePlus,Model B,Physical,No,High,PhD,4,English,Owned,Online Ad,0.55,Urban,No,14
87b133cb-d9da-4789-b841-2969e363a01d,2025-12-22,CUST-869878,53,Male,Business Owner,Phoenix,2019-10-30,Postpaid,IoT Device,Apple,Model B,Physical,No,Low,High School,3,German,Leased,TV Commercial,0.71,Urban,No,25
9bd9b7f2-ec19-4572-9b36-c1083abcc0a9,2025-11-20,CUST-147846,46,Male,Other,New York,2023-02-05,Prepaid,Feature Phone,OnePlus,Model B,Physical,No,Low,Masters,5,Spanish,Owned,Retail Store,0.21,Urban,Yes,18
156895fc-9f68-4729-a662-51e0a65d8ac9,2025-12-10,CUST-672682,50,Other,Doctor,Rural East,2019-07-20,Postpaid,Tablet,Samsung,Model A,eSIM,No,High,Bachelors,6,French,Owned,TV Commercial,0.91,Rural,No,12
cedf6924-9ab8-43c8-aef8-b61d69b62bf5,2026-07-21,CUST-577105,46,Other,Engineer,New York,2020-10-11,Prepaid,IoT Device,Samsung,Model A,eSIM,No,Medium,Bachelors,6,Spanish,Owned,Social Media,0.28,Urban,No,30
3d726277-07d9-4e21-aad7-f60f928d57f7,2025-10-10,CUST-269188,66,Male,Doctor,Phoenix,2018-10-02,Enterprise,Feature Phone,Samsung,Model A,Physical,No,Low,PhD,3,German,Owned,Social Media,0.59,Rural,Yes,8
d5ce0fa8-0397-4215-9391-b52f88f22497,2026-02-07,CUST-173570,31,Female,Teacher,Los Angeles,2020-08-26,Prepaid,Tablet,Samsung,Model A,eSIM,No,Low,PhD,4,German,Owned,Friend Referral,0.38,Rural,No,27
81dad014-dd84-4eeb-9d73-a2652038e6ae,2025-12-26,CUST-319935,59,Other,Engineer,Chicago,2020-07-13,Prepaid,Feature Phone,Huawei,Model A,Physical,No,Low,High School,5,English,Leased,Online Ad,0.4,Urban,No,31
29748af4-9447-4441-98db-e8ea23160773,2026-05-16,CUST-518836,61,Female,Teacher,Rural South,2019-08-27,Prepaid,Tablet,OnePlus,Model B,Physical,No,Low,Masters,5,Spanish,Owned,Social Media,0.48,Urban,No,15
0262e5b3-fb71-4582-89d4-7382d7af91a1,2025-08-26,CUST-129733,42,Other,Student,Chicago,2023-12-01,Enterprise,IoT Device,OnePlus,Model B,Physical,No,Low,High School,6,French,Owned,Social Media,0.38,Rural,Yes,23
8523c760-2c5d-41db-80fa-d9ba9247c9d1,2026-01-27,CUST-491156,25,Other,Artist,Los Angeles,2019-11-01,Postpaid,IoT Device,Xiaomi,Model A,Physical,No,Medium,PhD,5,Mandarin,Owned,TV Commercial,0.36,Rural,No,9
d75ae95c-46c9-4540-8ec4-2ae1d3b5d593,2026-04-07,CUST-436562,67,Female,Doctor,Los Angeles,2024-11-30,Enterprise,IoT Device,Google,Model A,Physical,No,Low,High School,2,Mandarin,Owned,TV Commercial,0.92,Rural,No,7
5c3126f9-c272-4133-966e-3f5de945bbe0,2025-10-07,CUST-913476,32,Female,Artist,Rural North,2019-04-13,Enterprise,Smartphone,Xiaomi,Model B,eSIM,No,Low,Masters,4,Mandarin,Owned,Social Media,0.16,Urban,No,12
8e515655-635c-44bd-b0c5-6cb3ab0049b5,2026-07-20,CUST-742722,24,Other,Student,Rural North,2021-02-27,Enterprise,Feature Phone,Xiaomi,Model A,Physical,Yes,Low,PhD,5,French,Owned,Social Media,0.3,Urban,Yes,31
c7b7c0a3-de63-4973-a307-50f0f9ac6954,2026-07-18,CUST-722530,79,Male,Other,Houston,2023-03-12,Prepaid,Tablet,Xiaomi,Model B,Physical,No,Low,Bachelors,5,Spanish,Owned,Retail Store,0.58,Rural,No,8
f86617c5-9f08-4497-a87b-c7f068f47b66,2026-04-14,CUST-309201,23,Male,Student,New York,2022-03-21,Postpaid,IoT Device,Xiaomi,Model B,eSIM,Yes,High,Masters,5,French,Leased,Friend Referral,0.12,Urban,No,13
6540c321-501e-4040-b921-e63e3a884f54,2026-04-01,CUST-839949,33,Male,Teacher,Rural South,2018-07-25,Enterprise,Feature Phone,Google,Model B,eSIM,No,Low,High School,5,Spanish,Owned,Friend Referral,0.54,Rural,Yes,20
6e43f6fe-c870-4381-a8de-f9b758a03121,2025-10-22,CUST-806671,49,Other,Doctor,Rural South,2020-06-16,Postpaid,IoT Device,Huawei,Model C,Physical,Yes,Medium,Bachelors,5,English,Owned,Online Ad,0.16,Urban,No,15
fcccef1f-503b-4f0a-82f3-aa93b70a4c9c,2026-05-02,CUST-515923,31,Female,Engineer,Rural West,2018-09-14,Prepaid,Smartphone,OnePlus,Model C,Physical,Yes,Medium,Masters,4,English,Owned,Online Ad,0.5,Rural,No,19
d78a2d69-8e73-47d4-8053-76be984878bc,2026-04-22,CUST-753736,55,Female,Teacher,Phoenix,2023-06-06,Postpaid,Feature Phone,Apple,Model C,eSIM,No,High,PhD,2,German,Owned,Friend Referral,0.96,Rural,No,15
76539a6b-a861-42e0-8329-a92e4b0e90ed,2025-10-13,CUST-709314,44,Male,Business Owner,New York,2023-05-05,Prepaid,IoT Device,Huawei,Model A,Physical,Yes,Low,Bachelors,4,Spanish,Owned,Social Media,0.63,Rural,No,28
341dccad-70e1-4fa3-8de5-329d826004c5,2025-12-19,CUST-900148,31,Female,Student,Rural North,2023-02-09,Enterprise,IoT Device,Samsung,Model A,eSIM,No,High,PhD,5,English,Leased,Friend Referral,0.34,Urban,No,10
c9e348b5-6134-4401-9cbf-3ed60750937e,2026-01-14,CUST-616051,52,Male,Doctor,Phoenix,2024-09-13,Enterprise,Feature Phone,Apple,Model B,eSIM,No,Medium,High School,1,English,Owned,Social Media,0.8,Rural,No,15
4ef5ad37-6b8c-4798-9db0-1c00cac9d2af,2025-12-26,CUST-423429,31,Other,Teacher,Rural North,2021-01-03,Enterprise,Feature Phone,Xiaomi,Model A,eSIM,Yes,High,High School,3,English,Owned,Social Media,0.68,Urban,Yes,18
e487c1a9-f085-4ca4-9638-5dd370e58fe4,2025-12-23,CUST-636941,63,Male,Student,Houston,2020-11-21,Enterprise,Feature Phone,OnePlus,Model B,Physical,Yes,Low,PhD,5,English,Owned,Retail Store,0.7,Urban,No,7
7d3fb85d-22d0-4cd7-b93e-a1e2ba59c62f,2026-03-16,CUST-482451,20,Other,Retired,Los Angeles,2022-11-20,Postpaid,Feature Phone,Samsung,Model A,Physical,Yes,Low,Masters,3,German,Owned,Online Ad,0.25,Urban,No,33
0bb986cb-828c-432e-81cb-489c6bdd324d,2026-02-20,CUST-945098,69,Other,Teacher,New York,2020-08-06,Enterprise,IoT Device,Apple,Model C,Physical,No,Low,Masters,6,English,Owned,Online Ad,0.78,Rural,Yes,10
003b490d-dc00-44d8-9cb8-3c02cabda431,2025-11-15,CUST-346325,73,Female,Business Owner,Rural North,2020-07-03,Postpaid,Smartphone,Google,Model A,Physical,Yes,Medium,Masters,6,German,Owned,TV Commercial,0.37,Urban,No,9
0f5b177c-901f-4ccf-b22f-61c1d42d19bc,2026-04-17,CUST-590783,33,Male,Student,Rural East,2024-04-28,Postpaid,Feature Phone,Google,Model B,eSIM,No,Medium,High School,5,German,Owned,Social Media,0.57,Urban,No,19
0ee856d6-5a54-4129-a728-f98c8ec4f91b,2025-10-07,CUST-743434,48,Female,Business Owner,Chicago,2024-08-04,Enterprise,IoT Device,Google,Model A,Physical,No,Low,High School,2,English,Owned,Friend Referral,0.84,Rural,Yes,34
6a479113-52be-422b-87c8-02c4e3994a75,2025-09-03,CUST-499458,51,Other,Engineer,Rural North,2019-03-28,Prepaid,Feature Phone,OnePlus,Model C,Physical,No,High,Masters,4,French,Owned,Social Media,0.31,Rural,No,17
8addd47d-f956-40af-8cff-ef521a83b1d4,2025-09-04,CUST-309807,72,Female,Engineer,Chicago,2018-12-27,Prepaid,Feature Phone,Google,Model C,eSIM,No,Medium,PhD,1,German,Leased,TV Commercial,0.24,Rural,No,12
2edc2e2e-e332-426b-b84c-0f883190b5ad,2025-11-25,CUST-511897,31,Other,Other,Houston,2024-10-12,Postpaid,Tablet,Xiaomi,Model A,eSIM,No,High,Bachelors,2,French,Owned,Social Media,0.46,Rural,No,27
f64f9daf-ea5a-43f3-8cd8-dffdd9279094,2025-09-02,CUST-323758,37,Female,Other,Phoenix,2018-01-01,Postpaid,Tablet,Huawei,Model C,Physical,No,High,High School,3,German,Owned,Online Ad,0.22,Urban,No,34
a31bd4d0-1ee2-4c5b-9510-99853d741b70,2025-09-25,CUST-895360,75,Male,Other,Los Angeles,2020-05-17,Prepaid,Feature Phone,Google,Model C,Physical,Yes,Medium,High School,5,Spanish,Leased,Friend Referral,0.86,Urban,Yes,19
60377d03-af65-4c96-ac37-965a9ea8f749,2025-11-22,CUST-938469,32,Male,Retired,Rural South,2022-06-22,Prepaid,Tablet,Apple,Model C,eSIM,Yes,Medium,PhD,4,German,Owned,Friend Referral,0.51,Urban,No,35
541a6986-6e8e-43ab-82be-9873687e49e9,2025-10-05,CUST-902002,46,Other,Retired,Rural East,2023-04-14,Enterprise,Smartphone,Xiaomi,Model A,eSIM,No,Low,Bachelors,4,English,Owned,TV Commercial,0.21,Rural,No,12
a15f3359-75b9-4b57-912e-ee166422df7b,2025-12-18,CUST-678281,36,Female,Engineer,Rural West,2020-08-08,Postpaid,Tablet,Apple,Model C,Physical,No,Medium,PhD,6,German,Leased,Retail Store,0.14,Rural,Yes,20
f8983a1f-a413-44cf-85ee-b53c427d1c74,2026-01-24,CUST-328622,37,Other,Business Owner,Rural East,2023-11-20,Prepaid,Tablet,Xiaomi,Model C,eSIM,Yes,Medium,High School,4,Spanish,Leased,Retail Store,0.47,Rural,No,15
d7ed9653-dfd5-4b14-99a5-2ba389d59f05,2026-03-28,CUST-422915,21,Other,Business Owner,Phoenix,2024-07-10,Postpaid,IoT Device,Huawei,Model C,Physical,Yes,Medium,PhD,4,German,Owned,Social Media,0.34,Rural,No,8
ed4ad753-ed7b-4824-8cc8-85a08913abc5,2025-11-06,CUST-163962,30,Female,Artist,Phoenix,2024-11-15,Enterprise,Smartphone,Apple,Model A,eSIM,No,High,Masters,2,Mandarin,Owned,Friend Referral,0.43,Urban,No,27
67f149a6-42a3-41de-9de6-6438e398c79d,2026-06-29,CUST-671679,53,Other,Business Owner,New York,2018-02-05,Postpaid,Smartphone,OnePlus,Model C,Physical,Yes,Medium,Masters,3,English,Owned,Friend Referral,0.96,Rural,No,9
761eb131-ff89-446f-b35a-9f0eb59c1a7d,2026-02-19,CUST-382053,35,Female,Teacher,New York,2021-04-03,Postpaid,Tablet,Samsung,Model B,Physical,No,Medium,High School,4,Mandarin,Owned,Online Ad,0.38,Rural,No,30
b8dec064-d8c1-47f5-9bc4-ef6054ce81dc,2025-10-18,CUST-915262,66,Female,Teacher,Rural East,2022-03-27,Enterprise,IoT Device,Huawei,Model C,eSIM,No,Low,Masters,3,Mandarin,Owned,Friend Referral,0.41,Rural,No,11
4a7f3937-04f4-478b-93b6-7c0a2e3f72e9,2026-06-13,CUST-236169,46,Other,Other,Rural East,2023-02-11,Prepaid,Tablet,Huawei,Model A,Physical,No,High,PhD,4,Spanish,Owned,TV Commercial,0.69,Urban,No,8
11652268-3375-4b14-97cb-9dd88e124328,2026-05-06,CUST-524399,74,Male,Retired,Rural South,2020-02-18,Enterprise,Tablet,Huawei,Model B,Physical,No,Low,Bachelors,1,French,Leased,Social Media,0.32,Rural,No,22
999f6004-cbe3-4326-92ba-801bb9c5185a,2026-03-03,CUST-320326,58,Other,Doctor,Chicago,2020-02-06,Prepaid,Feature Phone,Samsung,Model C,eSIM,No,Medium,High School,3,Spanish,Owned,Online Ad,0.31,Rural,No,26
d03eeffc-cd15-4f07-8836-b0198d157b9f,2026-07-17,CUST-469712,75,Female,Artist,Houston,2023-09-19,Postpaid,Smartphone,Samsung,Model A,Physical,No,High,Masters,3,French,Leased,Retail Store,0.19,Rural,No,31
8ac7713a-45c1-4e93-8a80-f5794403f372,2026-02-10,CUST-950036,50,Male,Retired,Phoenix,2022-12-24,Postpaid,Feature Phone,Xiaomi,Model C,eSIM,No,Low,PhD,3,Mandarin,Owned,Friend Referral,0.27,Rural,No,9
29fc037f-7ab3-47c5-9ed5-f9f524209344,2026-07-12,CUST-581007,65,Other,Engineer,New York,2018-08-29,Postpaid,IoT Device,Apple,Model A,Physical,No,Low,Bachelors,5,Spanish,Leased,Retail Store,0.1,Rural,No,12
c39d6175-48ca-4838-9a8d-d055e85fc53e,2025-08-31,CUST-457632,75,Other,Doctor,Chicago,2018-04-20,Postpaid,Tablet,Google,Model A,Physical,No,High,Masters,4,Spanish,Owned,Friend Referral,0.34,Urban,No,11
b98f9555-62e2-4268-b067-ad858ba0ab08,2025-09-16,CUST-467770,28,Other,Other,Houston,2019-03-07,Postpaid,Feature Phone,OnePlus,Model A,Physical,No,Low,Bachelors,6,French,Owned,TV Commercial,0.86,Rural,No,28
