Record_ID,Date,Customer_ID,Call_Duration_Minutes,Number_of_Calls_Inbound_Outbound,SMS_Sent_Received,Data_Usage_GB,Data_Session_Count,Peak_Hour_Usage_Time,Streaming_Services_Accessed,International_Usage_Voice_Data,Wi_Fi_Offloading_Ratio,Hotspot_Usage_Yes_No,Hotspot_Usage_MBs_shared,Voice_over_IP_VoIP_Usage_Minutes,Data_Usage_by_App_Category,Peak_vs_Off_Peak_Usage_Ratio,Average_Call_Hold_Time_Seconds,SMS_Delivery_Success_Rate,Data_Throttling_Instances,Cloud_Service_Usage,Gaming_Data_Consumption_GB,Multi_Device_Usage_Patterns,Roaming_Data_Usage_by_Country
31e6d93a-02b0-4718-b627-b4f3f34b6908,2025-08-11,CUST-119287,57,8,175,37.56,12,08:00-10:00,Spotify,68.94,0.84,No,0,4,Maps,1.58,37,98.68,4,No,8.86,Single,Japan
1a4b1074-0bb6-4180-a324-9e9bdd37ac56,2026-02-25,CUST-946787,216,10,57,45.45,33,18:00-20:00,YouTube,40.86,0.8,No,0,23,Gaming,1.95,29,95.51,1,No,4.08,Single,N/A
4e80d69c-9920-4212-b427-edc95caba357,2026-04-23,CUST-363617,43,36,98,0.44,28,08:00-10:00,Netflix,68.85,0.29,Yes,353,24,Productivity,1,20,95.7,3,Yes,5.81,Single,N/A
457a4081-612d-44fd-8ec9-f11f07981bf1,2025-10-24,CUST-392947,83,35,70,46.53,22,12:00-14:00,Netflix,80.39,0.27,No,9147,58,Streaming,0.71,35,97.74,0,No,1.26,Single,N/A
e555b2ff-efac-49bd-b0cc-82f6b0f67a17,2025-10-04,CUST-234665,178,32,123,17.27,27,18:00-20:00,Spotify,26.6,0.53,No,146,51,Productivity,0.63,8,98.93,3,Yes,3.38,Multiple,N/A
bb125b91-d6af-46f4-8eca-c15192a78832,2026-02-06,CUST-737259,294,16,181,23.53,7,18:00-20:00,Netflix,9.19,0.18,No,0,33,Gaming,1.73,14,97.08,3,Yes,2.13,Single,N/A
0ec460a1-e177-43cd-aee7-f5fac421b156,2025-12-19,CUST-932102,115,40,197,2.66,23,08:00-10:00,YouTube,17.2,0.18,No,0,54,Productivity,1.15,46,99,0,Yes,8.16,Single,N/A
bbe3b6ea-ec12-438a-a177-181df9cd7c57,2025-11-10,CUST-438385,230,21,42,17.41,28,18:00-20:00,Netflix,52.66,0.75,No,0,37,Streaming,1.79,50,97.65,1,No,3.91,Multiple,N/A
70fbeff3-d6cc-4c61-b31b-29ed948c41b0,2025-12-02,CUST-409338,221,35,175,30.65,34,18:00-20:00,None,95.33,0.25,No,0,16,Social,0.85,54,95.43,1,No,2.84,Multiple,N/A
7c098ade-77e0-4797-b8b6-56a968c24f18,2025-12-22,CUST-890886,28,3,86,21.69,20,12:00-14:00,None,96.78,0.46,No,0,27,Productivity,1.52,20,97.85,2,No,2.17,Single,N/A
2014d8b0-58be-4f7b-9dca-6bce8fdbf781,2025-11-24,CUST-254791,78,31,18,14.1,34,18:00-20:00,YouTube,98.87,0.15,No,0,10,Streaming,1.06,11,96.72,3,Yes,9.46,Single,N/A
e51f3d99-bd3e-42d0-b32a-4d01af6e6f44,2026-02-17,CUST-322565,106,21,17,36.9,32,20:00-22:00,YouTube,81.92,0.64,No,0,4,Maps,1.8,21,99.01,1,Yes,1.17,Single,N/A
823c57a9-9059-4564-8ac1-7c66a08fff95,2026-01-15,CUST-547748,69,20,120,12.82,31,20:00-22:00,YouTube,61.69,0.65,No,0,41,Maps,1.18,12,97.85,1,No,8.82,Single,N/A
81ed0348-f8bf-4bc4-8a51-0bd7528ba4b7,2025-10-02,CUST-290303,91,29,70,14.98,46,08:00-10:00,None,2.45,0.13,No,0,7,Gaming,1.33,13,99.31,0,Yes,1.91,Multiple,Japan
1edc9827-e762-408f-ac7d-a70fb5f4a634,2026-06-15,CUST-254154,255,47,79,25.92,50,12:00-14:00,Netflix,37.78,0.72,No,0,48,Gaming,0.64,22,96.45,4,No,2.09,Multiple,N/A
00cc8846-591c-4add-befe-3a3cb52c1cd5,2025-10-01,CUST-990711,174,33,198,21.17,21,08:00-10:00,Netflix,79.97,0.43,No,1697,4,News,1.15,21,96.52,3,Yes,0.13,Single,N/A
6946d6e3-1933-4ca5-914f-6de8580f377b,2025-08-02,CUST-111388,49,34,131,32.21,21,12:00-14:00,None,27.37,0.32,No,0,7,Maps,0.98,5,98.76,3,No,2.51,Single,N/A
cfd1bb86-85e6-4fa9-b89a-95fb1c28dcd3,2025-12-02,CUST-950357,214,4,32,7.17,9,20:00-22:00,None,19.85,0.6,No,0,9,Maps,1.86,37,95.75,3,Yes,5.84,Multiple,N/A
cace7d8e-3625-41b7-a22d-5d5bc2a4bd0c,2025-08-01,CUST-356171,17,22,77,6.64,26,20:00-22:00,Netflix,33.14,0.24,No,0,8,Productivity,1.54,55,97.11,3,No,5.87,Single,N/A
42afde76-fe3b-462e-a2b3-b95480372b23,2025-09-09,CUST-381884,222,31,70,44.79,22,08:00-10:00,YouTube,96.21,0.35,No,0,55,News,0.76,15,98.83,3,No,6.67,Multiple,N/A
f40588d0-9676-47eb-991c-8bf1bbd22f87,2026-04-18,CUST-595330,122,6,100,36.38,42,20:00-22:00,Spotify,71.12,0.6,Yes,0,5,News,1.92,22,98.94,3,Yes,4.95,Single,N/A
96f87e0b-325e-47e6-907a-15b903372ce4,2026-05-05,CUST-958968,96,26,171,49.22,43,08:00-10:00,None,83.77,0.56,No,0,22,Gaming,1.98,29,98.41,4,Yes,8.35,Single,UK
2882a24c-f1c8-4b53-adbd-fd0d61c19186,2026-01-24,CUST-143002,20,35,66,32.74,33,18:00-20:00,None,39.6,0.81,No,0,46,News,1.1,50,97.57,2,Yes,1.32,Multiple,N/A
5c1f94bd-595d-4f53-92e3-b1e5211d7190,2026-05-05,CUST-977133,102,1,65,1.69,42,20:00-22:00,None,61.18,0.71,No,0,10,Productivity,0.75,48,97.19,5,No,1.41,Multiple,N/A
867b2372-0514-426b-9bf6-509db003f3b0,2025-10-01,CUST-990100,132,33,33,22.32,11,18:00-20:00,Netflix,9.51,0.82,No,0,9,Productivity,1.65,43,99.23,5,No,0.85,Multiple,N/A
9f98ca96-95c0-4145-a098-eae4ca1b3b0d,2025-11-06,CUST-879898,205,44,77,40.47,38,12:00-14:00,YouTube,17.55,0.25,No,0,35,Streaming,0.66,48,96.01,3,Yes,7.37,Single,N/A
e7656a05-9b1c-46d2-bfbd-1f377d08aea0,2026-02-04,CUST-267919,226,22,173,0.34,17,18:00-20:00,None,79.85,0.61,No,0,57,Gaming,0.85,49,98.51,4,Yes,7.4,Single,N/A
dc4792da-a98b-476e-a62d-4abf8616af6d,2025-09-11,CUST-180010,144,16,97,12.77,47,20:00-22:00,None,56.63,0.78,No,0,17,Gaming,1.51,19,96.12,4,Yes,9.82,Multiple,N/A
1cf6d6ee-437d-4758-9541-98b70b3ac316,2025-09-03,CUST-611654,222,8,132,33.95,32,20:00-22:00,Netflix,66.2,0.6,No,7205,0,Maps,1.34,31,98.75,2,No,7.56,Single,N/A
4ab88509-4c51-4886-ad59-9b048d2716cb,2026-01-20,CUST-421368,243,15,172,4.28,31,18:00-20:00,None,52.34,0.14,No,0,18,Social,1.14,22,97.71,2,No,1.97,Single,N/A
adcc846c-b66a-41de-b193-a5f245ba520d,2026-01-26,CUST-671650,56,14,199,43.62,46,12:00-14:00,YouTube,20.39,0.65,No,0,38,Productivity,1.38,30,99.71,3,No,9.97,Multiple,Japan
abac9968-8de3-48f8-9e3b-53da5d58547a,2025-10-08,CUST-616347,259,26,49,34.57,19,18:00-20:00,None,65.13,0.83,No,0,20,Productivity,0.74,15,95.83,4,No,9.83,Multiple,N/A
60dd9288-486e-4dca-bd40-30b5ec9f2bfb,2026-03-04,CUST-953375,257,27,169,5.21,27,08:00-10:00,Netflix,97.35,0.12,No,0,38,Streaming,0.95,35,98.72,4,No,6.93,Single,N/A
11170d55-055d-4533-937f-9c4a02d2bdf8,2026-05-17,CUST-987372,279,27,71,31.41,46,20:00-22:00,None,3.23,0.73,No,0,29,Gaming,1.25,10,98.24,1,No,3.16,Single,N/A
394fa3f6-c2a3-42fd-abf0-fbec4aec6e01,2026-01-24,CUST-930966,300,22,123,47.04,41,20:00-22:00,Spotify,29.67,0.8,No,0,17,Productivity,1.9,7,98.98,4,Yes,3.85,Single,N/A
dc172fbe-fab1-4def-a087-40c32c79bee8,2025-11-03,CUST-416801,275,7,194,18.04,42,12:00-14:00,None,25.87,0.26,No,0,57,Productivity,1.7,23,97.05,4,Yes,7.85,Single,N/A
c1391299-63cc-4c67-8089-630451431923,2026-01-11,CUST-341208,215,14,128,30.62,6,18:00-20:00,Spotify,83.33,0.66,No,0,34,Productivity,1.22,53,98.59,0,No,1.19,Single,N/A
25871faf-eb0b-4852-9926-088562fd1842,2026-01-20,CUST-718597,161,44,128,30.39,42,18:00-20:00,None,32.97,0.38,No,5517,21,Streaming,1.9,57,95.15,4,No,3.51,Single,N/A
fab9428b-75d8-4b88-b45f-a8d48626b318,2026-02-22,CUST-189610,243,45,140,26.99,40,08:00-10:00,None,32.99,0.39,No,0,45,Social,0.91,29,95.98,1,No,7.22,Single,N/A
cbb339c4-c2d7-4687-92e4-ec180d4514b5,2026-05-09,CUST-783135,287,10,172,18.15,8,08:00-10:00,Netflix,39.15,0.2,No,0,30,Streaming,1.87,10,98.87,2,No,7.71,Single,N/A
5bd2dc8a-94c7-4e5f-9d4e-710da9a85ae1,2026-01-20,CUST-442179,77,38,195,27.55,12,08:00-10:00,YouTube,12.53,0.29,No,0,11,Productivity,1.73,19,96.85,0,No,1.12,Single,France
3b1455e5-4d79-45cf-a6e2-65b0dddf442a,2026-01-28,CUST-888898,142,9,74,15.84,23,08:00-10:00,Spotify,35.9,0.43,No,0,18,Maps,0.93,26,96.84,3,No,0.46,Single,N/A
ddb9cd8e-5fd0-406d-8173-cebc54873feb,2026-06-09,CUST-933360,275,46,85,33.39,25,08:00-10:00,Spotify,73.96,0.52,No,0,48,Productivity,0.67,51,99.84,3,No,4.73,Single,N/A
279ed481-9438-41f4-aa54-b1ee4733b71d,2026-03-13,CUST-380674,79,6,115,19.52,47,08:00-10:00,None,66.41,0.68,No,3478,25,Social,0.72,34,99.96,4,No,6.24,Single,N/A
d928e84c-e38d-4301-8ae6-63285e58d932,2026-04-17,CUST-509537,135,2,81,19.45,19,08:00-10:00,None,93.89,0.37,No,0,37,News,1.06,43,99.89,2,Yes,7.2,Single,N/A
0e58e808-0c6c-4da8-bfd5-e6cdc0d90b05,2025-08-26,CUST-773067,181,46,193,5.48,45,12:00-14:00,YouTube,81.81,0.24,No,7020,2,Maps,1.34,51,99.32,4,No,4.35,Multiple,N/A
f9c5ac43-aead-4117-a3aa-2c2df31db5ee,2026-02-21,CUST-200557,132,5,42,48.39,7,12:00-14:00,Netflix,31.27,0.37,No,3170,54,Streaming,1.34,32,96.34,1,Yes,2.76,Multiple,N/A
eeb335b3-9010-4292-abdd-23b3239e1fe3,2025-11-10,CUST-840466,6,27,141,27.78,21,20:00-22:00,Spotify,77.36,0.82,Yes,0,32,News,1.33,51,95.63,2,No,9.7,Multiple,N/A
63bf1c46-3330-41fa-a5e1-6a67e3d1cd1d,2026-07-24,CUST-349715,187,1,120,16.79,40,12:00-14:00,None,43.09,0.64,Yes,5216,20,News,1.32,16,99.45,3,No,8.62,Single,N/A
c1c28d8a-8be4-4f4f-bed8-f9247caa5163,2026-05-11,CUST-891017,217,37,59,37.82,12,12:00-14:00,None,65.69,0.35,No,0,10,Social,1.48,22,99.96,1,No,1.85,Multiple,N/A
2640cb44-5f0f-46f7-a4a4-a38869dab0dd,2025-11-05,CUST-215983,105,25,59,30.06,16,12:00-14:00,Spotify,34.84,0.7,No,0,55,News,1.77,28,98.93,2,No,7.44,Single,N/A
35164a82-c1d0-474d-bb09-54b319f0331c,2026-06-20,CUST-380754,130,42,130,21.56,17,12:00-14:00,None,92.56,0.15,No,0,21,Gaming,0.9,16,98.3,2,No,7.48,Single,N/A
d3a73ea3-2384-493e-b8e2-1e3040e0af21,2026-05-20,CUST-605478,182,7,12,16.59,20,18:00-20:00,Netflix,18.17,0.67,Yes,0,57,Gaming,0.98,19,99.47,3,Yes,3.11,Single,N/A
648d26a0-5f4f-4f6d-8ecd-6efdca4d7134,2026-03-12,CUST-647410,21,28,161,5.88,21,18:00-20:00,YouTube,88.47,0.31,No,0,55,News,1.02,38,98.63,3,Yes,9.66,Single,N/A
bc340535-ee21-4fe5-b03a-034736c87990,2025-09-28,CUST-703701,78,8,27,40.14,32,20:00-22:00,Netflix,47.28,0.48,Yes,0,39,Streaming,1.45,32,98.51,2,No,9.33,Multiple,N/A
aa8af3cb-abe8-4e43-862d-114f6ac77298,2025-11-05,CUST-682455,28,13,185,29.71,6,20:00-22:00,None,12.56,0.29,No,0,56,Social,1.04,33,96.11,3,Yes,6.71,Single,N/A
bb95d8d2-462e-41c9-a8f0-a9b83038b057,2026-02-22,CUST-547366,158,43,134,5.67,19,12:00-14:00,None,42.83,0.19,No,0,39,News,1.93,40,97.67,2,No,8.13,Single,N/A
72f179e1-5421-4941-8dd6-8cd46dd70236,2025-10-25,CUST-478298,30,16,77,49.25,22,12:00-14:00,Netflix,66.74,0.66,No,3759,36,Streaming,0.57,14,97.35,5,No,7.37,Multiple,N/A
8b60c18f-db11-43e1-ab2c-e002eb682941,2026-04-01,CUST-898949,62,4,57,12.43,15,08:00-10:00,YouTube,6.39,0.18,No,2071,2,Productivity,0.64,32,97.1,0,No,0.25,Multiple,N/A
f65165ea-6f66-4bd0-84ab-03e9e9054079,2026-04-08,CUST-826503,87,28,148,16.58,16,12:00-14:00,None,41.52,0.2,No,0,29,Productivity,0.53,58,98.02,4,Yes,4.61,Single,N/A
203c5bcd-7fde-4d03-a9c1-d6abf398bb5f,2025-08-17,CUST-205484,160,12,113,28.16,33,20:00-22:00,Spotify,0.1,0.67,No,0,13,News,1.87,47,96.7,4,No,1.77,Multiple,N/A
2f07ac22-8347-45b4-8444-4565b93e4c7e,2026-04-14,CUST-676005,205,21,11,7.87,34,20:00-22:00,None,69.88,0.43,No,0,44,Maps,1.95,20,95.16,2,Yes,8.89,Multiple,N/A
e2ccda1a-b2b4-4740-babc-e6f053b1f2f3,2025-12-23,CUST-899273,298,28,15,16.04,32,18:00-20:00,Netflix,88.11,0.7,Yes,9413,59,News,1.93,34,96.45,3,Yes,2.89,Single,N/A
f5aa5487-1b53-4d7a-896e-301f93d0eed8,2026-05-16,CUST-861992,244,15,190,39.94,47,20:00-22:00,Netflix,24.51,0.31,No,0,46,Gaming,1.16,15,96.9,4,No,5.41,Multiple,N/A
8c18fa4f-3a8d-4692-a66c-c242fbb36be9,2025-11-14,CUST-524750,232,43,150,44.7,35,18:00-20:00,Spotify,91.71,0.4,No,0,11,Gaming,0.88,32,97.76,3,No,9.19,Single,N/A
7eb893ac-e90b-45e4-91bc-3907e9141ace,2025-10-14,CUST-569256,223,6,151,44.44,22,20:00-22:00,None,42.32,0.24,No,0,18,Streaming,0.77,37,98.57,3,No,5.85,Multiple,N/A
ca701d73-81e8-4c12-be60-684adcb3d829,2025-08-04,CUST-395772,126,4,35,8.38,9,08:00-10:00,YouTube,43.28,0.52,No,2785,45,Maps,0.91,17,96.35,0,No,9.39,Single,N/A
73d4e86e-bedf-4290-bc97-65ec1e3beecc,2025-08-04,CUST-924179,291,19,80,1.3,26,20:00-22:00,None,69.46,0.84,No,7059,4,Productivity,1.57,21,95.66,3,No,9.74,Multiple,N/A
388791e6-bf5f-445b-b6fc-305199bdbdcd,2026-05-26,CUST-977607,292,45,162,13.05,45,20:00-22:00,None,24.31,0.14,No,0,48,Maps,0.68,45,96.45,5,No,2.96,Single,USA
0e0d38d4-fc1e-4699-af31-4b788616a6df,2026-04-11,CUST-159989,88,42,60,8.9,27,18:00-20:00,Spotify,9.76,0.43,No,0,29,Streaming,0.79,42,99.99,1,Yes,2.38,Single,Japan
3f94953c-60fe-4e46-8a04-02d7f86aa31a,2026-07-11,CUST-770862,166,30,21,47.49,17,08:00-10:00,YouTube,84.52,0.14,No,0,58,Gaming,1.71,39,99.04,2,No,9.17,Multiple,N/A
9827bcd0-5a94-4130-8dcb-5d765b211381,2025-09-29,CUST-503683,239,21,136,31.9,28,20:00-22:00,None,94.37,0.41,No,0,14,Productivity,0.78,12,98.49,5,No,7.57,Single,N/A
ad50a08b-faa7-4306-bb51-1cff83954ba1,2026-05-23,CUST-810662,178,4,13,23.92,14,18:00-20:00,None,52.51,0.69,No,0,36,Maps,0.79,59,95.02,3,No,3.9,Single,N/A
3ccaedc8-3671-4466-85a3-c90ecc75fb2c,2026-07-05,CUST-862471,107,12,86,3.14,47,18:00-20:00,None,89.94,0.21,No,0,5,Productivity,1.33,56,95.59,2,Yes,1.21,Single,N/A
191ce2ff-4520-49c0-9c17-f34c7430dd32,2025-10-18,CUST-482827,260,44,162,24.6,24,08:00-10:00,Spotify,40.14,0.23,No,0,29,Productivity,1.13,36,99.51,0,Yes,5.75,Single,N/A
4eb37b40-ff19-47ce-9da4-bee344be96f4,2025-08-08,CUST-889030,17,7,55,37.4,16,12:00-14:00,YouTube,71.81,0.15,No,0,58,Gaming,1.64,37,97.26,3,No,6.83,Multiple,USA
83275ed7-4adf-47d8-b126-6f43d82b612b,2026-03-29,CUST-266573,140,38,81,9.86,48,18:00-20:00,None,75.22,0.26,No,0,4,Productivity,1.55,44,100,4,Yes,9.44,Multiple,N/A
1f2868fb-efb7-4667-b712-e0e7620a2307,2026-04-22,CUST-232448,104,18,16,1.24,37,18:00-20:00,YouTube,47.57,0.74,No,0,60,Streaming,0.57,12,97.1,4,Yes,5.58,Multiple,Mexico
b9601cc3-69b1-4bc8-88c6-2308ff52eaf3,2025-11-20,CUST-657902,33,7,38,36.4,18,18:00-20:00,Spotify,18.5,0.77,Yes,0,31,Gaming,1.87,38,95.62,1,No,5.3,Single,N/A
1f6e6d2a-95a5-4631-a3d5-970edf842425,2025-07-29,CUST-986022,274,32,194,38.49,8,08:00-10:00,Netflix,85.69,0.54,No,0,28,News,1.02,29,95.33,1,No,0.16,Single,N/A
7fb666b6-c149-42ed-8888-3b11e644485e,2025-12-01,CUST-796710,136,30,194,39.22,22,08:00-10:00,Netflix,57.29,0.56,No,5434,42,Productivity,1.7,35,99.9,2,No,3.35,Multiple,N/A
dfe4a9f4-3479-401e-93c4-77e0eef02b1a,2026-04-04,CUST-340853,45,24,186,11.58,10,18:00-20:00,None,78.01,0.15,No,1520,45,News,0.72,37,99.48,0,No,8.53,Multiple,N/A
b4cac1cd-8bdf-44fb-b0f5-1f8474cf9d6e,2025-07-31,CUST-736448,51,1,159,34.64,8,20:00-22:00,None,35.77,0.7,No,0,41,Streaming,1.83,57,98.59,4,No,0.48,Single,N/A
32586023-1c85-454e-8846-fe90a06684a3,2025-11-08,CUST-219059,217,3,12,25.6,35,18:00-20:00,Netflix,5.04,0.32,No,0,53,Maps,1.11,29,98.87,2,Yes,2.06,Single,N/A
10abd927-5f1c-4396-b486-1ab779a7a0fd,2025-11-14,CUST-730279,70,13,151,15.58,28,12:00-14:00,YouTube,23.37,0.29,No,0,17,Productivity,1.33,47,97.15,1,No,9.33,Single,N/A
3bc719b2-1d9c-44f5-954c-02aef61fda45,2026-04-22,CUST-193524,95,27,168,6.18,44,18:00-20:00,Spotify,62.6,0.68,Yes,0,57,Gaming,0.96,56,99.71,2,No,6.75,Single,N/A
f5dd3e6a-0dbf-45df-b726-4673494c1873,2026-01-03,CUST-802166,94,44,39,38.5,24,08:00-10:00,Spotify,30.96,0.67,No,0,22,Gaming,1.04,51,97.1,4,No,6.1,Single,N/A
788c1c81-80b2-466b-ba35-937b82383aef,2025-12-29,CUST-813033,278,36,134,13.97,34,12:00-14:00,YouTube,66.97,0.42,Yes,0,59,Productivity,0.76,52,98.98,2,No,2.01,Single,N/A
e783b7b5-e748-4d93-8eee-aa6db587b7cc,2026-01-28,CUST-945033,104,44,112,42.42,50,12:00-14:00,Spotify,69.74,0.25,No,0,59,Social,1.75,27,95.82,5,No,0.63,Single,N/A
53cf7205-3841-4505-8671-e858b6bcbcab,2025-08-26,CUST-680760,144,33,187,48.06,41,08:00-10:00,Spotify,97.02,0.26,No,0,50,Gaming,1.01,10,96.83,3,Yes,0.6,Single,Germany
b725a3d9-27a9-4c1d-85aa-8eeeacabc9df,2026-03-30,CUST-996991,248,5,98,32.3,24,20:00-22:00,Netflix,69.77,0.14,No,0,57,Streaming,1.66,57,96.43,5,No,8.56,Single,N/A
5be01380-fd6f-4b1e-92b9-0f7e082a9cd8,2026-07-05,CUST-140004,86,24,79,26.48,46,18:00-20:00,YouTube,79.32,0.69,No,0,14,Maps,0.8,41,99.05,4,No,7.12,Single,France
8687a94e-fa86-4ac7-9b4c-d7632e1aea7c,2025-08-02,CUST-332984,185,37,46,0.87,44,18:00-20:00,Netflix,31.96,0.15,No,3962,13,Maps,1.18,30,95.31,3,No,4.18,Single,N/A
e1466dd5-af35-4a93-8be3-f6548582861d,2025-12-30,CUST-169571,237,11,11,40.51,26,20:00-22:00,YouTube,10.91,0.34,No,2042,28,Productivity,1.69,15,97.24,3,No,9.15,Single,N/A
73041b77-3132-4b5d-8b69-eefb373596b8,2026-04-08,CUST-305692,219,42,20,46.07,18,12:00-14:00,Netflix,16.37,0.5,No,1706,7,Gaming,1.31,59,95.54,1,No,1.64,Single,N/A
d0f8ccf0-3d5a-49ab-ba99-46e5275f7faf,2026-02-22,CUST-306270,5,29,173,9.75,26,12:00-14:00,YouTube,29.63,0.56,No,0,24,News,1.2,15,97.6,4,No,5.45,Single,N/A
13c9257c-1776-4e55-b2c5-4902729da784,2025-10-07,CUST-737303,218,5,161,44.02,35,08:00-10:00,Spotify,76.05,0.19,No,8746,9,Productivity,0.72,7,95.22,2,Yes,5.06,Single,Mexico
9887a639-45d6-4476-92e0-f9848c6b47f8,2025-11-20,CUST-205687,221,28,143,41.68,39,08:00-10:00,Netflix,62.68,0.21,No,0,4,Productivity,1.31,32,98.62,1,No,0.94,Single,N/A
e455f03b-be15-4556-8f7d-24e07236f28c,2026-03-22,CUST-736921,246,3,97,0.87,18,08:00-10:00,YouTube,37.64,0.81,No,0,41,Maps,0.57,58,98.36,3,No,6.4,Multiple,N/A
5a5f17d3-f9b4-41b6-999c-c8ed99a95d53,2026-07-06,CUST-659398,65,44,158,33.4,44,20:00-22:00,Netflix,34.84,0.24,No,0,52,Maps,1.93,43,98.94,2,No,9.35,Single,N/A
aed53cc7-ecad-4d6a-9cc2-0e63af0e3a98,2025-09-24,CUST-267269,113,35,9,24.06,14,12:00-14:00,Spotify,36.57,0.81,Yes,0,6,News,0.83,33,95.05,1,Yes,4.57,Multiple,N/A
434e7902-8a90-4646-b1ad-75d4925b81b6,2026-06-14,CUST-980280,60,29,166,11.31,5,12:00-14:00,YouTube,14.01,0.87,Yes,0,25,Social,0.88,52,97.53,2,Yes,0.03,Multiple,N/A
2d4e522e-a150-425c-919f-279f4dde13cc,2025-11-28,CUST-413381,147,40,179,49.05,22,18:00-20:00,Spotify,62.69,0.41,No,0,42,News,1.91,48,96.6,4,No,8.77,Single,N/A
