Record_ID,Date,Customer_ID,Plan_Type,Plan_Tier,Subscription_Status,Monthly_Plan_Cost,Contract_Duration_Months,Auto_Renew_Enabled,Discount_Applied,Number_Ported_from_Another_Operator,Roaming_Enabled,Last_Plan_Change_Date,Add_On_Services_Subscribed,Plan_Customization_Level,Payment_Method,Loyalty_Program_Enrollment,Bundle_Discount_Utilization_Rate,Plan_Downgrade_Upgrade_Frequency,Contract_Early_Termination_Rate,International_Plan_Enrollment_Rate,Subscription_Pause_Requests
e2a917b4-c876-43a9-91c1-985406091e29,2025-09-17,CUST-656054,Data,Premium,Active,78.84,31,Yes,Yes,No,No,2025-11-03,None,Tailored,Mobile Wallet,No,0.65,0,1.06,45.52,1
abb2785b-cc50-4e3f-81e9-d646df5bc2f9,2025-11-23,CUST-171110,Voice,Enterprise,Active,47.87,21,Yes,Yes,No,Yes,2025-11-01,None,Tailored,Direct Debit,Yes,0.7,0,3.25,37.17,1
2b251b86-1730-49c7-9851-46c544e24676,2026-06-06,CUST-386444,Voice,Enterprise,Cancelled,86.85,23,No,No,No,No,2026-07-06,Premium Streaming,Tailored,Mobile Wallet,Yes,0.58,1,0.42,31.78,1
866421e9-1d14-45a9-9539-f9d7dfde8f24,2026-03-27,CUST-994555,Data,Family,Active,123.83,28,Yes,Yes,Yes,No,2025-09-06,Voicemail,Standard,Mobile Wallet,Yes,0.68,1,0.58,42.58,0
877c9d6a-60d5-4a49-8b44-b034534a6023,2026-02-27,CUST-174462,Data,Basic,Suspended,83.99,31,Yes,No,No,No,2026-05-23,None,Tailored,Direct Debit,No,0.82,2,2.33,30.79,1
761f34d2-b29a-4134-bd50-804fa1162140,2026-06-17,CUST-483950,Data,Basic,Active,81.8,30,Yes,Yes,No,No,2026-04-16,Voicemail,Tailored,Direct Debit,Yes,0.5,2,2.96,30.66,1
a5d0b416-d330-4ccb-8a78-32cb20fd2c8c,2026-02-14,CUST-360672,Voice,Premium,Cancelled,118.82,24,Yes,Yes,No,No,2025-11-25,None,Standard,Mobile Wallet,Yes,0.68,2,1.66,31.19,2
002dfe03-bcba-41db-9dcd-66497bd64307,2025-08-16,CUST-215182,Voice,Enterprise,Cancelled,39.94,30,Yes,Yes,No,No,2025-07-25,None,Standard,Direct Debit,Yes,0.65,0,3.99,48.48,1
01567a46-23de-4097-99c0-ed00024a24e1,2025-10-27,CUST-389173,Data,Family,Cancelled,126.17,18,No,No,No,No,2025-10-30,None,Standard,Direct Debit,Yes,0.97,1,4.76,47.8,2
bddcaf0e-078c-42c4-9f98-f967960087c2,2025-11-11,CUST-890617,Data,Premium,Suspended,123.2,18,No,No,No,Yes,2026-03-28,Voicemail,Standard,Mobile Wallet,Yes,0.91,2,2.38,33.77,1
39e69c4b-cfe4-4d02-ab38-73b55e207b07,2025-07-31,CUST-122909,Data,Enterprise,Active,55.46,15,Yes,No,No,No,2026-04-28,None,Tailored,Credit Card,Yes,0.65,3,1.98,48.85,0
8354e66c-8bd0-416d-8182-d0d973b9a892,2025-10-03,CUST-619194,Bundled,Basic,Active,124.07,22,Yes,Yes,No,No,2026-04-26,Cloud Storage,Standard,Mobile Wallet,No,0.93,3,3.94,6.03,1
07765180-470d-426d-9ee9-49a7611676d8,2025-09-14,CUST-557154,Voice,Enterprise,Suspended,123.29,28,Yes,Yes,No,No,2025-12-27,None,Standard,Credit Card,Yes,0.7,2,0.53,49.12,0
87a0138f-6dd3-41bd-80de-c7fd3e373b76,2025-09-21,CUST-882188,Voice,Family,Cancelled,115.32,18,Yes,No,No,No,2026-02-04,None,Tailored,Mobile Wallet,Yes,0.96,2,2.96,12.82,2
2698d5ce-4002-4f67-b8e2-8538a008c8ef,2025-11-10,CUST-507260,Bundled,Family,Cancelled,143.19,13,Yes,Yes,No,No,2026-06-15,Cloud Storage,Standard,Credit Card,No,0.56,2,1.01,34.88,2
44a6716f-6665-45e2-8a16-f557bacd0cc9,2026-01-25,CUST-848495,Data,Enterprise,Suspended,141.99,32,Yes,Yes,No,No,2025-07-30,None,Standard,Mobile Wallet,Yes,0.57,2,4.95,37.96,2
89321e77-c7e1-406e-b93d-7e529a975b9b,2026-01-27,CUST-737931,Data,Basic,Cancelled,103.74,17,No,No,Yes,No,2026-05-14,None,Standard,Credit Card,No,0.55,3,2.24,13.06,1
2d5b826c-105d-4b8e-9a8c-4167167e1fcb,2025-09-26,CUST-750249,Data,Family,Suspended,46.8,15,Yes,Yes,No,Yes,2026-04-26,Cloud Storage,Tailored,Credit Card,No,0.67,1,1.43,21.5,1
64033b4c-e891-494f-b354-29be641ea9b9,2026-01-03,CUST-695407,Bundled,Enterprise,Cancelled,51.49,31,Yes,No,No,No,2026-02-21,Premium Streaming,Standard,Credit Card,Yes,0.71,2,4.12,40.2,1
c4d236bf-fcab-4f29-b606-28adb7445797,2026-05-10,CUST-724605,Bundled,Family,Suspended,55.97,25,Yes,No,No,No,2025-09-08,Voicemail,Tailored,Mobile Wallet,Yes,0.63,1,3.62,41.49,2
49c7c6e8-7469-4b56-951b-18217d96efc8,2025-12-27,CUST-377323,Data,Premium,Cancelled,106.17,27,No,Yes,Yes,No,2026-07-22,Cloud Storage,Standard,Direct Debit,Yes,0.79,2,0.67,46.15,1
25270b15-fee1-4301-a4c7-3dcc309b809d,2025-12-09,CUST-708695,Bundled,Family,Cancelled,82.77,24,No,No,No,Yes,2026-06-07,None,Standard,Direct Debit,No,0.77,1,2.12,8.48,1
ec1434cc-8e2e-4abb-85f6-91c329b34149,2025-08-23,CUST-938813,Bundled,Enterprise,Cancelled,122.59,35,Yes,No,No,Yes,2025-08-15,None,Tailored,Mobile Wallet,Yes,0.71,2,1.66,32.2,1
d9552ced-c789-46b5-a81f-7eae9b895e8e,2025-12-30,CUST-971931,Bundled,Enterprise,Cancelled,25.22,18,Yes,No,No,No,2025-08-18,None,Tailored,Mobile Wallet,Yes,0.51,2,3.69,37.75,0
cb87c755-c184-45b5-952a-db15dfe94f2a,2025-08-18,CUST-505774,Bundled,Premium,Cancelled,104.51,22,Yes,Yes,No,No,2025-08-13,None,Tailored,Mobile Wallet,Yes,0.83,2,2.8,9.26,1
87e6f04a-1e02-4cba-b456-db8d5aa68e5b,2025-11-03,CUST-167561,Data,Premium,Active,88.3,14,Yes,No,No,No,2025-09-25,None,Standard,Credit Card,No,0.98,1,4.9,19.27,0
62e349b0-cb2f-436c-a6ba-802231af4caa,2026-06-06,CUST-580516,Bundled,Enterprise,Suspended,82.54,29,Yes,No,No,Yes,2026-07-09,Voicemail,Standard,Mobile Wallet,No,0.78,3,0.85,24.06,0
65a71b10-0b40-4a94-82bc-667610b51399,2026-04-01,CUST-438217,Voice,Family,Cancelled,41.78,26,Yes,Yes,No,Yes,2026-05-31,International Calls Pack,Tailored,Credit Card,No,0.95,1,1.03,38.79,0
55cad23b-36e4-4507-a2cd-bf14d5288225,2026-06-01,CUST-962085,Voice,Family,Suspended,51.81,29,Yes,No,No,No,2026-02-27,None,Tailored,Credit Card,No,0.63,1,0.53,16.24,0
33ed1602-d9a0-4d02-befa-62a0d7444c36,2025-11-10,CUST-765104,Voice,Premium,Active,46.14,17,No,No,No,No,2025-11-17,Voicemail,Standard,Direct Debit,No,1,0,1.95,36.52,1
943b08dd-78f8-405b-b293-50dcaccfca83,2025-10-08,CUST-882795,Bundled,Family,Cancelled,49.08,22,No,No,No,No,2025-12-07,Cloud Storage,Tailored,Direct Debit,Yes,0.87,2,2.95,27.35,1
e9e89d90-847a-45b0-83c6-c610fb2710f1,2026-01-23,CUST-186696,Bundled,Enterprise,Active,69.66,26,Yes,No,No,No,2026-02-11,None,Tailored,Credit Card,Yes,0.83,1,2.71,14.1,2
d5fc516e-73a2-48bb-9d2c-5921edc23b0f,2026-01-17,CUST-600641,Voice,Basic,Cancelled,69.69,31,Yes,Yes,No,No,2025-10-28,None,Tailored,Mobile Wallet,No,0.57,2,2.93,43.27,1
42c9a675-07f9-452b-93c6-8b775b533439,2026-06-22,CUST-289377,Data,Family,Suspended,59.17,33,Yes,Yes,No,No,2025-10-11,None,Tailored,Direct Debit,Yes,0.57,2,2.47,18.58,2
4e59dd4d-fef4-461c-910e-c8fd585d4f09,2026-04-06,CUST-514495,Voice,Enterprise,Cancelled,110.57,13,No,No,No,No,2026-06-18,Cloud Storage,Standard,Credit Card,Yes,0.82,1,2.21,9.83,0
0be6b7a1-7cfd-4d75-9010-28381f84778e,2026-03-30,CUST-995809,Bundled,Premium,Suspended,101.14,30,No,No,No,No,2025-09-01,Cloud Storage,Tailored,Direct Debit,Yes,0.64,2,3.54,16.08,1
b7d25f72-cb4d-41fa-926e-acc31815461b,2025-12-22,CUST-749802,Bundled,Enterprise,Active,134.26,21,No,Yes,No,No,2026-01-28,None,Tailored,Direct Debit,Yes,0.52,0,0.13,49.58,2
15979916-2792-4f19-a6ac-827fcc9c7785,2025-12-08,CUST-350963,Bundled,Basic,Suspended,57.25,25,Yes,No,No,No,2026-04-26,None,Tailored,Direct Debit,No,0.89,2,2.29,43.46,0
f7e95aca-7fee-4e6f-bc88-e2969db47da1,2026-06-21,CUST-627832,Bundled,Premium,Cancelled,33.48,18,Yes,No,No,No,2026-07-10,Cloud Storage,Tailored,Direct Debit,Yes,0.73,1,4.6,34.18,1
7c61d7ef-b12b-4cd4-8c9b-eb2a03816cfb,2025-10-23,CUST-748063,Data,Enterprise,Suspended,64.02,28,Yes,No,Yes,No,2026-01-29,International Calls Pack,Standard,Mobile Wallet,Yes,0.62,2,4.38,8.92,1
1b316dc9-916d-4025-86a5-929dae731cd4,2025-09-23,CUST-984683,Voice,Premium,Cancelled,65.49,32,Yes,No,No,Yes,2025-12-10,Cloud Storage,Standard,Mobile Wallet,Yes,0.83,2,4.33,27.32,1
7d96d2d5-e51a-44ec-9c7e-42f4c95229fb,2025-08-29,CUST-769054,Voice,Enterprise,Cancelled,112.35,26,Yes,No,No,No,2026-05-27,International Calls Pack,Tailored,Direct Debit,Yes,0.95,1,3.24,42.95,1
f6a8cf10-ed43-4ea7-a4c5-3b2fd1b6a829,2025-12-15,CUST-836456,Data,Enterprise,Suspended,63.6,22,Yes,No,Yes,Yes,2025-08-27,Premium Streaming,Tailored,Mobile Wallet,Yes,0.64,1,2.19,11.73,1
3ba6cca8-610f-4c2c-a5b5-a5ecb9c3ae07,2026-05-27,CUST-872726,Data,Basic,Cancelled,31.1,30,Yes,No,No,No,2026-05-18,International Calls Pack,Standard,Direct Debit,Yes,0.56,3,0.22,39.84,0
832918f3-5923-4b83-a869-6a73195d4bad,2025-12-27,CUST-302448,Data,Basic,Cancelled,90.38,23,No,Yes,No,No,2026-05-30,None,Standard,Direct Debit,No,0.51,0,3.55,10.86,2
ecf64ecc-46bd-43a3-90a8-09b635d81cf8,2025-12-23,CUST-720613,Voice,Enterprise,Cancelled,138.09,22,Yes,No,No,No,2026-04-04,None,Tailored,Direct Debit,No,0.62,2,3.82,26.9,0
d89c6468-77e4-4ae2-bcca-cef91f69a5d3,2026-05-04,CUST-427420,Voice,Premium,Cancelled,56.98,23,No,No,No,Yes,2026-02-16,Cloud Storage,Standard,Credit Card,Yes,0.91,2,1.43,29.13,1
9a444959-545b-4691-847b-2fca64d20cdd,2026-02-23,CUST-575431,Voice,Basic,Suspended,117.12,22,Yes,Yes,No,No,2026-07-14,None,Standard,Credit Card,Yes,0.92,1,2.91,16.99,2
3a489c7c-0e2f-4eed-ae1b-cd858c2c3176,2026-01-06,CUST-189731,Data,Premium,Cancelled,48.82,19,Yes,No,No,No,2025-10-06,None,Tailored,Direct Debit,Yes,0.59,3,1.76,40.82,0
87273e0d-ab5a-4453-8ea2-6a4eae91a8ed,2026-07-23,CUST-748974,Voice,Basic,Suspended,67.73,26,Yes,Yes,No,No,2025-11-11,None,Tailored,Credit Card,No,0.52,1,1.29,16.12,1
6ed04d4c-0234-4380-87aa-914d3e52b917,2025-11-16,CUST-673984,Data,Premium,Suspended,52.92,22,Yes,Yes,Yes,No,2025-09-27,Voicemail,Tailored,Direct Debit,No,0.58,2,1.9,48.97,0
0d5fc076-7b44-436c-96ed-5af9ab84d114,2025-12-19,CUST-780695,Data,Basic,Cancelled,139.77,22,Yes,Yes,No,No,2025-10-18,International Calls Pack,Tailored,Direct Debit,Yes,0.94,1,3.44,42.62,1
c5e80505-55bc-47c4-89b9-5919cfac3b4a,2025-10-17,CUST-633496,Data,Premium,Active,69.16,24,No,No,No,No,2026-05-21,None,Standard,Mobile Wallet,Yes,0.81,0,4.19,41.01,1
30e349b7-ead2-4835-9b59-0e43fe6fe71f,2025-11-03,CUST-849072,Data,Basic,Active,75.61,29,Yes,No,Yes,No,2025-12-29,None,Standard,Mobile Wallet,No,0.83,1,3.77,18.9,1
9d6114ba-6a21-4d40-ba26-e2c4f4300bf6,2026-04-27,CUST-898525,Bundled,Family,Suspended,33.46,24,No,Yes,No,No,2026-03-10,None,Standard,Mobile Wallet,Yes,0.52,0,4.83,44.71,1
9572aeec-565b-49f5-82ba-cfc688b01e79,2025-10-16,CUST-497119,Bundled,Basic,Suspended,85.93,34,Yes,No,No,No,2025-10-07,Premium Streaming,Tailored,Direct Debit,Yes,0.7,2,1.35,5.7,2
5c318873-dc33-4ad9-9344-c496c2b0f99a,2025-10-12,CUST-242179,Voice,Basic,Suspended,130.46,18,Yes,No,No,Yes,2025-08-04,International Calls Pack,Tailored,Mobile Wallet,No,0.83,2,1.85,37.66,1
08727f71-e418-4004-9d89-9cba5ab705cf,2026-01-17,CUST-574426,Voice,Premium,Suspended,133.5,29,Yes,No,No,No,2026-06-10,Cloud Storage,Standard,Direct Debit,Yes,0.65,2,3.4,22.38,2
9b50ea8d-f965-418c-8252-ea7420064fee,2026-06-05,CUST-908233,Bundled,Family,Cancelled,120.65,23,Yes,No,No,No,2025-10-02,None,Standard,Direct Debit,Yes,0.71,2,2.6,37.43,1
5fa3882c-6023-4082-91d4-f9c199ae0bf9,2025-12-29,CUST-672628,Bundled,Premium,Cancelled,35.4,18,Yes,No,No,No,2026-06-15,Voicemail,Tailored,Credit Card,No,0.5,2,3.87,24.54,1
249f4d9a-62b4-4688-a97e-4b2639bcf4b7,2026-07-21,CUST-297613,Voice,Premium,Suspended,80.01,24,Yes,Yes,Yes,No,2026-06-12,None,Standard,Credit Card,Yes,0.73,1,3.74,8.28,1
45db917b-a8ec-473c-b63c-cce8014b9edf,2025-12-21,CUST-666360,Data,Premium,Active,57.05,20,No,No,No,No,2026-07-06,Voicemail,Standard,Credit Card,No,0.76,0,1.63,33.79,2
31f763e0-43e4-4cf0-a6b1-c4e179834fb7,2026-01-17,CUST-679434,Data,Basic,Cancelled,26.49,12,No,No,No,No,2025-08-29,None,Standard,Direct Debit,Yes,0.73,1,2.09,16.33,2
28644acc-9391-49b5-9236-ac1eda39cc5d,2026-05-05,CUST-435042,Voice,Family,Cancelled,82.77,27,No,No,Yes,No,2025-08-30,None,Standard,Mobile Wallet,Yes,0.66,2,0.35,34.72,1
da4bf248-e88c-4007-b436-e6110a6085d7,2025-11-04,CUST-873699,Data,Family,Active,69.06,24,Yes,No,No,Yes,2026-03-21,Cloud Storage,Standard,Direct Debit,Yes,0.53,1,0.31,32.22,0
5e1d3816-5982-4c27-aeb5-abba61e64a1b,2025-08-12,CUST-709492,Data,Enterprise,Suspended,77.21,17,Yes,No,Yes,No,2026-02-17,None,Tailored,Mobile Wallet,Yes,0.94,1,3.69,27.62,1
f60c8222-93b4-4386-9dea-2c5e95afb52f,2026-02-07,CUST-658883,Voice,Enterprise,Cancelled,120.43,23,Yes,No,No,No,2026-04-26,None,Tailored,Mobile Wallet,Yes,0.68,2,3.18,22.69,1
e6418d9c-854c-4086-8bb5-82d933ff7542,2026-04-03,CUST-902774,Bundled,Basic,Suspended,94.73,35,Yes,No,No,No,2025-11-19,None,Tailored,Direct Debit,No,0.98,2,1.01,39.74,2
780e9e56-e964-43bc-adc2-275a6735fbb7,2025-11-09,CUST-818098,Bundled,Family,Cancelled,116.69,33,No,Yes,No,Yes,2026-02-16,None,Tailored,Mobile Wallet,No,0.59,0,1.01,34.59,1
18bbb77b-a203-495f-bfa1-e496f0c68991,2025-12-25,CUST-390049,Bundled,Family,Active,71.46,13,Yes,No,No,No,2026-07-17,None,Tailored,Mobile Wallet,Yes,0.87,2,4.3,37.91,0
b7e50b3b-3d5b-457c-9e52-9fa0004fe2ea,2026-04-25,CUST-102763,Voice,Family,Suspended,127.4,18,Yes,Yes,No,No,2025-12-16,None,Tailored,Direct Debit,Yes,0.84,2,2.86,6.78,1
400228f7-f30e-4b6e-8ffc-3c669dcafd6f,2026-02-05,CUST-987216,Data,Family,Cancelled,32.65,33,No,No,No,Yes,2025-11-07,None,Tailored,Credit Card,No,0.78,2,0.31,38.79,1
e751e667-1abd-4f02-862f-4135a29fa209,2025-11-17,CUST-955970,Data,Basic,Cancelled,137.99,27,No,Yes,No,No,2025-08-23,None,Tailored,Direct Debit,Yes,0.59,1,3.86,10.46,2
06fb53fd-c565-45d8-9bf7-443d00f26cb2,2026-04-14,CUST-447962,Voice,Enterprise,Suspended,145.05,18,No,No,No,No,2026-02-27,None,Tailored,Mobile Wallet,Yes,0.96,2,1.39,8.76,1
734de236-0c8d-450a-bfd0-84ca7d356ca2,2025-09-03,CUST-751216,Bundled,Basic,Suspended,21.42,35,Yes,Yes,No,No,2025-10-29,Premium Streaming,Tailored,Direct Debit,No,0.85,2,1.3,21.11,2
068fdcab-9048-4d68-a1ef-805f3bcb0e64,2026-01-05,CUST-100151,Bundled,Basic,Active,25.1,31,No,Yes,No,No,2026-01-26,None,Tailored,Credit Card,No,0.63,1,0.97,40.42,0
af0d06ac-6131-4969-8155-fcfcee5f263a,2025-11-22,CUST-861178,Voice,Family,Cancelled,66.38,23,No,No,No,Yes,2025-07-29,None,Standard,Credit Card,Yes,0.93,2,3.31,14.27,2
88399d07-3116-4421-a894-3ca95872f270,2026-06-15,CUST-943090,Data,Basic,Suspended,107.28,33,Yes,No,No,No,2026-04-06,None,Tailored,Mobile Wallet,No,0.95,3,1.5,8.48,2
fe68c25f-0c1b-4a59-b835-aee45becbb04,2026-03-21,CUST-932529,Data,Enterprise,Active,112.65,24,Yes,No,No,No,2026-04-04,None,Standard,Credit Card,No,0.9,2,4.94,23.83,1
e6606d79-4b08-44c6-823a-70405bdce722,2025-10-30,CUST-996629,Data,Premium,Cancelled,58.1,20,Yes,No,No,No,2026-04-26,None,Tailored,Direct Debit,Yes,0.87,2,3.13,40.96,2
8d0b7a39-d4d2-4142-b66d-f0455dac0993,2025-08-24,CUST-592971,Bundled,Family,Cancelled,57.93,30,Yes,Yes,No,No,2026-05-28,None,Standard,Direct Debit,No,0.98,2,4.07,25.24,1
704be3fd-7eb1-48bb-84ba-6281345ad548,2026-03-15,CUST-668768,Data,Premium,Cancelled,20.29,15,Yes,Yes,No,No,2025-12-30,Premium Streaming,Tailored,Credit Card,Yes,0.53,1,1.15,26.91,1
19382de9-340d-4b32-a0a7-37fe06c382a5,2025-08-25,CUST-565662,Bundled,Family,Cancelled,68.99,14,No,Yes,No,Yes,2026-02-20,Cloud Storage,Tailored,Mobile Wallet,Yes,0.94,1,2.46,35.84,2
d155cf38-49db-46c8-a5f9-69829cf7c2fa,2026-02-07,CUST-559535,Voice,Premium,Cancelled,77.68,20,Yes,No,No,No,2025-11-06,None,Tailored,Direct Debit,Yes,0.99,1,1.03,46.6,0
1413580e-7cb3-4e67-b6ca-ca5a9286a8d5,2025-09-13,CUST-757271,Data,Family,Suspended,27.36,20,Yes,No,No,No,2026-05-30,None,Tailored,Credit Card,No,0.95,2,1.49,5.63,1
78f9b004-6dcd-49ae-a22c-b3e4ac075ae6,2026-04-09,CUST-229613,Data,Enterprise,Suspended,60.86,17,Yes,No,No,No,2026-04-06,None,Tailored,Credit Card,Yes,0.55,2,2.15,13.26,1
0a2de3f0-cc05-4e15-a6ef-3b12ba1a5484,2026-05-27,CUST-107063,Bundled,Family,Active,68.16,27,No,Yes,No,Yes,2026-05-16,None,Standard,Direct Debit,Yes,0.81,3,1.23,15.33,1
fb512d72-6257-4467-a2db-590fce049367,2026-05-14,CUST-854546,Voice,Premium,Active,145.87,34,Yes,No,No,Yes,2026-05-30,None,Tailored,Direct Debit,No,0.78,1,3.82,49.69,1
843dfebd-50f5-4859-92db-ae08da5883ee,2026-02-20,CUST-344429,Bundled,Family,Active,37.21,33,Yes,No,Yes,No,2026-05-06,None,Tailored,Credit Card,No,0.6,2,2.29,40.88,1
89a08246-0544-474d-a291-850e03302d99,2025-10-21,CUST-802750,Voice,Family,Suspended,138.61,35,Yes,No,No,No,2026-07-09,None,Standard,Mobile Wallet,No,0.98,1,4.17,11.28,0
20808cd8-a8b4-43fe-aa94-539481d8a9b6,2026-01-31,CUST-156713,Bundled,Basic,Active,132.69,34,Yes,Yes,No,No,2025-09-08,None,Tailored,Credit Card,Yes,0.83,1,1.99,5.1,1
d5851cae-ed37-4893-9551-3c67d6df4972,2025-10-11,CUST-905606,Voice,Enterprise,Cancelled,109.09,13,No,No,No,No,2025-09-30,None,Standard,Direct Debit,No,0.52,2,3.26,17.58,1
ed298d89-5ce0-4220-8ee4-b47fc88418de,2026-03-02,CUST-965599,Data,Premium,Suspended,123.87,27,Yes,Yes,No,No,2026-03-31,Voicemail,Standard,Mobile Wallet,Yes,0.87,2,1.78,40.89,1
7a2bb462-bb9d-42b9-beb8-1ab325ba5508,2026-04-08,CUST-524366,Voice,Premium,Cancelled,94.42,15,Yes,Yes,No,No,2026-02-18,None,Standard,Credit Card,No,0.61,2,3.17,49.63,1
1c7d3287-1bb1-4f1b-a21a-ec0fe592be43,2026-02-28,CUST-923524,Voice,Enterprise,Suspended,85.54,23,Yes,No,No,Yes,2026-07-20,None,Tailored,Credit Card,Yes,0.86,0,2.39,35.28,1
87ef1a6b-2965-4912-b4b0-93d9d05b27ef,2025-10-08,CUST-593604,Data,Premium,Cancelled,44.27,19,No,No,No,No,2026-05-29,Voicemail,Standard,Direct Debit,No,0.99,2,0.13,43.74,1
ac798fb0-0882-43db-bcde-4cb06d3a9ad8,2025-12-14,CUST-988745,Data,Basic,Cancelled,104.35,19,Yes,No,No,No,2025-08-22,None,Standard,Mobile Wallet,Yes,0.87,3,2.33,18.61,1
08f51910-b626-46d7-925a-b528c0c20cec,2025-08-05,CUST-340492,Data,Basic,Suspended,136.16,20,Yes,No,Yes,No,2026-03-14,International Calls Pack,Standard,Direct Debit,Yes,0.89,1,0.85,31.69,1
