Record_ID,Date,Tower_ID,Network_Maintenance_Cost_per_Tower,Infrastructure_Upgrade_Frequency,Energy_Consumption_per_Tower_kWh,Network_Expansion_Rate_new_towers_month,Equipment_Failure_Rate,Mean_Time_to_Repair_MTTR_Hours,Network_Capacity_Utilization,Spectrum_Efficiency_Score,Backhaul_Latency_ms,IoT_Device_Connection_Volume
47456bac-1851-49c7-acd5-d81e1ef1275a,2025-11-29,TWR-005,907.93,2,3143.49,4.2,0.39,7.9,70.86,0.76,45,2715
fe4a9f1c-e48c-48cd-9ff7-da39e007a713,2026-06-22,TWR-001,547.68,3,1470.67,0.9,1.96,5.3,68.88,0.77,47,9590
1ceb6387-0fd7-441e-a4c8-52bbf14bf285,2026-06-30,TWR-002,736.5,3,616.06,2.3,1.46,20.6,89.01,0.67,29,7859
89985dd6-fe0f-4c4a-86ed-407ff28bba94,2025-12-18,TWR-001,994.01,3,4315.13,3.9,1.49,10.4,61.64,0.54,13,584
a3307542-ac37-4c32-864a-d32ca04974fe,2026-03-16,TWR-004,222.92,2,1695.18,3,1.47,20.4,94.69,0.96,41,6584
e972048b-94ba-4dc4-90a8-1196cf393f93,2026-03-16,TWR-002,137.27,1,2291.03,0.1,3.95,15.5,69.5,0.81,25,621
f5bace77-c5be-4dac-ad0c-f47235fb7bcc,2025-12-17,TWR-003,484.69,2,2728.61,3.3,3.61,9.3,83.36,0.51,48,4295
f016ab37-8f4f-4489-9093-c7cde4a9d5cb,2025-08-27,TWR-001,893.6,1,4334.47,4.3,1.22,16.3,69.51,0.74,39,4871
84dc3ea5-fcda-4c1b-b0ef-285e3f796eaf,2026-04-16,TWR-004,685.46,2,1641.75,1.2,4.67,3.2,62.22,1,48,2824
2e836ef3-88e1-496b-bacf-24ed61b31728,2025-12-07,TWR-001,971.21,4,3305.13,1.2,1.94,5.1,72.55,0.9,12,3745
fbb222ba-d70a-4058-bf99-07783d6702e2,2026-04-07,TWR-002,663.2,2,1098.13,4.5,2.44,16,88.2,0.64,16,5257
58392be3-135f-4448-b840-a627fe1a4fb8,2025-07-26,TWR-003,938.91,0,1348.6,2,1.62,5.1,64.19,0.59,26,4862
2d2a6b14-17c8-491d-9787-6c9539f5b5ce,2026-02-20,TWR-002,912.6,1,2039.17,1.4,3.33,18.4,76.15,0.84,36,9435
721ba79c-8ab1-4345-b081-f38254e01562,2025-08-05,TWR-005,906.82,4,1316.31,4.6,4.45,4.7,77.83,0.78,30,938
d7b85133-5f35-4d34-a32d-ac3b5fe4c47f,2026-03-30,TWR-002,857.98,1,832.54,4.8,3.03,17.4,76.41,0.59,27,2117
2c5130bf-c8c8-49b1-9652-c80c1a65b7a9,2025-11-03,TWR-003,739.44,0,3088,2.9,4.67,17.3,78.73,0.75,32,2150
f7c0b28b-5c5f-47f5-8e6a-bf376d936bdd,2026-04-19,TWR-002,150.73,3,4327.62,0.1,2.36,23.9,62.65,0.57,27,3300
54888e97-1b5d-4fd9-ba17-b573e0f4c625,2026-04-06,TWR-001,759.37,2,3118.21,5,2.89,8.2,79.66,0.98,26,7747
cf13050a-db10-4a9c-b09c-b4120a4de4eb,2026-04-23,TWR-005,239.71,0,2909.28,1.6,3.43,19.7,64.35,0.6,12,5757
8c15c3d6-9bb1-4f8b-9457-9e344120e287,2025-11-10,TWR-001,635.17,4,3165.79,4.2,1.5,1.5,65.22,0.55,38,4611
1f6b3df3-4c8f-4e59-8006-aa8b419e1f6f,2025-11-12,TWR-001,632.03,0,695.32,1.4,2.76,3.4,75.41,0.87,15,1635
7aa24971-ba22-46c7-9e10-3e96e627e0bc,2026-03-20,TWR-001,393.67,2,637.51,3,4.22,2.8,75.1,0.94,6,4082
d7a52963-b84d-4ba6-b493-0afa00ffcbaa,2026-05-23,TWR-005,817.09,0,1807.51,2,0.42,13.3,90.96,0.95,43,5981
2c4090c1-c319-48d5-a637-6124a89ef81b,2026-07-02,TWR-004,923.31,1,4139.82,3.4,3.67,13.6,75.99,0.89,17,8583
d7b08dcb-b065-4ce3-add7-0cee56fed71c,2025-12-17,TWR-001,448.14,2,4000.21,0.9,1.79,11.7,94.64,0.51,40,880
3a34c9d0-e672-4651-ad86-17d5858bfbb6,2026-01-25,TWR-001,161.72,1,717.35,4,0.19,19.5,93.86,0.72,46,4423
9a910a8b-707c-4237-8e09-9ebb64948005,2025-12-26,TWR-003,245.59,2,2216.47,1.2,4.25,18,67.41,0.78,45,6702
00bcfdeb-640d-47b2-b672-05434de879e6,2026-03-02,TWR-002,772.54,2,4098.03,2.7,0.32,21.5,82.96,0.97,18,9583
51aa4745-cc5f-4846-8c85-443036f44cc3,2026-05-28,TWR-001,109.92,2,2633.18,4.9,4.18,12.6,72.17,0.8,43,8781
0d9df3f4-d819-4d9f-bbc7-65c7f5586b0c,2026-04-09,TWR-002,819.17,1,4963.57,0.5,4.43,4.1,74.11,0.67,27,9460
8a6e78eb-572d-4c53-b66f-4ac2c6033719,2026-04-12,TWR-003,589.72,4,589.62,3.6,3.62,19.4,89.43,0.74,11,2562
052d7dc4-1b9e-4c88-891f-aa394e5045d6,2026-05-06,TWR-002,169.84,0,3640.99,2.3,3.73,11.5,63.91,0.8,44,7497
4863052f-00b3-4aeb-8cf5-48b2c5b8c4c4,2026-04-15,TWR-005,961.31,1,1030.31,2.2,0.92,16.2,91.83,0.88,45,9058
5c3bc613-b2c8-4a70-b0ac-a979f31b3d51,2025-08-26,TWR-003,187.66,4,3706.46,0,2.96,16.7,64.4,0.96,18,9875
a155ce11-66df-408a-a668-08f1ca9049f6,2026-03-08,TWR-004,869.32,2,577.27,4.4,4.73,15.8,92,0.77,16,2252
79d80e5a-6501-4f52-9e84-75312610c6a5,2025-10-10,TWR-005,927.33,2,1462.9,2.2,3.03,12.1,89.9,0.63,28,851
161d526f-e10a-48b5-88e9-7f8cd33615bb,2025-08-12,TWR-005,965.1,2,944.53,3,0.24,15.8,87.52,0.61,18,6780
0f666503-0188-417a-a30b-d51e18492779,2026-04-09,TWR-002,143.6,1,4179.24,4.2,2.13,18.3,70.49,0.65,47,8923
8c322556-2183-4f4e-8144-9fd5f8957e72,2026-04-23,TWR-002,548.67,1,3331.31,4.9,2.81,6.8,93.65,0.58,41,1261
ccd00a24-7840-4432-9792-5981f5c6f280,2025-08-01,TWR-002,567.31,2,1258.54,2.5,2.67,12.8,86.5,1,34,1591
1bf89e95-1a9c-43ca-b761-a1146acd68f6,2025-09-11,TWR-002,208.19,1,634.63,3.3,3.85,16.1,68.36,0.85,46,6866
ea7aca5f-21fc-44c9-82ac-a6b2bbd60a5a,2025-10-22,TWR-005,653.51,2,687.99,1.5,3.95,3,75.19,0.8,31,5736
0b8d007c-52a7-4f04-89b4-7e8430b91db2,2025-10-26,TWR-001,251.28,2,839.72,0.1,2.63,18.5,64.09,0.73,32,1912
12a351a5-e15b-4e4c-b289-76f625c4245c,2026-07-01,TWR-002,433.12,4,1463.69,3.9,0.99,5.7,75.54,0.87,13,6462
6d09da9e-7f4b-4bbf-8573-f219bf8f2fe5,2026-07-03,TWR-003,320.21,3,1321.44,0.9,3.36,20.1,91.73,0.86,28,9292
38e25ec1-060b-47a0-9b75-cdefabf5dd6e,2025-10-26,TWR-002,794.27,1,4536.6,1.3,3.13,17.8,82.53,0.66,27,1745
4b66b14f-a906-4be5-b845-eac3ad9068cc,2025-08-06,TWR-004,340.14,1,4349.77,0,3.33,2.8,94.44,0.51,49,1954
717ea939-ee10-4282-8a8b-629d30595ab5,2025-12-12,TWR-005,214.38,2,3498.84,2.2,4.07,8.3,87.2,0.62,40,5998
b3f62e96-7b5b-41b7-8c5d-961ec578b9c3,2026-03-06,TWR-004,146.35,4,3237.96,3.5,3.4,1.4,68.44,0.82,33,7978
6b5f944d-37bb-4266-9f27-ec7fed898f31,2025-12-25,TWR-002,843.42,3,1458.56,1.5,2.53,4.4,81.49,0.64,30,2559
0c41fedd-20ca-4dc9-8d5b-39d7dcb65ceb,2025-12-13,TWR-005,260.46,1,2842.54,2.3,2.75,21.8,78.03,0.77,46,8690
f4d10d91-701b-4417-a0e2-cad108777e18,2026-05-22,TWR-001,986.2,4,2783.64,2.9,4.53,3.6,90.14,0.77,12,1575
cce19da6-2861-4fd5-9f88-723c6259d015,2026-04-12,TWR-004,879.9,4,1168.06,1.3,3.5,9.7,92.75,0.97,47,5393
31dfe47e-b5e4-4d16-a10e-ff99ac366411,2025-12-18,TWR-004,258.07,4,4126.27,4.1,0.23,10.5,78.24,0.63,41,8945
13c345f3-eb72-40cf-bb1f-7f783921fdc1,2026-04-28,TWR-001,574.18,1,3864.48,4.4,0.76,20.5,74.09,0.63,47,5393
4af15cd0-65a2-4be2-84f2-2cb64c4d43dd,2025-11-16,TWR-004,653.51,2,979.25,2.2,0.53,15.7,64.69,0.7,44,8667
0f1f1844-5db5-4346-899a-74fbe44e83f7,2025-07-28,TWR-002,994.57,1,2789.71,3.6,2.1,2.7,81.28,0.98,47,355
43e9bd46-6097-474a-970f-432fa8d13a37,2026-04-09,TWR-004,691.81,4,2461.52,0.9,0.34,17.2,72.57,0.64,29,8764
d22c0ea2-4e51-4924-8903-f0928f69ebe2,2025-08-21,TWR-005,618.79,2,3127.86,2.5,0.95,1.3,65.24,0.64,37,1510
051e6be8-dc30-43d0-885e-e7991c9fb9fa,2026-02-23,TWR-003,764.46,2,2308.86,2.3,3.05,5.6,86.38,0.61,25,9125
2babc681-698b-4477-b9aa-0f03a662f1b2,2026-04-17,TWR-004,133.32,2,998.19,4,2.71,4.6,61.69,0.53,19,5147
501f6015-f867-4299-a080-9b7f578767de,2025-12-30,TWR-002,697.08,3,4177.96,4,1.38,15,74.15,0.92,39,5594
2bb32dc2-9c1e-4ff4-8699-b4a88d7b7a03,2026-02-04,TWR-004,283.61,1,3987.63,1.5,0.35,7.2,93.09,0.57,36,7431
34294671-22f2-4216-839c-8c308979f8d5,2026-04-23,TWR-002,334.29,0,705.96,2.9,2.46,18.7,69.39,0.61,9,5998
6e0386fe-efe2-446c-b60e-ac229d92a05f,2025-10-13,TWR-003,227.23,3,1722.48,3.9,4.49,23.8,66.27,0.6,12,7168
8c700cde-6859-4417-bbff-f5212e1186b2,2026-01-17,TWR-005,666.85,1,1428.63,1.9,0.69,22.5,90.51,0.89,29,5152
6b392131-bc74-443b-88a5-3ba7a3da9adb,2026-07-15,TWR-004,906.2,4,563.23,0.4,3.24,6.7,81.72,0.58,37,1607
067cf685-4ad3-4728-8d8d-64d48aa542d9,2025-10-17,TWR-003,186.94,2,525.12,5,4.31,14.3,71.21,0.74,30,5508
033e6b8d-67b7-41b4-be35-51ff3c0e14cc,2026-01-29,TWR-001,635.33,3,4322.17,4.3,1.91,19.4,80.41,0.67,42,1314
7f8eeffb-2040-44a6-8bfe-82c69fb843b4,2026-06-27,TWR-002,608.5,0,3736.82,3.5,4.6,12.5,82.53,0.9,47,4409
e2046a2e-922f-4efe-bcf5-1a9b9c4cf774,2025-12-26,TWR-005,977.26,4,4337.06,1,2.84,3.9,92.07,0.89,28,6935
97dcd001-7bb2-4231-ab26-2450f6f7336c,2026-04-09,TWR-004,620.85,3,1111.81,4,4.14,7.3,90.96,0.94,47,6532
57ddba1a-6a97-4ce0-b4a2-d8ce7665eede,2025-11-21,TWR-001,131.54,3,3900.37,4.5,3,2.2,61.45,0.62,42,6597
88e2bd10-55dc-4ca3-8e0d-ede2872ad176,2025-08-17,TWR-003,933.89,3,1037.61,1.3,0.64,7.6,62.95,0.51,7,2276
cc9f32f6-1f2b-4344-a592-3dca7fac7ca1,2025-10-10,TWR-001,168.21,2,3754.41,0,2.66,23.9,77.8,0.9,17,7716
5416ea24-8167-4b81-a983-191bbb659c28,2026-04-28,TWR-001,307.39,1,4735.22,0.7,1.41,11,66.7,0.97,18,8991
b5983219-3981-4b5b-8f3c-daca458952a2,2025-09-21,TWR-003,528.51,2,2491.27,2.1,1.13,12.3,78.82,0.8,38,1319
c7a96a96-b3dc-42ee-9f24-ecd8bd7ec8ef,2026-04-11,TWR-002,201.52,0,2089.58,1.5,0.17,12.9,89.57,0.99,37,6227
2d99cf6a-1838-4183-8d17-4b646e66501e,2025-10-16,TWR-003,773.74,0,2642.66,2.3,1.21,13.5,63.89,0.89,11,3840
dd736353-2f63-4ddd-a557-977e3598a4a5,2026-06-20,TWR-002,545.04,1,3294.75,4.7,3.72,10.1,63.99,0.62,30,8035
1787728b-7203-476c-8ffc-168e470b5c3c,2026-07-23,TWR-005,609.67,2,4973.03,2.7,2.91,23.7,65.38,1,29,2275
049a9b7b-d655-4a97-8764-30fcb59c24ff,2026-06-09,TWR-003,288.53,1,2697.16,1.2,0.59,2.3,90.37,0.69,43,4603
eea11305-04ca-47e7-ab39-1a7458a487a7,2026-04-25,TWR-005,753.68,4,2799.12,4.1,2.52,6.8,72.47,0.62,8,1582
9c6b698d-43fe-4adb-a76a-641a9ee90f0b,2025-09-15,TWR-004,595,1,4154.83,1.3,3.42,13.3,90.79,0.92,32,7798
e0fe836f-2a27-44cc-94a6-f1b3776143f9,2026-05-30,TWR-001,751.37,0,3487.78,4.1,2.31,11.6,83.31,0.84,20,4988
2934d0ed-1212-4237-b832-53a98700f133,2025-09-06,TWR-003,178.06,0,1527.99,2.3,0.89,9.4,92.85,0.81,29,8830
13c18d83-411c-4118-a09c-cf0c6a5c28e2,2025-10-26,TWR-004,897.23,3,506.39,4.1,2.29,18.5,62.85,0.7,13,1753
182ec84b-c554-4094-975e-a0f47171a625,2025-11-08,TWR-005,757.11,3,1199.26,4.3,0.55,10.2,60.55,0.58,39,8189
8aac7e62-42ea-4366-971a-8da913a0bb0c,2025-10-27,TWR-004,739.58,1,1076.6,4.3,3.13,10.8,66.05,0.78,30,6545
9aed4df9-7a4a-4e22-a89d-ea124e0bc1e0,2025-10-14,TWR-001,696.23,4,2402.99,1.8,3.07,23,83.33,0.81,22,2435
a9322fb5-6c41-4b57-a26c-8909ccd9afc3,2026-03-14,TWR-004,581.9,3,3531.81,3.3,2.28,6,75.06,0.8,28,8952
1314bed1-9e4b-4fcd-a570-8c6a8aa080e4,2025-09-29,TWR-001,207.83,3,1670.12,0.6,0.19,8.4,73.41,0.64,15,990
accbc2e9-c0c5-4d80-9d73-c6cfb8eb5fdf,2026-04-30,TWR-003,421.87,3,3204.57,1.1,3.01,19,93.06,0.82,15,3105
b3600178-2c1b-41ad-a18d-4734786fb057,2025-10-17,TWR-001,592.7,4,3630.8,4.3,2.86,22.3,62.48,0.96,19,4815
81636465-ccef-4157-a9eb-94f876a3e8ff,2025-08-15,TWR-004,827.53,4,4730.62,2.8,3.43,9.1,85.5,0.66,21,5747
27021746-5230-4825-8df5-8d98b29e4e68,2026-07-02,TWR-004,706.67,3,4449.95,1,1.41,8.2,67.85,0.61,14,5482
ccd90560-763b-480f-8b92-1213b58d3c6c,2025-08-17,TWR-004,934.45,4,1983.16,4.4,1.43,7.8,77.29,0.58,48,4781
bc81a707-3d32-4679-85ee-0d16f452683f,2025-12-02,TWR-004,488.43,1,3115.01,3.1,0.92,14.2,67.09,0.66,9,9525
ddc61fe6-0ad0-43de-804d-e9c103c3462e,2025-11-02,TWR-005,334.6,1,3320.89,1.2,3.17,17.5,71.13,0.68,18,9303
f0d366fc-4669-4021-aff1-3f23666f2f82,2026-04-22,TWR-004,656.23,4,1619.05,4,2.73,2.1,92.14,0.61,12,397
86d7fc57-a007-4a6b-a716-296c0508f19c,2025-09-26,TWR-001,597.62,3,1250.47,3.1,3.37,3.7,74.85,0.73,40,9609
04f1e3f7-2945-46ea-9cf0-86ae18ebe778,2026-01-29,TWR-002,808.8,2,1495.34,1.2,1.14,16.2,75.56,0.75,19,6361
4814c3f3-301d-41ce-b012-6dc302ba10d0,2025-12-12,TWR-002,263.43,2,521.36,4.5,0.88,22,61.91,0.99,24,713
1c8f2217-e494-4d73-91a9-80799b4ecdaa,2025-08-10,TWR-004,798.15,0,1319.81,4.9,2.14,9,79.62,0.55,34,9092
784f3ee4-d51b-47a2-a756-090d905112ec,2026-03-31,TWR-001,273.98,0,2161.41,1.6,1.52,3.2,62.76,0.73,40,2635
a59e3e0e-9260-4029-b3fa-fb0eddbfda28,2026-04-20,TWR-003,949.92,3,1964.07,0.2,1.73,4.3,61.69,0.88,21,6184
a103ba72-6a9e-4346-8983-9066dfbb73c1,2026-01-08,TWR-003,441.92,1,1858.54,0.9,2.32,1.8,61.62,0.58,31,3968
920653bf-392e-41a6-802d-655902b5a6f8,2025-12-01,TWR-005,379.9,2,3187.38,2.2,4.82,17.3,93.25,0.87,17,4540
83d01ce9-6317-4f12-ac48-6428b0b189a9,2026-05-07,TWR-001,774.4,2,1450.97,1.2,1.76,23.7,62.6,0.82,44,5955
e8fd8842-6e44-4a67-bf5b-c99b8c56968e,2026-03-17,TWR-005,276.57,4,4271.4,4.9,4.71,11.3,69.22,1,27,2475
546f6d02-6d80-4c1a-aa29-be9042219dae,2025-09-24,TWR-005,978.99,2,1773.44,0.5,0.36,16.4,60.8,0.82,39,1580
03e4c671-aa2c-4215-a1fa-b1b622bc8113,2025-09-17,TWR-003,482.53,0,3838.71,4.2,3.85,19,84.78,0.93,22,5823
e7164958-afe6-4d65-99c5-ff4e322d04a2,2026-06-23,TWR-004,293.7,4,912.96,3.4,2.62,2.8,91.6,0.76,46,3921
96d99e78-fe17-4b5d-a903-5951dc7485d3,2025-12-17,TWR-003,533.07,3,2833.72,0.7,2.49,3.6,75.53,0.66,25,5364
b9251523-0011-4ebf-a648-6ac5dfaf807c,2026-03-05,TWR-002,551.37,2,4171.97,3.1,3.57,5.3,93.42,0.58,8,5626
055dbea8-b3f0-4fac-a140-8c49c85295ce,2026-06-19,TWR-003,714.81,1,3339.17,3.5,1.11,7.9,70.44,0.85,46,2387
54723de4-3833-491f-9d16-b708d9ec8932,2026-02-14,TWR-001,925.99,2,3112.16,0.5,3.57,1,78.67,0.98,6,7581
15a3fa22-2867-4b44-9cdb-7c1c9c679c45,2025-12-26,TWR-004,494.58,1,4957.05,4.2,1.78,10.8,94.31,0.92,35,4235
9a833675-650d-4844-94da-b02d03092cbc,2025-08-03,TWR-004,829.48,4,2225.57,3.9,3.73,17.5,87.23,0.77,26,901
00cc33e6-82bd-424f-8abf-872d6a2fd758,2026-07-25,TWR-002,571.27,1,3721.37,3.1,1.56,7.5,91.75,0.61,15,7054
834a406b-3a44-41ce-937b-6c97483dfb49,2026-03-22,TWR-005,521.84,1,3869.34,1.7,4.7,10.1,69.57,0.98,47,961
d0806cee-48f1-47f7-ae4d-d26e40f181a2,2025-12-06,TWR-004,143.23,4,1540.79,2.6,1.13,17.1,94.97,0.9,7,2504
4bc20eea-0a2b-4f9e-b673-ba84c8ff81a1,2025-08-12,TWR-004,977.24,0,1346.29,2.7,3.68,14.1,90.2,0.53,22,4978
f2549f3c-7564-4114-8073-fb1aa3d0a817,2026-01-04,TWR-003,864.49,3,4796.05,2.1,3.07,19.3,86.81,0.96,14,8463
62b64610-759c-42fe-835b-c91ef4856895,2025-12-19,TWR-003,333.33,2,2742.49,2.2,2.08,7.7,60.24,0.64,49,4953
0e1d7c4f-afc6-4543-b92b-334cdbcc40df,2026-05-11,TWR-004,159.87,1,2491.03,4,1.48,19.7,76.55,0.96,27,4804
d6c93e2b-5051-4ea3-bebf-f15fb7cb3e33,2025-08-23,TWR-001,474.23,1,749.92,4.5,0.18,6.1,66.05,0.92,35,8358
cca3365d-f94c-4840-b134-930123691962,2025-11-13,TWR-004,508.85,2,3308.27,2.4,1.75,22.5,72.93,0.7,20,4770
5ff8c749-9434-4905-ac9b-63f1361530ee,2025-10-07,TWR-004,331.04,2,2233.18,1.3,3.08,20.7,64.79,0.97,28,6245
5213a361-556d-4511-ad18-ce3b145471ee,2026-04-17,TWR-003,563.23,3,1833.42,4.2,1.93,23.3,82.6,0.5,23,8871
9fbab5ba-76a6-453b-9688-9d40cb690c2d,2026-07-10,TWR-001,178,0,3878.15,0.5,0.13,10.3,86.17,0.61,24,1310
d5570fb5-8760-47b6-a9f6-d5650941da42,2025-10-03,TWR-003,795.15,2,3520.53,4.3,2.37,13,69.61,0.73,10,8976
c7ddb68d-8d27-413c-955f-892576d1e911,2025-08-21,TWR-003,100.43,3,4025.34,1.7,4.75,16.2,89.26,0.83,40,8108
e36d09a5-fb76-4fc1-b655-d0f82494e3b9,2025-10-22,TWR-003,514.79,2,4463.68,3.6,3.92,17.8,88.22,0.63,44,5386
12422b9d-0189-440d-9db7-711da365e6dd,2026-03-01,TWR-001,890.37,3,1283.93,3.3,3.67,17.1,88.31,0.8,42,3490
2a15cfcf-f47b-4055-b370-d9f915ce6a51,2026-04-15,TWR-001,545.87,2,2102.51,2.8,3.93,12.2,60.83,0.96,25,5812
66a4712c-e5f8-48ca-a20b-d435aa4246e5,2026-01-15,TWR-004,596.54,3,3696.67,0.7,3.94,10.2,85.44,0.74,12,983
908678ec-fb38-4887-989e-8fa91c0d60ae,2025-11-16,TWR-004,901.3,2,2585.38,1.4,0.28,11.3,94.98,0.75,48,2303
9dfbfc6f-3d96-444d-b555-5d80769112ef,2026-06-01,TWR-001,864.11,3,1002.71,1.9,0.28,12.1,71.85,0.68,24,5044
46ba86e8-ed88-42a5-9aec-3125f925d1cb,2026-07-12,TWR-001,991.12,3,1095.84,4,3.3,15.5,85.17,0.7,10,7823
6339addf-4f52-4f99-aa0a-a4fcaad4db08,2026-05-12,TWR-002,257.57,2,4549.57,2.3,2.3,16.8,62.14,0.54,37,8940
71be51c2-e8b1-45d5-8140-0afd35c91df0,2026-04-07,TWR-004,840.86,3,1260.82,1.4,4.33,6,87.89,0.62,25,273
7ce9e550-1f43-43c7-8cc0-20907a9c6847,2025-12-14,TWR-002,293.92,1,3974,4.7,3.51,15.5,88.92,0.98,25,619
8336f42b-684d-48ad-8e96-92775d9a2541,2025-09-03,TWR-001,672.22,0,632.15,3,4.66,21.5,94.94,0.85,14,956
954e53b0-eac2-43ab-aaa5-61cd9885705d,2026-06-30,TWR-004,782.91,0,4356.11,3.1,3.21,9.5,80.01,0.69,34,5414
647aaa70-7e91-4dd6-af9b-62c02b649d1b,2025-12-27,TWR-004,448.67,3,4413.06,4.4,1.97,13.4,94.29,0.84,9,5718
9fda42ee-1606-42dc-88f2-8b75e2ff5ce8,2026-03-17,TWR-003,767.02,2,2368.89,4.3,1.57,23,73.96,0.94,45,3928
640c3024-b801-42be-87f2-b3438a1a042a,2025-08-11,TWR-003,572.44,3,3467.9,1.4,1.23,4.1,89.51,0.71,11,6210
180dceeb-602e-4f99-b871-60125189e5e4,2026-05-21,TWR-002,225.17,2,2562.1,5,1.1,21.5,79.9,0.61,6,7254
95564b4a-91e6-41eb-badb-d94898a78729,2025-10-22,TWR-002,669.66,1,816.78,3.8,1.43,19.9,71.28,0.99,24,8944
7ca8415e-c748-4386-9c68-13d5d7ab769f,2025-08-05,TWR-002,984.15,3,4908.82,1.5,2.89,5.2,93.03,0.9,36,9642
62b5ab39-f8e0-4c56-84ca-0d767c56491d,2026-07-01,TWR-005,684.37,1,4476.5,3.8,4.78,11.5,67.28,0.98,11,1466
85a36ddd-ebdc-4af6-9ff1-9bbe7403e035,2025-11-19,TWR-003,292.82,3,4233.21,3.7,3.27,7.4,61.61,0.58,24,5691
bb0f5277-189f-4a8e-927d-80436f3e6ef2,2025-08-24,TWR-001,799.94,0,2007.4,1.3,4.36,3.9,71.39,0.97,6,7189
4f840525-7b45-46c6-9a3e-9910d062f5dc,2025-12-25,TWR-001,149.25,3,4480.8,1.5,1.86,5.8,84.18,0.53,10,3002
b3607888-6c7a-43f3-9b25-42b4170d2aee,2026-04-30,TWR-001,627.53,3,3445.81,0.9,2.83,4.4,64.13,0.67,22,710
0c244de2-11a0-4dd6-b82c-8af3c75859ca,2025-10-09,TWR-003,874.08,3,2379.61,3.7,2.42,7,63.53,0.86,29,9983
7116daa2-bfdd-4ce7-94e7-304734c72b5b,2026-06-08,TWR-002,745.83,1,2203.92,1.9,3.99,9.3,85.15,0.54,32,1126
0ee87405-9d96-4892-8d56-a42028b702c7,2025-08-14,TWR-005,238.81,1,3101.62,4.9,2.65,18.4,76.53,0.59,9,3523
12b49fd3-b135-4cc5-a638-a035c3e7681d,2026-01-06,TWR-001,470.41,2,3688.64,3.5,2.98,18.1,73.55,0.75,41,5084
52240ea0-f9aa-4489-ba6a-e50b17c36b29,2026-05-06,TWR-001,664.01,1,3010.84,0.4,4.9,3.7,71.21,0.96,36,9887
48278ad0-ed39-4f76-8f0d-51558eb96498,2025-08-03,TWR-002,628.52,3,978.59,0.6,2.48,6.3,94.58,0.77,34,3507
404cb7cb-d183-4d28-8332-1720b69b61f9,2026-05-03,TWR-003,532.02,1,650.34,0.2,4.79,3.7,67.88,0.68,9,5601
89566472-17de-4408-931b-2060dd252f74,2025-08-29,TWR-001,610.57,1,552.62,3.8,3.74,14.2,90.7,0.81,30,8402
eafe2992-3f1a-4d28-8f3f-ef9c3dcc1b4a,2026-03-02,TWR-001,752.69,0,2109.7,1,1.73,21.7,68.33,0.81,12,9305
f808c200-5673-4ac7-9f4e-c8618b5362f0,2025-09-19,TWR-004,144.32,4,4889.26,4.1,3.41,19.5,79.67,0.83,39,8621
376f5908-e704-4269-a58c-1f5ee58f3873,2025-12-25,TWR-001,761.32,2,4566.46,0.4,0.63,4.5,81.47,0.76,30,4488
