Record_ID,Date,Customer_ID,SIM_Swap_Frequency,Unusual_Call_Patterns_Flag,High_Roaming_Alert_Flag,Device_Blacklist_Check,Account_Hijack_Risk_Score,Multiple_SIM_Registration_Attempts,Identity_Verification_Passed,Call_Forwarding_to_Premium_Numbers,Shared_Device_Flag,Fraudulent_Payment_Attempts,Account_Takeover_Detection_Rate,SIM_Cloning_Incidents,KYC_Compliance_Rate,Suspicious_Device_Change_Frequency,Fraud_Investigation_Success_Rate,High_Risk_Transaction_Alerts,Roaming_Fraud_Detection_Rate,Multi_Account_Linkage_Risk_Score
c07141c9-01b1-4ec9-a6fb-f1331940c2b4,2026-02-23,CUST-269643,1,Yes,No,Yes,0.85,1,Yes,No,Yes,2,94.87,0,98,2,52.87,No,0.48,0.74
3924488c-8774-4841-9e1e-9509d4ca787a,2026-05-19,CUST-265703,1,No,Yes,Yes,0.71,1,Yes,No,No,2,80.25,0,98.34,5,80.08,No,0.97,0.52
bcd52fc9-1c9d-4352-a972-625623163e38,2025-12-25,CUST-159789,2,No,No,Yes,0.19,0,Yes,No,No,0,84.55,0,94.97,4,66.76,No,0.53,0.54
017abd32-05ce-4633-9fda-33727817367b,2025-11-16,CUST-484958,0,No,Yes,Yes,0.97,1,Yes,No,No,1,82.07,0,94.35,2,52.78,Yes,0.34,0.52
18b61eb7-5382-429d-8f82-66e850d60ab2,2026-01-28,CUST-477705,0,No,No,Yes,0.15,1,Yes,No,No,0,85.26,0,99.95,3,60.33,No,1.84,0.28
eda0e3a6-c90e-4322-9718-0d53686f023e,2026-04-24,CUST-717657,3,No,No,Yes,0.24,2,Yes,No,No,1,97.12,0,94.1,4,83.68,No,1.04,0.4
e06ffeb4-02bc-4710-8187-d6960501896d,2026-05-04,CUST-538232,2,No,No,Yes,0.54,1,Yes,No,No,2,83.31,0,96.51,5,55.54,No,0.93,0.42
e1c80963-0dce-4068-a721-f4687f6cbd99,2025-09-27,CUST-721754,3,No,No,Yes,0.19,1,Yes,No,No,2,82.44,0,95.57,4,63.14,No,1.71,0.31
676d5bd2-8b9f-4109-a61b-557a3a3e7b39,2025-08-20,CUST-911779,3,No,No,Yes,0.63,1,Yes,No,No,1,83.43,1,98.92,3,73.66,No,1.15,0.73
cb1ccec1-5293-4272-8a1c-8928742609c1,2025-10-26,CUST-694366,1,No,No,Yes,0.88,0,Yes,No,No,0,82.6,1,90.79,1,50.72,No,0.27,0.37
4f55eca5-9e29-4e73-9239-b8c6db832a1f,2025-10-05,CUST-118981,1,No,No,Yes,0.62,1,Yes,No,No,2,91.74,0,94.79,5,85.18,No,1.16,0.45
0f842abe-ac9b-48ca-abbc-cfd9f16fa4fe,2026-06-06,CUST-551746,3,No,No,Yes,0.21,1,Yes,No,No,2,96.82,1,92.74,3,76,No,1.18,0.57
50609c82-f5b2-4335-98f6-597dde8628fa,2025-07-29,CUST-717000,2,No,No,Yes,0.29,2,Yes,No,No,2,89.15,0,99.74,2,70.94,No,0.55,0.42
a89d7b56-ae4e-48d4-87db-451faca60f11,2026-02-10,CUST-183576,0,No,No,Yes,0.62,1,Yes,No,No,2,97.84,1,98.84,1,69.54,No,0.7,0.7
62c0153f-ea0a-472b-a575-43147ef103b3,2025-11-06,CUST-200634,3,No,No,Yes,0.89,2,Yes,No,No,1,97.96,0,95.95,5,63.88,No,1.22,0.46
2e10e9d9-525a-40d8-a938-c340842e5dec,2026-02-11,CUST-143140,1,No,No,Yes,0.24,0,Yes,No,No,1,94.75,1,96.23,0,61.04,No,0.91,0.32
f8ac70d3-48f1-466b-9ae1-1ee82abf3745,2026-02-04,CUST-369705,1,No,No,Yes,0.74,1,Yes,No,No,1,94.79,0,93.49,3,54.89,No,0.75,0.75
305e503f-76d7-445d-989b-f4e75131a5ef,2025-12-21,CUST-966659,3,No,No,Yes,0.35,1,Yes,No,No,0,89.49,1,93.55,2,54.06,No,1.07,0.22
2bb3c148-f8ef-4030-bf32-bd9d6d7597bf,2026-02-08,CUST-685295,3,No,No,Yes,0.27,0,Yes,No,No,1,91.56,1,91.43,2,67.97,No,1.49,0.7
b939c9bc-caa4-4106-9820-0682b5c11038,2026-05-31,CUST-183155,1,No,No,Yes,0.96,1,Yes,No,No,2,80.04,1,93.15,5,50.02,No,1.35,0.55
1cb6f136-fc96-4a15-915c-d04bdc3ed762,2026-03-29,CUST-372155,2,No,No,Yes,0.12,0,Yes,No,No,2,88.67,0,98.2,4,63.63,No,1.06,0.66
4f1da220-83b8-4d84-a007-38657b94a2ef,2026-03-09,CUST-245128,0,No,No,Yes,0.68,0,Yes,No,No,1,81.5,0,91.1,1,81.47,No,0.63,0.52
8cd40c65-6ade-4852-b931-754ea34971ae,2025-07-28,CUST-518049,1,No,No,Yes,0.57,0,Yes,No,No,3,98.09,0,91,4,54.72,No,1.3,0.37
99aba6f6-9763-4331-8fb6-55c663b402c1,2026-04-24,CUST-870569,0,No,No,Yes,0.33,1,Yes,No,No,1,88.35,1,98.51,2,82.66,No,0.44,0.43
f3bea257-3a09-4a96-beac-6b240c4b5eb2,2026-07-18,CUST-123279,3,No,No,Yes,0.74,2,Yes,No,No,2,89.98,0,97.23,5,85.4,No,1.91,0.4
98f28b6a-7a15-496e-843b-c5e2d934b089,2026-07-21,CUST-210901,1,No,No,Yes,0.49,1,Yes,No,No,1,81.38,0,97.75,5,56.88,No,1.82,0.12
21f3f989-c30c-4799-b88d-39fd10ba9873,2026-02-02,CUST-590898,2,No,No,Yes,0.38,2,Yes,No,No,1,94.67,1,93.5,1,83.94,Yes,0.5,0.27
53ff66a0-3b43-4157-adb0-8098373b7eac,2026-01-01,CUST-870707,3,No,No,Yes,0.11,0,Yes,No,No,1,94.45,1,99.97,4,67.39,No,1.79,0.7
00a22cd6-158d-4eb1-a85c-cee85b310f8f,2026-02-11,CUST-253462,0,No,No,Yes,0.32,0,Yes,No,No,2,93.41,1,91.02,2,61.04,No,1.96,0.27
513933c1-3e7a-441a-8840-f7f9d1a4aa95,2025-12-15,CUST-369383,0,No,No,Yes,0.13,0,Yes,Yes,Yes,2,87.87,0,95.57,3,83.34,No,1.77,0.64
9ad950a9-3641-484c-9199-cf82071ba49b,2025-08-18,CUST-458152,1,No,No,Yes,0.19,1,Yes,No,No,0,94.95,0,95.83,4,75.67,No,1.43,0.25
88c85807-4cfc-40a5-a466-279e2b470ba5,2026-02-18,CUST-696845,1,No,No,Yes,0.87,0,Yes,No,No,2,96.56,1,98.28,3,61.24,No,1.62,0.13
a2656992-cc92-44eb-aec6-4729b756bd25,2026-02-26,CUST-495667,1,No,No,Yes,0.89,1,Yes,No,Yes,3,82.73,0,94.3,3,73.3,No,1.67,0.72
88a75be6-b1d2-49fc-9388-846d9a044e2f,2026-04-04,CUST-460557,1,No,No,Yes,0.97,1,Yes,No,Yes,2,97.42,1,99.92,2,69.37,No,0.74,0.18
677cb01d-0a7e-4ed7-8f31-ce7ea1792783,2026-06-01,CUST-267992,3,No,No,Yes,0.99,1,Yes,No,Yes,1,86.98,0,93.05,4,65.01,No,0.22,0.18
b7e3ab39-7ec2-4bc7-bcd3-22bb5609daaf,2025-12-28,CUST-392503,1,No,No,Yes,0.47,0,Yes,No,No,2,93.89,0,96.14,2,53.14,No,0.56,0.14
f590c165-3354-4426-a05b-87dae8c4a68b,2025-09-06,CUST-402224,3,No,No,Yes,0.96,1,Yes,No,Yes,1,88.36,1,99.87,4,70.93,No,0.98,0.3
d90d25d7-8850-4ec4-a2f7-19b03c51f4c6,2025-09-19,CUST-354709,1,No,No,Yes,0.79,0,Yes,No,No,3,90.49,1,92.12,0,60.56,No,1.77,0.6
c3c9634b-d5d0-4b29-8123-8593f227a2d8,2025-08-22,CUST-602041,0,No,Yes,Yes,0.52,2,Yes,No,No,2,97.63,1,94.01,1,84.27,No,0.89,0.43
7726a8fe-8b84-40e1-ade6-447d4eb5b17b,2025-09-21,CUST-857159,1,No,No,Yes,0.97,1,Yes,No,Yes,2,98.46,1,90.98,5,89.14,No,1.66,0.59
066506a8-1baa-44bc-9785-1f5de90f8045,2026-01-19,CUST-144111,1,No,No,Yes,0.35,0,Yes,No,No,0,96.2,0,94.42,4,54.94,No,0.67,0.52
e2d433e6-4af3-4c5f-b7a2-938afb154d27,2025-09-03,CUST-877258,3,No,No,Yes,0.2,1,Yes,No,No,2,89.97,0,94.59,4,68.54,Yes,0.27,0.61
4ac7509a-8c59-4c2a-aebe-ccb40f0df1c4,2025-12-16,CUST-937753,1,No,No,Yes,0.82,1,Yes,No,No,1,88.09,0,96.11,5,79.28,No,0.83,0.35
bff48578-35c1-4f24-8050-f1aa0ea3ca1c,2025-10-30,CUST-978974,3,No,No,Yes,0.85,2,Yes,Yes,No,0,85.92,1,96.19,0,85.64,No,0.52,0.57
8561969e-7ea9-4b85-ad80-fa687f87baee,2025-12-27,CUST-992283,2,No,No,Yes,0.37,1,Yes,No,No,2,98.39,0,96.33,2,72.31,No,1.44,0.49
a2297248-0809-4889-a8a7-2dec9ddab6f9,2025-12-22,CUST-402070,1,No,No,Yes,0.88,2,Yes,No,No,2,84.26,0,93.05,1,68.96,No,1.67,0.72
6c867d67-36cd-4930-a092-23f6ccdf4a73,2025-10-12,CUST-942484,3,No,No,Yes,0.19,1,Yes,No,No,1,83.61,1,98.81,1,76.35,No,0.4,0.76
8748d955-2f6b-4f02-9adc-2bcd8572bf31,2025-11-01,CUST-286225,1,No,No,Yes,0.45,1,Yes,No,Yes,1,97.73,1,91.47,0,79.95,No,0.26,0.17
9ab09495-dad5-4a4f-a05f-f613d7aa9827,2025-10-25,CUST-115619,0,No,No,Yes,0.47,0,Yes,Yes,No,2,84.42,0,96.26,5,53.13,No,0.46,0.15
5cc8afb9-f272-4e1d-bd4c-895070168161,2025-12-06,CUST-699106,2,Yes,No,Yes,0.79,1,Yes,No,No,2,95.56,0,99.97,3,87.29,No,0.45,0.52
11b6be01-3775-4378-99d8-0276a98daf99,2026-02-13,CUST-171428,1,No,No,Yes,0.61,1,Yes,No,Yes,3,85.58,1,97.03,4,58.7,No,0.95,0.49
1a5beea6-f02d-448e-b597-c7d72d1fdc4f,2026-05-16,CUST-422436,3,No,No,Yes,0.78,0,Yes,No,No,1,89.71,0,94.96,2,51.28,No,0.48,0.15
6e5456db-53d0-4d3b-98b1-25609313d6fe,2025-08-21,CUST-918657,2,Yes,No,Yes,0.68,2,Yes,No,No,2,80.83,1,91.36,1,66.78,No,1.75,0.73
b17d6f22-d851-4b24-afc4-9ff26576be7e,2026-03-15,CUST-931244,0,No,Yes,Yes,0.62,0,Yes,No,No,2,95.52,1,94.82,0,78.33,No,1.72,0.53
35381e25-3578-496d-a115-31b16601ff0e,2025-10-03,CUST-456086,0,No,No,Yes,0.65,1,Yes,No,No,2,81.13,0,96.6,1,59.43,Yes,1.76,0.73
8f72e783-80ef-4d44-99a9-d450e60a8b09,2025-09-30,CUST-832837,2,No,No,Yes,0.46,2,Yes,No,No,2,98.92,1,98.33,2,52.04,No,1.2,0.32
ba75ee2e-ba50-43d1-b432-462c26168732,2025-11-21,CUST-997723,0,No,No,Yes,0.52,1,Yes,No,No,2,96.39,0,95.62,2,70.89,No,1.42,0.18
9cfa68b0-f0d2-42c7-b434-6822e3881379,2026-02-15,CUST-966046,3,No,No,Yes,0.69,0,Yes,No,No,0,98.12,0,96.15,2,62.33,No,1.8,0.12
62265d19-637c-4f65-b8b4-deaf790056b8,2026-03-20,CUST-662569,2,No,No,Yes,0.73,1,Yes,No,No,3,93.49,1,98.19,4,76.22,No,1.08,0.54
5dc13061-d21e-4bed-82b3-b3d8809ea187,2026-01-25,CUST-533653,3,Yes,No,Yes,0.43,2,Yes,No,No,2,92.76,0,95.98,5,61.01,No,1.4,0.56
9e42761f-3e2e-4d0a-a80b-3ba941446dcc,2025-10-06,CUST-794481,1,No,No,Yes,0.55,0,Yes,No,No,2,81.25,0,99.17,4,50.56,No,1.71,0.63
db603923-e6d5-4e5f-9d24-a94108bcdf48,2026-01-23,CUST-392361,3,No,No,Yes,0.31,1,Yes,No,No,1,98.65,1,97.94,1,63.18,No,1.1,0.39
e4a4b6f5-a376-47b5-896f-00cff066ed22,2025-08-18,CUST-791894,1,No,No,Yes,0.38,2,Yes,No,No,2,91.02,1,94.58,1,60.4,No,1.02,0.12
7cb02d45-53f8-41a5-bb16-7e2a7a8166a3,2026-04-03,CUST-479538,2,No,No,Yes,0.61,0,Yes,No,No,2,86.34,0,98.69,4,75.18,No,0.28,0.48
288eb8a5-5aaf-4d25-9532-d5ebb8217669,2025-12-01,CUST-517759,1,No,No,Yes,0.46,1,Yes,No,No,2,95.01,0,92.97,4,79.36,No,1.33,0.41
d687bdf6-0bdb-4ddd-9868-97396df124f6,2025-12-28,CUST-686982,3,No,No,No,0.84,1,Yes,No,No,1,95.64,1,94.81,0,58.26,No,1.79,0.16
1adf4f30-c4c1-445d-b4cd-71a6737eaf6a,2026-04-19,CUST-515850,1,No,No,Yes,0.98,1,Yes,No,No,2,81.25,1,94.28,4,66.43,No,0.17,0.49
c3b3d119-b519-474e-b9a9-323a93c80724,2026-06-03,CUST-513669,1,No,No,Yes,0.23,2,Yes,No,No,2,81.21,0,90.13,4,84.82,No,0.49,0.18
924cf3d3-920d-4246-ab09-700cb31eefa7,2026-03-21,CUST-283479,3,No,No,Yes,0.94,1,Yes,No,No,2,97.67,1,93.91,4,72.28,No,1.2,0.38
36abd4b8-8967-44af-a137-966956938614,2026-06-18,CUST-250410,0,No,No,Yes,0.28,1,Yes,No,No,1,91.25,1,90.05,4,65.11,No,0.2,0.55
442df5f1-904e-4c27-89fa-62da563a674f,2026-01-05,CUST-936198,2,No,No,Yes,0.43,1,Yes,No,No,1,81.62,0,92.88,1,68.4,No,0.68,0.43
06ce2221-0507-419d-9c2a-3cf9bfc3c65a,2026-07-19,CUST-453183,1,No,No,Yes,0.56,1,Yes,No,Yes,1,81.14,0,93.83,1,79.54,No,1.32,0.2
c8ace15c-4cce-4214-bd8b-dcfd4fdc9eea,2025-10-09,CUST-555274,0,No,No,Yes,0.89,1,Yes,No,Yes,1,91.62,1,90.34,5,70.22,No,1.54,0.13
062e6ca8-92a3-4de2-895c-ed0e4c56f8e8,2026-06-01,CUST-342176,1,No,No,Yes,0.25,2,Yes,No,No,2,95.52,1,95.62,1,57.2,No,1.33,0.61
5f31b907-76ab-496d-b2c0-df8d7f1ad834,2026-04-14,CUST-661965,3,No,No,Yes,0.74,2,Yes,No,Yes,2,94.91,0,92.23,2,71.7,No,0.61,0.56
88958714-5d38-4294-b48c-92feab2b434f,2026-05-25,CUST-502721,1,No,No,Yes,0.53,2,Yes,No,No,0,82.1,1,96.07,5,52.04,No,1.69,0.34
23662c25-fa36-4631-a8c8-39d5b710674b,2025-11-17,CUST-185847,1,Yes,No,Yes,0.28,0,Yes,No,No,0,90.36,1,99.95,3,75.25,No,1.44,0.73
2b2fd8cd-11f2-4376-9223-3672e2e8bfb9,2026-03-08,CUST-229093,3,No,No,Yes,0.81,2,Yes,No,No,1,83.37,0,99.23,2,74.21,No,1.32,0.57
ca272074-8411-49b1-bb7b-5ab4a61d1f12,2025-10-28,CUST-565926,2,No,No,Yes,0.59,1,Yes,No,Yes,2,91.96,0,94.84,4,86.73,No,0.44,0.13
8c5fd8a7-d8cf-4449-895b-b4a2d77492e9,2025-10-14,CUST-716953,2,No,No,Yes,0.41,1,Yes,No,No,1,89.04,1,93.51,0,58.26,No,1.85,0.69
879019f2-7a6b-409c-a111-ff5a39d9ac6e,2026-02-01,CUST-330633,3,No,No,Yes,0.49,1,Yes,No,No,0,81.37,0,95.3,4,67.31,No,1.64,0.29
1b8e93ea-f45c-4ea1-90b3-6faa58e830e4,2025-09-25,CUST-321824,1,No,No,Yes,0.84,2,Yes,No,No,1,82.79,0,97.28,1,53.53,No,1.84,0.24
56695e8e-aacd-4763-84a4-90abeeb091d3,2026-06-27,CUST-661987,3,No,No,Yes,0.67,1,No,No,No,2,88.23,1,91.53,1,85.31,No,0.15,0.79
94e43375-1462-4955-8652-b71ba25312fd,2026-05-09,CUST-335049,1,No,No,Yes,0.6,2,Yes,No,No,1,88.03,0,95.99,1,61.27,No,0.67,0.12
757f49bc-6cd5-4e3f-b888-5fa04e52381e,2025-10-03,CUST-500174,2,Yes,No,Yes,0.19,0,Yes,No,No,3,81.14,1,94.19,5,66.5,No,1.94,0.48
75cbd06d-03f6-4f7d-a36b-47e6dfde3f79,2025-10-15,CUST-178064,3,No,No,Yes,0.6,2,Yes,No,No,1,91.54,1,92.42,3,68.73,No,1.36,0.29
ed5a5a92-12cf-4177-a410-d15dba3745e6,2025-07-31,CUST-898151,1,No,No,Yes,0.37,1,Yes,No,No,3,83.9,1,93.24,1,68.65,No,1.83,0.12
fda6e185-338c-4f6d-8331-d1c0cfa21178,2026-02-11,CUST-526581,3,No,No,Yes,0.96,0,Yes,No,No,2,94.86,1,98.45,3,61.08,No,0.76,0.38
0b912563-4c12-435d-b967-82622089c0c4,2025-09-07,CUST-990061,1,Yes,No,Yes,0.72,2,Yes,No,No,2,85.45,1,96.84,5,73.39,No,1.46,0.68
997a3b2d-b75d-4413-8c2f-9aa60f9a29df,2026-03-13,CUST-618963,3,No,No,Yes,0.21,0,Yes,No,No,3,94.25,0,99.29,3,70.92,No,1.73,0.33
8363af71-0903-4c95-9879-a67bd0b65fd9,2026-03-21,CUST-229031,2,No,No,Yes,0.3,0,No,No,No,2,93.95,0,90.49,1,54.41,No,0.84,0.13
fc7c63dd-cc06-4c7e-8bab-642640b65b0e,2026-07-12,CUST-653912,1,No,No,Yes,0.21,0,Yes,No,No,0,97.91,1,98.77,4,77.12,No,0.12,0.76
43de5abe-2b91-40fd-a6e1-ea23b55deddf,2025-12-11,CUST-446459,0,No,No,Yes,0.81,2,Yes,No,No,0,86.96,1,92.58,3,80.06,No,0.48,0.38
25729739-16b5-4ecc-8239-1c96f4985b0b,2026-07-19,CUST-208263,3,No,No,Yes,0.13,1,Yes,No,No,2,87.19,0,96.19,1,84.66,No,1.47,0.68
2391c829-f49a-47f6-8bce-1de2568175bf,2026-04-29,CUST-359638,2,No,No,Yes,0.5,1,Yes,No,No,0,97.53,0,94.67,3,73.65,No,1.96,0.66
d420eb6a-3011-488f-85a8-ed9c3e87b4fe,2025-10-03,CUST-233700,1,No,No,Yes,0.25,1,Yes,No,Yes,1,97.28,0,92.92,4,83.49,No,0.78,0.6
714fea34-1347-426e-943e-e78b435b9c6c,2025-11-07,CUST-923213,2,No,No,Yes,0.52,1,Yes,No,No,2,92.86,1,94.35,4,78.03,No,0.7,0.25
b710c2ba-b547-4ed3-a48f-66a8e0b89a01,2026-03-22,CUST-340862,1,No,No,Yes,0.81,0,Yes,No,Yes,1,98.91,1,92.48,1,84.77,No,0.69,0.25
3b027a7a-1b3d-4d79-a947-5ffdae821b32,2025-08-27,CUST-974282,2,No,No,Yes,0.13,0,Yes,No,No,3,85.34,1,99.53,1,83.14,No,0.14,0.11
c2e94ee0-0348-48d4-b88f-ea7163944bb9,2026-05-16,CUST-119799,3,No,No,Yes,0.23,1,No,No,No,2,87.29,1,93.44,5,86.67,No,1.76,0.13
335c57b1-83a5-4879-8696-aa48bca97ae9,2026-02-14,CUST-359362,3,No,No,Yes,0.25,2,Yes,No,No,3,90.67,1,94.13,1,75.55,No,1.52,0.29
6609e0b8-ea11-40dc-b4e0-9055a90d4530,2026-07-16,CUST-432051,1,No,No,Yes,0.91,2,Yes,No,No,1,81.88,0,99.34,1,85.56,No,1.35,0.74
ec59b809-6495-4aa9-b96d-51367e8d478d,2026-02-12,CUST-711339,0,No,No,Yes,0.35,1,Yes,No,No,2,89.25,1,99.23,4,68.64,No,1.4,0.39
9ffcb16c-8915-4264-995e-6b71eb19cf9a,2026-07-03,CUST-718485,3,No,No,Yes,0.31,1,Yes,No,No,2,91.45,1,97.87,2,56.09,No,0.44,0.58
fb623863-da80-487b-a5b5-bae20c4d8fd4,2026-03-24,CUST-416288,0,No,No,Yes,0.97,1,Yes,No,No,3,95.46,0,95.32,5,64.1,No,1.11,0.67
5f26ba7a-14bf-4af9-a41b-f4e8111417bb,2026-05-18,CUST-879058,1,No,No,Yes,0.62,1,Yes,No,No,0,89.98,1,99.73,1,62.1,No,1.05,0.46
4e3c45f8-db0a-463e-9e21-ece8aff29a52,2026-04-07,CUST-430631,0,No,No,Yes,0.32,2,Yes,No,Yes,1,90.6,0,97.61,4,80.51,No,1.93,0.57
69d45bfe-5a4e-4653-a671-37882b732b79,2025-10-07,CUST-335362,1,No,No,Yes,0.63,2,Yes,No,No,2,86.11,1,92.1,1,56.96,No,1.05,0.62
3ef78ee7-7572-43d5-ad19-3ec17b56620b,2025-09-11,CUST-807424,0,No,No,Yes,0.82,1,Yes,No,No,1,95.39,1,91.4,1,84.96,No,1.35,0.32
2fa9be06-981f-49c1-9d55-7b5dcbabcf98,2025-10-09,CUST-517224,3,No,No,Yes,0.87,0,Yes,No,Yes,2,88.42,0,92.91,3,77.92,No,0.23,0.28
ad65d27b-aa15-4bb9-8e08-80c7b95b4591,2025-07-27,CUST-395668,0,No,No,Yes,0.56,1,Yes,No,No,2,94.74,1,91.49,3,77.03,No,1.67,0.35
ce18ea76-6892-4515-8294-3d3dfe03244c,2026-02-25,CUST-807734,2,No,No,Yes,0.36,1,Yes,No,No,1,98.2,0,90.72,3,65.22,No,0.45,0.58
4bce73b9-6909-4bf2-b85e-16b24df8be85,2026-03-11,CUST-422581,0,No,No,Yes,0.92,0,Yes,No,No,2,81.38,0,94.61,3,50.63,No,1.82,0.23
186d5af6-7e44-48ab-89f7-c0b0180a7c14,2026-07-09,CUST-332896,2,No,No,Yes,0.38,1,Yes,No,Yes,2,83.81,0,99.2,1,84.37,No,1.43,0.59
074f8d8f-051e-40b6-bc85-931c99f50504,2025-11-15,CUST-419456,1,No,No,Yes,0.83,1,Yes,No,No,2,81.68,1,93.55,1,64.59,No,0.82,0.12
d961150a-8d99-4c68-b43f-31b302276099,2026-07-16,CUST-625688,1,No,No,Yes,0.75,1,Yes,No,No,0,91.53,1,95.8,1,85.98,No,1.47,0.54
9512674a-2227-45f2-8e2a-622868254c44,2026-04-14,CUST-834566,2,No,No,Yes,0.83,1,Yes,No,No,1,96.3,1,98.63,4,82.19,No,1.19,0.73
12ed2196-7e5f-44b7-a7ce-03e29e3b5670,2026-01-03,CUST-698785,1,No,No,Yes,0.85,1,Yes,No,No,0,86.81,0,91.06,5,81.35,No,0.58,0.36
456385db-59ab-436f-8551-3a6d8dae0d73,2026-04-10,CUST-574177,0,No,No,Yes,0.72,1,Yes,No,Yes,0,92.09,1,97.1,3,70.68,No,0.46,0.25
208293c9-e1c7-418d-bc65-f744d1aa9508,2025-08-25,CUST-145718,1,No,No,Yes,0.5,1,Yes,No,No,0,88.88,1,94.17,4,55.04,No,1.93,0.48
b9fa0da5-f54b-4d57-a93c-73b6fff43313,2025-11-20,CUST-292559,2,No,No,Yes,0.73,0,Yes,No,No,3,84.76,1,96.91,2,88.36,No,1.62,0.57
fde16c83-b4cb-41e4-9edf-53a6141a6b7c,2026-01-23,CUST-409504,2,No,No,Yes,0.68,0,Yes,No,Yes,2,86.92,1,92.54,2,50.29,No,0.25,0.7
d394e9ed-b3dd-4305-97bc-9b804c37bc22,2025-10-08,CUST-939740,3,No,No,Yes,0.11,1,Yes,No,No,3,94.27,0,95.06,2,67.16,No,1.28,0.15
7239f1b4-6e3f-4294-97ab-9b6fef1b29f1,2025-12-31,CUST-333123,1,No,No,Yes,0.32,1,Yes,No,No,1,90.57,1,98.93,0,52.3,No,0.16,0.28
92907b2d-f46b-4d27-8c83-01fb91224149,2026-02-17,CUST-817838,2,No,No,Yes,0.91,1,Yes,No,No,2,82.91,0,93.9,3,52.55,Yes,1.75,0.46
f66105af-6b5d-4814-838b-3a7a3a31f387,2025-12-27,CUST-768354,0,Yes,No,Yes,0.15,0,Yes,No,No,1,91.05,1,91.93,4,81.86,No,1.08,0.63
44610cce-9768-4e2b-a801-64c3fdf01ba7,2026-01-14,CUST-522387,3,No,No,Yes,0.79,1,Yes,No,No,2,90.83,1,97.9,5,69.1,No,1.4,0.35
d55f9451-74c6-49d8-9a2b-16a833cfb814,2026-04-20,CUST-111244,3,No,No,Yes,0.23,1,Yes,No,No,1,83.46,0,99.73,2,89.72,No,1.54,0.2
30d81117-e990-46e1-b17b-60d70d8903fe,2025-10-13,CUST-602412,1,No,No,Yes,0.99,0,Yes,No,Yes,3,87.42,1,99.59,4,83.31,No,1.51,0.75
1c46111c-6765-4c5a-b1ef-007ce6cc35c8,2025-11-03,CUST-793040,3,No,No,Yes,0.48,1,Yes,No,No,1,94.47,1,99.54,2,53.64,No,0.26,0.47
7fd1457d-d1dd-4aa1-97e8-602cebf2d263,2026-01-21,CUST-861871,2,No,No,Yes,0.61,2,Yes,No,Yes,2,81.08,0,98.61,0,69.37,No,0.8,0.7
a9df776e-de2e-4f8e-8447-909384fee4d3,2025-12-22,CUST-124170,3,No,No,Yes,0.64,0,Yes,No,No,3,92.3,0,92.84,0,50.13,No,0.47,0.46
8c1a914b-499d-4107-8bd4-36175cc8ef26,2026-05-17,CUST-848831,1,No,No,Yes,0.42,0,Yes,No,No,3,94.86,1,90.41,2,53.19,No,1.82,0.76
