Record_ID,Date,Carbon_Footprint_per_Subscriber_kgCO2e,E_Waste_Recycling_Rate_devices_SIMs,Green_Energy_Usage_in_Network_Operations,Community_Connectivity_Program_Reach_Customers,Digital_Inclusion_Index,ESG_Environmental_Social_Governance_Compliance_Score,Accessibility_Features_Adoption_Rate
bb0756e0-9545-4efd-b7e1-74e1e7540b07,2026-06-28,3.17,39.04,40.7,40950,0.83,0.76,52.29
5e09231d-c945-4d6f-83a2-53c52cb536ad,2026-07-19,7.12,49.5,40.33,8383,0.54,0.89,56
f3e92fb0-7ee6-4b86-8e64-9e9159651114,2025-09-09,3.67,25.02,18.76,23788,0.51,0.91,57.25
e43db13a-b6ed-44b9-a843-45677ef90c22,2025-09-14,8.19,19.72,47.17,1111,0.93,0.74,36.12
d9c5dbed-d2fc-4aaf-83a0-55ba374b4859,2026-05-17,7.58,22.97,8.82,26662,0.89,0.75,61.96
c4faba25-9eb2-4ca1-8a16-d0266948c95a,2025-11-19,3.61,29.21,26,48477,0.86,0.9,56.3
7554f477-9c48-43d1-a5a6-f31a4896cfa7,2026-05-16,3.63,30.7,17.49,15487,0.73,0.94,44.8
f8302750-ce19-40c8-bbab-15ba9f9a2d6d,2025-12-18,4.2,45.41,20.69,46842,0.68,0.73,56.83
d98d5445-a411-4daf-b9fb-2797309068d5,2025-08-28,1.47,38.98,13.23,18694,0.56,0.88,73
d2014aeb-8e42-4429-ba93-773d21b2971a,2026-02-11,7.95,39.76,9.55,8825,0.81,0.91,43.17
2d1bd9db-2432-4cdf-b1b8-d0e0f7074dd8,2026-02-26,4.6,28.75,45.26,8683,0.77,0.87,67.1
b101c7ca-18ed-4669-b19a-a648fd63f3d2,2026-04-09,1.84,33.46,39.13,12009,0.83,0.86,62.29
d3d70c5f-cbf5-4da3-a011-530b7b5a9042,2026-07-06,6.27,26.68,20.67,41891,0.92,0.87,74.4
f255a421-0649-4198-8084-eaca518704a1,2025-12-07,6.69,46.89,23.37,17401,0.53,0.85,44.49
28454b2c-9b76-48bf-afb2-1678a8768c2c,2025-08-30,5.31,41.86,26.34,22898,0.78,0.96,27.09
44e44250-b231-4dbc-bfc1-a095ac247c8b,2025-11-05,5.97,17.53,44.19,42600,0.76,0.95,48.96
efa90856-1269-4528-b4b0-6d5a5ce0151e,2026-02-14,1.3,19.91,16.06,31213,0.76,0.87,49.02
9f8c9a09-446b-42f7-bbfa-1ba3c1c3f52c,2025-11-18,4.4,10.07,16.34,46655,0.57,0.7,68.21
80d63293-fcf1-49ad-bb20-db07ee275ecc,2026-02-13,9.07,23.74,26.22,6122,0.89,0.82,30.11
40a00bfb-17ee-4210-85ad-bacbde8b7633,2025-11-22,5.88,39.04,33.07,1234,0.88,0.76,63.86
9f7595f4-42be-4616-b955-97fb010b49ac,2026-05-05,6.63,27.27,9.05,48605,0.7,0.84,68.44
06bf3ab8-0d64-4e78-9b26-7eb80bd69431,2026-06-24,9.79,28.43,17.94,41468,0.97,1,40.56
f924be04-7127-4963-9f1e-b03bf5812cb4,2025-10-14,9.75,11.07,42.1,16414,0.64,0.79,55.61
0b22c018-c464-4229-b69f-550470f187c2,2026-05-06,9.83,19.09,21.59,26241,0.73,0.81,71.51
9cd4a5a5-7e5f-4df7-a69e-7e4ec2fd14ce,2026-03-12,2.49,38.38,14.86,42794,0.95,0.86,29.99
4f843386-774a-4670-8158-8ecf0e2820d0,2026-04-29,2.89,41.35,37.27,45768,0.93,0.78,30.31
0e5c41b2-e270-41ad-8dce-53996172d878,2026-07-20,5.33,15.33,11.61,7884,0.94,0.88,45.95
b6b94f36-9bc8-4664-aa22-1cd88a0e2250,2026-06-20,5.57,36.93,5.68,30170,0.51,0.85,40.73
766afd20-8206-46f4-b61e-6f9dc67d335e,2025-08-02,7.93,19.16,14.57,6428,0.85,0.98,56.91
720523fc-6d4e-40a2-ae29-ab4d8d3345d7,2025-07-25,3.47,41.87,14.18,37389,0.71,0.87,28.26
50da7eb5-851b-4658-a9ff-f34fce41babc,2026-05-27,4.89,36.05,19.97,41666,0.61,0.85,59.7
0216d3cb-1598-445d-928b-9aea71155c0b,2026-04-23,7.08,29.27,45.85,24466,0.58,0.81,23.79
6209c816-9073-40de-9b9f-c9e9340e4427,2026-04-19,4.03,30.02,15.17,23710,0.76,0.71,37.94
ec7bd095-c606-4ade-8fb1-a3a1de688477,2025-11-14,2.51,24.69,7.39,15636,0.77,0.78,55.54
0fc71ed9-3868-4d94-8d58-3cb8692c5a46,2025-08-18,9.17,18.35,29.05,17374,0.86,0.92,69.41
8b8c2875-be5d-4a41-b55f-5ac31985c9d3,2026-04-17,2.58,15.75,19.44,40255,0.85,0.78,66.37
711a10cc-8055-44c7-a2c5-35cab144d617,2025-12-28,2.75,11.33,39.66,6169,0.51,0.93,57.52
f72e084f-c4ae-48df-8bf4-1d1e8ba5682b,2025-11-16,9.83,21.73,14.05,40796,0.77,0.71,27.96
9abf466d-28cf-419e-9554-ba8811907dbc,2026-03-24,1.39,23.05,36.14,4497,0.65,0.81,32.48
b8ebdf61-089b-49e5-b49c-416556af7f75,2026-01-21,4.28,42.22,39.89,20288,0.64,0.87,49.88
0b9ae832-fe0b-438a-8a1e-55fbab875dd3,2025-09-18,5.23,11.51,8.87,21034,0.62,0.9,37.96
ef71c74a-83e2-4c3a-aa74-cb9db5deb1ef,2025-12-10,2.95,17.15,14.32,20311,0.81,0.76,62.78
9ebb535f-e192-4202-8e07-c8f2dc1ef14e,2026-03-14,3.75,30.17,34.45,21718,0.74,0.73,26.69
e835eba9-5344-4d04-865d-a0714f4a445e,2026-03-06,8.98,18.72,20.98,18916,0.93,0.99,53.63
d5b9493f-b40e-4e01-8be0-cf07e7998440,2026-01-10,5.88,33.77,46.96,47573,0.58,0.72,52.27
367aaed4-e6d5-46fa-8d43-3ef74479f491,2026-06-29,3.82,44.45,32.3,1530,0.53,0.91,25.02
9a49b173-ff9c-40c1-a7e5-6a024b18c929,2025-09-17,8.55,11.55,38.23,12836,0.72,0.94,47.52
aa3b1434-0b77-4ca7-b784-ee399fd8120a,2025-12-18,6.79,22.78,28.75,45665,0.91,0.83,68.5
fb42d885-3cef-432e-b515-af7bb242e1b0,2026-05-23,9.33,31.35,6.83,26194,0.86,0.94,75.65
40cff87f-a770-43d0-a1d5-0f85c9163de4,2025-08-15,2.88,38.19,34.57,43295,0.68,0.91,77.36
2fcfa322-c342-4c55-9413-a16231b13163,2026-06-09,5.79,22.96,32.33,4100,0.71,0.72,37.67
beb3f724-23fd-45fb-b21f-db2c7295d1e8,2026-07-10,5.75,22.51,32.62,24002,0.93,0.78,21.36
e64b0e1d-a1dc-4cd1-aeca-ddd7d46154e3,2026-07-12,3.76,48.63,33.38,17971,0.96,0.73,29.45
1eef4c33-167d-4b36-8789-70caa413f046,2026-01-12,9.39,27.93,20.34,49512,0.61,0.8,53.13
040a809f-a925-4432-b48c-032b020da505,2026-05-28,8.48,11.11,9.3,34054,0.54,0.94,73.31
8797c88b-56b8-4d30-8d8b-714dce57be5f,2025-07-27,5.65,36.03,29.31,47215,0.51,0.86,51.64
e00dc46c-208e-4220-a3fe-7206ddd470a7,2026-05-23,3.02,20.8,25.38,1739,0.71,0.83,30.63
74c893e4-b49d-4952-a9ee-5952c2fa302c,2025-09-06,9.97,17.65,46.49,17636,0.68,0.98,49.55
05091025-750b-4a67-9c4f-ac12689329e3,2026-04-17,7.38,11.48,6.8,3736,0.75,0.71,39.56
b0673fdf-a8cc-4295-b563-256f72a8411b,2025-10-23,6.5,18.11,22.9,41331,0.94,0.9,59.26
535311e4-d4ba-4e23-9cad-0ff81e9170bc,2026-02-09,6.12,40.11,41.97,48530,0.87,0.74,63.14
8a42cf77-78d9-4556-ae82-d3ad34932e09,2025-11-26,4.4,10.37,6.81,48771,0.98,0.92,71.02
5da30083-05d7-4e79-90b3-8b71cc07e56a,2026-05-01,1.66,29.1,45.84,39373,0.53,0.81,65.71
1323bae3-99a9-4f34-8b2b-ce0bd4f1b0ed,2026-05-13,9.03,42.96,21.07,11826,0.99,0.79,65.25
2275a2fb-4d02-4d2d-81b6-508604f838e3,2026-06-07,1.61,24.45,34.98,33371,0.64,0.86,75.49
cd9ee1d3-aa61-400b-9bcd-a585c6022cb5,2025-09-06,3.32,48.79,25.15,27212,0.89,0.93,42.4
2ea124b5-057a-4b74-a26e-bbb872debd45,2026-06-02,5.07,28.57,45.85,40152,1,0.93,49.32
a76e3ea4-8a60-484c-b506-20998308eb5f,2025-08-03,3.75,41.66,31.7,27537,0.63,0.87,74.75
c6117dcc-7c10-4b58-ae77-3db4fd0d59c4,2026-06-04,8.84,18.89,47.47,45825,0.91,0.81,34.87
b3733fe8-b9dc-44b7-bbf9-1fcf1b2a8beb,2025-11-30,5.63,46.47,28.17,48730,0.88,0.85,69.14
72238d59-fb21-490c-87c5-a5f48c7d155d,2025-10-17,2.33,21.42,35.19,46593,0.68,0.85,72.45
f4b05cc2-38b0-4908-a1aa-83440a20777a,2025-11-25,5.02,38.26,43.45,27492,0.54,0.95,63.93
10c1b291-4b24-45f6-ad98-d1d5a1337d7c,2026-02-19,3.44,26.87,48.87,31901,0.92,0.96,51.57
dff10c1f-28bc-4abe-bce1-3f93ba9217cd,2026-01-10,2.07,13.77,48.38,49510,0.83,0.98,58.72
c83465f0-4d42-4d32-b350-1a086b5f0f5a,2025-12-08,8.51,46.97,22.32,7363,0.78,0.73,29.36
70361f5d-b5a6-43f5-b505-b9a1d38da2ed,2026-01-11,1.42,14.69,9.97,11709,0.79,0.8,39.22
5efa940e-1999-4c26-af1a-ac87b79cacce,2026-03-19,6.85,32.78,8.82,39897,0.9,0.7,37.09
b5164ff5-aaaf-4360-9d16-4b605e56c3f2,2026-01-04,5.18,30.65,32.39,16004,0.88,0.72,64.78
e7cf3126-6601-4983-a354-818d07d19fb0,2026-07-12,5.28,12.45,45.72,8826,0.81,1,27.24
2f18b868-532f-4e60-88cf-13822f56272a,2025-08-13,2.38,45.92,7.46,12887,0.88,0.98,68.54
93546c78-77fc-48cc-ac68-a89b204e16ec,2025-12-14,9.69,29.7,30.84,41551,0.83,0.71,34.29
eb25c62c-422f-4d26-bf14-ddffd55212b0,2026-02-08,6.11,22.85,21.59,45058,0.77,0.91,45.31
2fc9081f-bd7c-4aaa-a267-ceb04e2b794a,2026-06-30,6.4,47.88,21.81,37568,0.64,0.99,65.68
c3112500-951f-4374-818a-8fb8f431f39c,2025-08-10,9.21,31.74,15.85,11963,0.89,0.91,23.81
4cece417-3b47-4f7e-b18b-f6a6ed1aac63,2025-12-21,1.81,42.7,25.61,8035,0.52,0.94,71.2
7e91748b-cd93-48d7-99bf-7fdbae5339d3,2026-04-26,1.9,26.2,21.87,42727,0.84,0.87,32.54
abdc1551-d4d3-45ca-a372-25a25d81bceb,2025-09-11,1.39,47.46,40.8,28685,0.71,0.97,39.46
45ac39cd-d6d1-4200-aaea-1e12f2fc1ad5,2025-12-25,1.92,39.29,24.98,41775,0.95,0.91,35.65
7602a16f-86d8-4183-a53a-d0d5eaabd62e,2026-04-26,8.94,16.36,44.01,37643,0.72,0.73,76.58
802be4b7-07be-4ddc-ad79-40b380c9eeed,2026-01-04,6.73,46.35,43.21,45595,0.87,0.99,54.05
1883a9a7-2b28-4443-bb15-b5ba9f8faeb8,2025-09-05,4.32,12.52,7.43,13071,0.97,0.87,30.83
3602fa5d-b1da-4a40-bee7-37c0d2b57974,2026-06-03,4.47,40.56,17.21,5691,0.62,0.71,77.6
ff46ae9b-b27a-4a02-8af9-6653a4604d9f,2025-12-22,6.59,34.23,10.95,33788,0.58,0.99,32.55
026cfa7d-cb24-44cd-b3df-d505e0db5e20,2026-07-11,6.84,48.26,29.71,29464,0.62,0.99,39.26
489ce051-2eed-4f8a-a43d-2fe3fcad2a55,2025-09-09,4.97,34.05,21.53,14154,0.93,0.92,45.64
4026326c-35db-4500-b4aa-e6f208253977,2025-08-18,2.33,21.33,48.62,32096,0.98,0.86,61.55
c504b25c-39e4-4520-87e7-86531a464fd2,2026-02-17,8.02,13.81,29.69,26368,0.63,0.9,66.9
102170cd-f0ea-4568-88e7-db4274ad0d80,2025-09-16,3.06,23.33,10.23,46675,0.79,0.96,27.51
700c8f6a-d814-4fc2-b685-ac9d89f23d0a,2026-01-03,8.24,20.23,8.66,29847,0.87,0.97,54.41
e03360b0-b543-4e2f-aae2-766f394915a1,2026-04-28,3.71,16.45,10.91,20235,0.9,0.84,37.25
02aa5001-d662-4afe-9e68-1c13f38557c7,2025-09-24,3.05,25.79,28.88,1454,0.92,0.91,33.63
8d8001cb-8094-4224-8cc9-b0ffe472069c,2025-11-22,9.61,12.06,17.44,31652,0.91,0.98,64.21
29e980ce-9bb8-4c8f-92ad-0eda4c9d9d44,2025-07-30,1.33,33.13,45.46,19799,0.64,0.94,33.44
baf18a59-b468-4a65-a03f-914f3da52280,2026-04-25,2.16,29.25,41.87,12622,0.99,0.8,41.02
4a44d1bb-4a59-4ddb-8663-da58b01ac66b,2026-04-03,6.8,24.25,7.77,33914,0.85,0.96,69.78
733cd4c7-c046-44eb-9451-35c14e6d81c2,2026-05-13,9.44,10.07,6.74,35942,0.52,0.88,47.73
1e7fa5c8-6079-44a7-888f-efe659c65549,2025-11-07,8.41,21.75,8.45,48261,0.66,0.91,58.47
adcd55a1-1ab9-4883-9826-27de74ee3879,2026-06-12,9.53,32.17,16.2,15987,0.84,0.81,77.63
d8496488-3a9d-4c0a-bb36-b236e7285a67,2025-11-14,3.09,35.16,18.01,40621,0.97,0.85,37.77
e0526fa5-062c-4d91-8ac5-7dfbdbc105ed,2025-11-09,3.14,10.4,29.89,14926,0.8,0.9,21.17
51a943ea-3702-4c61-ba86-025d7e952e9e,2025-07-28,1.1,28.24,14.15,40565,0.91,0.98,28.62
9e36b727-3bba-4102-aa32-4993a041d60b,2026-03-19,9.37,15.98,32.86,1487,0.58,0.73,78.22
28bfb305-fe73-444d-915c-b25009c2443e,2025-10-04,3.01,17.26,15.06,14599,0.85,0.87,54.25
8415dcf5-2e34-4146-8a6d-d481c9d38503,2026-06-08,4.22,19.74,41.11,46804,0.93,0.9,32.44
220ccd7b-c752-4407-8193-1f9fc439b02e,2025-11-01,2.2,32.76,19.71,43071,0.59,0.86,51.13
1951def8-f99d-49bf-a06a-9f753eeb62a0,2025-10-26,5.27,16.93,6.19,4537,0.5,0.8,35.54
d544c3d6-b9c6-4b8d-99fc-cad84ed1182c,2025-09-22,7.24,35.31,49,43280,0.59,0.73,32.97
53dda17b-9750-4b7b-965c-102d83c1ddfe,2026-07-02,3.54,24.78,41.97,20290,0.67,0.71,71.55
a5ec2d30-ae59-44eb-b36f-fb69ed9ebaaa,2026-04-03,9.4,45.58,47.37,8548,0.7,0.87,61.91
b13930e4-c7d5-4206-bd0d-8594615f7114,2025-09-21,4.69,41.41,37.98,2867,0.94,0.78,39.87
c81c6a69-6140-4310-b99c-446e97ab0a87,2025-07-25,2.46,35.43,42.01,30932,0.88,0.9,28.69
2fa094f9-0202-44d3-9f1f-8c87f1977b85,2026-02-26,5.28,43.01,36.01,19359,0.59,0.77,54.82
b6139b45-bdd0-4f84-a0da-a866069dc92e,2026-01-30,8.05,31.38,30.16,18734,0.72,0.73,43.8
4b2408bc-9c14-42c1-929b-eeb2af8868fa,2026-01-04,1.25,36.43,38.55,15294,0.88,0.93,45.9
5e60acfb-8a8a-4363-a6d4-3415fcb34edf,2025-09-11,6.65,27.38,37.42,23363,0.87,0.88,30.42
e59aa10f-95f2-41a5-861e-2e71010615e7,2025-07-29,5.11,13.35,9.06,48688,0.96,0.91,57.63
a0ba0774-b8ee-4ef4-982d-4362f5d6c74f,2025-08-11,4.46,35.61,20.8,26346,0.51,0.88,33.82
b032be5a-169e-450f-b375-290732db46b2,2025-09-17,5,46.64,18.37,34249,0.95,0.8,25.12
d13c3961-ce2f-4b76-aab6-929be2867ec6,2026-02-11,4.73,39.4,11.63,40643,0.5,0.84,73.6
89ccf413-929d-42aa-9c94-dcdaa00a6964,2025-12-08,5.26,49.25,6.95,15985,0.61,0.73,53.46
8b5f591f-d227-4c6b-9417-f3569b40a226,2026-06-09,1.13,12.36,22.44,36817,0.8,0.92,40.78
1b5ea625-6624-48ee-a2ae-52fb1262570a,2026-03-31,5.46,18.83,26.97,9842,0.64,0.95,78.98
9a3ed3f0-1719-487d-8bed-f6346bff452e,2026-07-06,1.33,21.18,43.04,48894,0.93,0.76,36.15
2ed9887b-1f56-4569-905b-35a517cc2254,2026-06-20,8.95,27.49,42.79,1727,0.85,0.81,77.74
1cf1e26d-b1ed-4623-a5b0-082d4c4db47c,2026-02-27,5.35,32.53,24.37,35921,0.88,0.77,36.32
d22f656a-fa68-4b0d-b411-32dce5fab348,2025-09-17,1.58,18.84,31.78,27110,0.55,0.74,22.91
ea0a267f-a995-431e-a2f4-a5eedd5e0934,2025-12-21,6.32,37.36,14.53,27934,0.53,0.97,45.23
55544a75-0142-46af-b9a5-9ebfea26a2ae,2026-04-30,9.46,25.67,16.54,6323,0.73,0.73,36.77
1995c732-f0cc-40ee-a7ac-9e25d21d50b5,2025-08-20,2.12,45.78,5.75,1370,0.96,0.98,25.7
8239731b-27bf-46c6-b2c9-5534cc62dc6f,2026-05-16,3.09,49.43,41.22,1120,0.82,0.88,29.01
9cd7c797-4b89-44dc-a55c-f9c00a32e098,2026-07-18,4.18,26.61,33.61,23394,0.71,0.94,55.36
1fd8ce25-c383-431c-9f85-95ea56aee45f,2026-04-28,8.79,12.95,19.59,8665,0.92,0.78,27.49
50a86c09-3011-4863-aa15-8db80425df8c,2026-06-08,8,11.27,33.21,21240,0.56,0.99,38.74
6d3b0f20-ba6e-4169-958f-ec99e374adaa,2025-09-19,1.9,38.2,39.89,13933,0.75,0.95,41.65
49bcf413-0b16-4f40-b06e-1c2c06f80aef,2026-03-29,3.32,20.46,5.1,10229,0.54,0.95,70.99
dd5be75d-8818-49a2-b006-a4f4e3a684ad,2025-08-09,3.62,49.6,29.07,33519,0.67,0.91,61.27
ad748896-82f7-422d-b5ed-7498b4468580,2026-03-31,6.72,24.62,24.37,26129,0.5,0.97,75.47
bdd7a243-ca37-4ddb-b672-13e06fa51620,2025-11-04,8.26,31.82,32.74,5179,0.87,0.91,49.11
20b4fbdb-28fa-4176-ae41-20f6c6a49161,2026-06-07,9.88,34.08,35.79,25817,0.56,0.86,36.98
8eb2761d-0727-4043-ad48-a9de91b905f4,2025-12-13,3.36,31.04,5.92,19794,0.65,0.91,34.73
b17b55be-2730-4c21-87de-bbc80efadd94,2026-04-11,7.81,18,40.34,12559,0.78,0.94,35.38
b2a352eb-58c2-46d9-8d4a-35f6329bca7d,2025-09-26,1.72,34.19,39.73,47510,0.7,0.92,70.1
d15bf2d0-9ef9-4f2d-ba40-298693637bbb,2026-03-21,6.23,29.84,49.8,34339,0.73,0.88,52.43
ac56410d-a4f2-4b50-98b4-affacaa87144,2026-05-08,4.69,43.97,28.17,33389,0.68,0.98,47.34
97fb7ed8-5d85-498f-b2d5-4c6a542c0d7a,2026-07-18,3.08,23.67,14.32,20929,0.53,0.75,55.32
9afafda0-8a26-44a4-9142-5b05959ec2d0,2026-02-10,1.58,27.11,36.21,16465,0.52,0.96,27.09
66eab236-ac70-400e-b575-b01d1550de7d,2026-04-05,4.97,38.68,31.24,17059,1,0.73,44.11
baed60d1-2e6e-479f-a22d-5383cef38b44,2025-08-15,4.76,23.59,26.24,4995,0.63,0.81,37.57
425e2755-df46-4890-a3a2-2508913cd8fc,2025-09-02,8.4,37.07,13.02,46403,0.83,0.8,25.02
a9f87708-6a42-40b8-bdcb-b03ff47560e2,2025-11-01,4.89,12.04,27.49,25070,0.97,0.82,37.74
32bb760e-398a-41f2-9f25-ff7a5a5494b4,2026-02-17,6.77,33.19,35.32,16755,0.7,0.88,39.99
d0857cc7-4027-4d77-a4e4-36d92971a49c,2026-03-10,1.7,38.03,25.29,8502,0.7,0.74,35.12
8f7092f6-aa1a-436e-88e1-517e768ab539,2026-05-28,1.66,14.26,10.56,31579,0.55,0.95,65.77
dea145a1-fa58-4005-a96c-afd2433df4bf,2026-07-08,9.47,27.85,14.5,46591,0.88,0.86,43.72
6fe354ba-a584-487e-8871-18132202615d,2025-08-26,4.46,18.63,21.72,8956,0.94,0.95,31.05
c68bcc72-0251-4e7a-8531-2c0941911a1e,2026-02-06,4.68,32.71,30.55,48031,0.67,1,27.3
2e69a5d5-af70-472f-9c7c-495dffa69df6,2026-06-05,3.56,48.76,35.53,49471,0.63,0.93,26.44
53264ed0-c06b-4538-8744-014345ec79a7,2026-07-06,2.42,16.47,10.38,30355,0.57,0.79,33.72
342d68c8-6d26-4958-806a-8477089615d8,2025-08-28,8.69,14.1,43.5,6111,0.96,0.89,49.56
84624410-dd2f-4fb3-b84b-51f0e0536cfd,2025-11-20,3.51,35.65,28.51,37219,0.85,0.81,76.25
c76861c1-7e14-49b1-8710-91864c287e31,2026-06-11,5.19,23.41,38.17,37326,0.63,0.78,52.47
d333fc32-7210-42bf-8087-7dd9780efecd,2025-12-20,4.82,16.4,16.96,40204,0.61,0.85,75.77
dca1a594-9580-4a62-8051-cd8932200832,2026-06-08,2.7,42.39,15.12,45673,0.9,0.89,67.58
4c8c1182-3bef-49c1-b6f9-735b55e68a7b,2025-09-30,7.8,25.13,29.46,18092,0.94,0.92,27.93
d636d1fe-e6bf-43c0-bc0f-97636b3a2e2e,2025-09-12,5.74,45.18,10.08,48831,0.8,0.95,64.74
1ff051ef-4370-4232-b1b1-be5769d71bde,2025-10-16,3.05,35.23,19.08,44796,0.54,0.72,40.23
4fbe5a0d-d4f4-4539-81b5-21eea6d0e837,2025-09-19,8,25.43,15.35,27298,0.79,0.95,74.57
4a1afbb0-d467-4391-bf50-35d9359b8313,2026-04-26,5.49,49.28,43.62,41959,0.58,0.71,77.28
f18c1f11-0857-43ae-9dc4-8b8c0296842f,2026-01-30,9.23,33.9,27.26,46465,0.66,0.87,62.84
f4af99e9-fda0-4e25-9e14-e68f3b77fdd0,2026-05-06,5.06,49.66,5.53,36300,0.71,0.99,20.36
fd0d44b1-b1ea-45cc-9fe7-f9780026ad0a,2026-01-22,3.54,26.98,11.65,11864,0.94,0.93,79.16
9312dae5-4f88-4323-8142-8f976781d5d7,2026-01-04,6.61,41.34,37.41,9997,0.9,0.87,68.58
eef8a1a2-c083-4dab-bec6-74cb2d82dca2,2026-06-14,7.51,40.33,49.76,36005,0.62,0.81,46.11
bdc84cb2-ecfa-4edf-a94a-4d0e59b02774,2026-06-30,5.96,45.79,17.49,17027,0.5,0.78,77.06
ea96ada3-593a-4511-8c63-81f46af241f6,2025-07-26,9.09,49.41,11.87,45835,0.89,0.83,49.28
c322fa26-07e7-438f-a5bf-97d95dee1111,2026-03-24,6.4,42.45,30.93,21447,0.74,0.74,39.76
bcfc7fd0-4c03-458a-bd31-f8dc55770a17,2025-10-31,8.5,36.07,30.37,46660,0.71,0.92,31.15
d43e5ee5-06ca-40b2-bf1f-8de8858a5848,2026-01-05,1.02,36.38,15.9,20778,0.75,1,79.04
2c5026a0-6f32-4724-97b8-dc6422caa0c3,2026-02-10,4.34,14.28,26.23,30321,0.7,0.95,52.3
8aa3ea14-f1ed-449c-a7ac-9d82224ac65c,2026-07-23,5.08,41.05,22.44,29734,0.7,0.97,44.29
f7d80e98-2c9f-4ca4-a75a-3a2304d4cd2d,2026-04-28,1.85,47.43,36.35,14030,0.97,0.89,77.39
537b1015-56ed-4de8-9944-94eca9bc8a72,2026-07-15,5.68,11.25,20.79,29541,0.82,0.79,58.06
08fe8841-8f29-473c-be31-c11fea6c1c56,2025-09-12,7.12,21.28,48.94,39557,0.89,0.96,62.18
445fb55c-086c-4173-8f3a-a3dc6c808f73,2026-07-06,2.04,46.74,18.45,38411,0.61,0.86,25.41
08ed3e5a-1dba-4029-b915-dbe0017a92ea,2026-04-07,3.6,46.1,13.42,4357,0.68,0.8,34.27
