Record_ID,Date,Campaign_ID,Campaign_Type,Marketing_Channel,Click_Through_Rate_CTR,Conversion_Rate,Offer_Redemption_Rate,Opt_Out_Rate,Campaign_Segment,Campaign_Cost_per_Customer,Upsell_Success_Rate,Cross_Product_Adoption_Rate,Campaign_Engagement_Rate,Cost_per_Acquisition_CPA,Retention_Campaign_ROI,A_B_Testing_Conversion_Lift,Social_Media_Campaign_Effectiveness,Personalized_Offer_Acceptance_Rate,Campaign_Response_Time_Avg_Hrs,Customer_Segment_Response_Variance,Marketing_Channel_Cost_Efficiency
89591d41-1e0a-478d-9dbb-42a740804ef8,2026-05-02,CAMP-7004,Retention,Website Banner,2.86,3.39,25.94,3.12,Behavioral,8.5,3.36,8.03,12.36,19.87,284.02,0.37,0.93,20.37,8,0.21,0.68
b00d7f56-a921-42ec-9809-177cb0459e7e,2026-06-24,CAMP-3547,Awareness,SMS,7.76,1.54,19.3,4.88,Geographic,6.95,11.4,3.13,27.87,52.82,272.68,-1.37,0.56,18.35,33,0.24,0.78
2ceb8ad8-03a4-4825-a656-1b2fc661a8de,2026-07-24,CAMP-7200,Promotional,Email,6.38,1.88,10.49,1.74,Demographic,0.55,14.26,7.96,24.9,75.57,251.6,-0.63,0.64,49.73,43,0.43,0.92
804e4a64-3f7d-479c-99d4-64ca1cd7cb9a,2026-02-20,CAMP-2640,Awareness,Website Banner,2.5,2.42,25.93,3.42,Behavioral,6.34,3.2,4.55,28.96,79.63,96.57,-1.54,0.81,16.53,16,0.49,0.77
6debca44-1a21-4ca9-89dd-86502f2601c0,2026-05-24,CAMP-5243,Promotional,Email,9.4,4.75,23.91,3.58,Geographic,9.38,2.87,8.28,26.43,38.44,132.29,5.7,0.67,10.05,39,0.3,0.86
b1d8d4dd-e3af-4c5f-acba-7561c341d426,2026-06-14,CAMP-1427,Retention,Email,3.13,4.67,16.18,0.3,Geographic,2.32,5.65,4.8,15.48,67.6,88.94,6.09,0.78,28.96,19,0.27,0.7
a7f938e2-5e5b-4ab6-834c-7526b2f8f028,2025-12-28,CAMP-4170,Retention,SMS,5,0.82,27.39,4.61,Demographic,4.44,13.41,7.17,18.57,64.71,177.62,2.86,0.69,31.47,34,0.17,0.97
57d71c8e-8284-47c7-81da-9a6c6f425bfe,2025-08-05,CAMP-2441,Upsell,Website Banner,4.02,2.2,15.55,0.33,Behavioral,8.63,1.85,3.79,10.48,50.03,149.93,6.69,0.75,46.59,40,0.34,0.89
96057564-3d80-4ace-9d67-b20900c9a4cf,2025-12-24,CAMP-9164,Upsell,Website Banner,7.99,1.4,11.17,4.85,Demographic,9.17,3.37,4.68,21.4,36.48,164.03,9.91,0.97,19.87,11,0.22,0.95
9a83b4db-059a-400e-87d1-320348e1a3c8,2026-01-13,CAMP-2159,Promotional,Website Banner,5.97,2.61,13.39,0.3,Behavioral,6.53,6.11,5.86,28.73,15.1,250.72,9.62,0.72,30.18,46,0.43,0.71
cebbd943-9410-47e0-8a34-5b11d0bf3ae5,2025-11-15,CAMP-5972,Retention,Website Banner,8.73,0.62,8.82,3.85,Behavioral,9.23,3.9,9.56,19.35,74.53,152.26,9.27,0.9,49.75,6,0.37,0.88
6d35d21d-e140-41d5-90e0-039fefbc5151,2025-08-28,CAMP-7231,Upsell,Email,2.37,3.79,9.7,1.08,Demographic,5.6,5.42,5.63,21.36,96.37,112.46,-0.35,0.9,24.66,6,0.29,0.73
6f29dd7d-66d0-417b-af4d-3f1a1630778f,2026-07-19,CAMP-8589,Retention,App Push,1.68,3.38,23.76,4.24,Demographic,6.49,14.59,9.72,29.53,84.24,224.54,0.74,0.7,39.28,3,0.33,0.67
893da184-21d1-4401-a920-bfe5abe835f9,2026-05-30,CAMP-5210,Awareness,Website Banner,5.48,1.82,21.87,2.96,Demographic,4.49,7.25,9.98,23.76,11.55,95.28,0.75,0.72,30.1,46,0.19,0.62
1a3d26c3-ce68-42ae-90c4-ff8e12bba0f0,2025-11-26,CAMP-9459,Awareness,SMS,7.55,0.93,7.87,4.7,Behavioral,6.36,7.18,7.84,29.77,86.71,78.33,1.93,0.97,31.49,39,0.18,0.98
afcbe6f1-78ba-4d76-923b-08c475280e0c,2025-12-22,CAMP-6866,Promotional,Email,5.5,3.24,7.37,4.15,Behavioral,2.57,8,5.67,19.89,53.14,129.35,8.16,0.66,18.7,11,0.13,0.72
75f7edca-16ca-41bd-95bc-8efe5a5cf0d9,2026-03-12,CAMP-3855,Upsell,Website Banner,2.83,0.72,11.74,1.17,Geographic,9.37,2.92,3.37,19.73,14.62,156.35,1.63,0.93,35.1,28,0.42,0.89
bfa214f2-be10-44c4-acc7-3b39cba54db6,2026-01-25,CAMP-6706,Awareness,Email,8.97,1.49,21.38,3.67,Geographic,4.15,14.45,8.67,24.71,35.44,230.97,0.63,0.53,49.7,7,0.45,0.64
fcfe3857-569c-448b-94c8-4ab11dc32cb6,2026-01-14,CAMP-3761,Awareness,Website Banner,6.27,2.27,19.71,4.16,Geographic,2.89,10.5,3.78,10.97,15.94,216.1,0.22,0.7,41.17,43,0.49,0.89
e4202294-55c0-4b46-b35a-45a6af19cc70,2026-03-05,CAMP-3058,Retention,Social Media,9.44,1.25,16.5,3.08,Demographic,9.3,12.23,6.26,14.25,66.73,236.58,0.21,0.58,48.56,4,0.44,0.86
223613e0-5dda-4390-be6c-bc55d8e8f7a2,2025-08-29,CAMP-5935,Promotional,Website Banner,8.51,3.91,27.48,1.38,Behavioral,3.9,8.91,5.71,9.21,84.85,56.15,6.37,0.77,21.04,32,0.27,0.79
625ce1bc-7c77-41d4-baf6-fa26fb5d6125,2026-01-06,CAMP-5452,Awareness,SMS,1.81,2.58,6.53,1.27,Demographic,5.91,13.9,4.7,9.84,91.28,226.25,1.71,0.85,40.94,33,0.28,0.91
19f255e7-4ae5-4ff7-a462-c8b834ea703a,2025-09-28,CAMP-4243,Retention,App Push,1.12,4.7,29.52,1.8,Geographic,5.85,11.13,8.69,23.29,28.07,251.15,7.82,0.51,32.03,18,0.12,0.89
d053d35b-5876-4785-b35c-8e0a37f7e78b,2025-12-25,CAMP-2985,Awareness,Social Media,1.85,4.23,6.7,0.78,Geographic,4.3,4.56,4.67,16.55,28.16,144.67,-0.71,0.56,47.33,14,0.37,0.79
740531fb-0566-4b55-a849-fb59693f3ad5,2025-10-19,CAMP-9902,Awareness,SMS,2.21,2.02,28.34,2.33,Demographic,7.54,12.84,4.7,29.32,78.75,286.44,4.56,0.77,43.64,2,0.47,0.65
6e4be5af-46de-464e-9527-6ac7ded50255,2026-05-09,CAMP-7689,Awareness,Email,7.16,1.96,27.76,3.36,Demographic,6.43,11,8.13,24.6,28.11,298.56,4.77,0.93,24.61,23,0.4,0.72
07092e7a-88cc-48a4-a411-e2f2f84c3279,2025-11-03,CAMP-5065,Upsell,Email,1.58,1.08,27.54,4.19,Behavioral,8.51,1.91,2.21,9.7,95.78,216.16,3.66,0.66,12.95,18,0.34,0.84
179951fd-ce39-473e-88a0-caebf43ca1e0,2025-10-15,CAMP-8786,Promotional,Social Media,1.11,2.6,17.59,1.97,Demographic,6.78,13.27,2.9,26.09,91.83,238.62,9.46,0.6,28.75,44,0.44,0.76
77c0ba79-551f-4f81-8574-fd6c2264b4a0,2026-01-27,CAMP-3664,Retention,SMS,8.2,1.33,29.23,2.16,Demographic,3.08,10.04,1.36,10.04,66.45,264.27,6.17,0.95,29.19,24,0.39,0.91
8d3c3559-9e7f-4c91-82a6-f6bf19d97ffc,2025-08-06,CAMP-6876,Promotional,Email,6,3.6,23.58,2.01,Demographic,2.66,11.2,8.14,18.55,88.9,265.94,2.05,0.72,16.46,46,0.15,0.83
54c1d2c6-be1e-437a-87f1-3863fc428a6a,2025-12-25,CAMP-7086,Retention,Email,2.5,3.34,5.21,3.22,Behavioral,8.9,14.55,1.06,17.55,93.42,277.86,9.44,0.9,32.22,46,0.18,0.77
885f8bdd-89bf-4268-8445-a6db41b773ef,2025-12-30,CAMP-5644,Awareness,SMS,4.97,3.23,24.08,4.84,Geographic,2.61,1.3,1.65,15.62,48.05,250.41,-1.55,0.71,27.15,35,0.47,0.64
df4b1dbd-aaf8-45bc-ad69-d91477c5a09e,2026-04-15,CAMP-6224,Awareness,Website Banner,7.69,0.65,12.67,2.45,Behavioral,4.54,8.44,7.25,10.43,92.41,251.64,5.02,0.78,48.18,33,0.23,0.86
85f54a61-e369-4ece-b069-331e070c8453,2026-06-22,CAMP-5940,Promotional,SMS,2.3,2,10.72,2.48,Geographic,5.5,7,4.35,19.1,90.69,273.58,7.86,0.66,24.02,20,0.2,0.65
837b094b-50cc-4e0a-9776-d8af4227279e,2025-09-06,CAMP-8876,Promotional,SMS,4.94,1.87,10.73,3.42,Behavioral,9.87,13.87,1.07,7.3,89.65,231.46,5.53,0.78,14.89,39,0.21,0.99
deba6222-9ff1-4995-bc66-1cfd1a1446d2,2026-02-28,CAMP-8392,Awareness,App Push,6.61,2.02,29.83,3.57,Geographic,6.61,8.9,2.27,22.32,61.31,241.01,2.81,0.73,45.5,29,0.14,0.92
f963a82b-24b2-47a9-8c05-369a65e54e7e,2026-01-28,CAMP-6829,Awareness,SMS,5.97,3.86,15.2,4.37,Demographic,4.53,7.93,3.91,18.04,12.69,220.68,-1.25,0.55,46.47,22,0.17,0.91
62a27c12-77d1-48ad-9673-fc6b70bdea05,2025-11-08,CAMP-5531,Awareness,SMS,9.23,3.29,10.44,3.54,Geographic,9.61,5.16,1.14,25.89,15.71,199.43,-0.79,0.61,19.65,4,0.38,0.87
54c960b2-73e7-47f8-bbe8-37948e550fcc,2026-05-14,CAMP-9395,Awareness,Email,6.88,4.55,5.69,4.65,Geographic,6.47,1.73,5.6,12.73,95.76,162.1,7.76,0.82,36.45,11,0.35,0.72
d9ea4dd0-7a26-4c40-a51f-f7ed4bb3d756,2026-05-06,CAMP-5999,Upsell,SMS,8.44,3.72,20.84,1.64,Behavioral,9.45,11.25,3.85,19.63,21.67,228.44,1.41,0.76,45.95,38,0.27,0.7
884904ac-fc27-4b5a-8184-7f551ff98fe4,2026-04-09,CAMP-4261,Promotional,App Push,1.61,2.87,8.06,0.24,Demographic,5.38,4.84,4.01,25.02,88.55,280.95,7.75,0.54,42.49,30,0.36,0.61
0f1ffce3-2d0b-4dce-8b4d-b3eb51cc4db8,2025-11-27,CAMP-6592,Promotional,Social Media,9.5,3,20.43,1.91,Geographic,8.05,1.11,9.6,7.58,55.02,58.52,9.57,0.94,42.06,22,0.25,0.66
5ef6ad01-50ce-4162-98ab-2e4b872018a2,2026-07-14,CAMP-3542,Promotional,Email,2.03,3.92,21.72,0.44,Behavioral,1.56,4.8,7.79,19.39,46.44,121.89,-0.34,0.75,18.1,48,0.15,0.67
2dccaf08-6e55-408a-9f12-a9d1eef1a562,2026-04-16,CAMP-4926,Promotional,Social Media,9.17,4.5,27.46,1.47,Behavioral,1.48,3.4,4.97,16.84,16.94,178.58,3.99,0.63,38.48,31,0.32,0.98
4d325948-beb6-4116-8ea7-5d7e91624fec,2025-07-26,CAMP-2176,Upsell,Social Media,1.76,3.34,17.34,3.22,Geographic,6.08,13.26,5.07,19.08,70.51,93.53,0.15,0.96,45.59,6,0.13,0.6
c4346eca-aa0d-409e-b430-7b3ba601b70f,2025-12-13,CAMP-8252,Retention,SMS,9.03,1.29,7.15,2.04,Behavioral,6.87,10.58,2.29,19.53,76.89,260.13,0.44,0.61,40.29,15,0.22,0.74
1430c690-0393-4315-8e9a-8625007b91e9,2025-12-12,CAMP-1554,Promotional,Email,7.26,3.86,28.61,4.42,Geographic,2.75,2.59,3.34,22.57,21.73,271.93,0.52,0.94,44.49,45,0.45,0.67
a6c100ec-edef-4399-9785-9f951106d7d8,2026-05-19,CAMP-2381,Retention,Email,3.23,4,27.19,2.98,Demographic,5.57,13.7,9.97,15.75,32.07,158.39,2.6,0.74,29.31,45,0.33,0.87
fde60e8b-b377-4fa7-a677-c943ca113fc8,2026-01-10,CAMP-1622,Retention,SMS,1.82,1.34,24.91,2.76,Geographic,0.86,11.27,2.19,16.56,32.84,200.7,-1.98,0.65,24.4,11,0.41,0.6
fc2afd94-504c-416f-994f-5c533233628d,2026-01-03,CAMP-9408,Upsell,SMS,7.92,2.14,13.49,3.99,Geographic,3.97,6.89,6.53,7.48,54.1,267.51,1.29,0.84,42.36,27,0.33,0.7
4facedfc-9d65-4647-8dbd-1d344691fbb3,2026-07-24,CAMP-3173,Retention,App Push,8.48,1.26,29.33,1.74,Geographic,5.48,3.2,8.11,25.28,16.64,126.47,0.1,0.84,21.15,15,0.32,0.62
e9868164-7932-4711-8f29-e10aca4b545a,2026-01-15,CAMP-9339,Awareness,Website Banner,3.82,1.81,21.14,1.39,Demographic,9.85,4.77,1.92,15.88,70.23,79.26,6.99,0.83,48.04,29,0.39,0.97
6982edcb-7192-4ee3-ae33-2befb8e3e737,2025-10-07,CAMP-6851,Upsell,App Push,2.28,0.8,7.68,0.53,Behavioral,7.27,12.45,3.95,25.99,11.76,252.59,9.83,0.88,12.52,38,0.14,0.96
c15d68af-4930-426c-b3bf-6ca1fef0b95c,2025-12-21,CAMP-8098,Promotional,SMS,6.95,4.91,20.66,2.7,Geographic,7.58,12.84,8.92,24.44,31.89,50.21,9.65,0.97,35.43,40,0.48,0.86
0233e97d-5b8b-4e14-9a72-7df87d6e0cc0,2025-09-30,CAMP-8052,Retention,Social Media,2.37,3.77,15.22,1.93,Demographic,3.04,12.45,6.66,21.56,20.17,285.21,6.03,0.6,36.36,43,0.38,0.65
d30ef4ea-1c7e-40b1-934c-aa1a2563a085,2025-08-31,CAMP-3409,Awareness,SMS,2.9,1.22,27.89,3.06,Geographic,5.71,3.34,1.85,5.49,57.13,295.77,7.52,0.56,18.67,21,0.31,0.69
41a1e3eb-7a96-4755-a41e-43f504d8ab69,2026-01-24,CAMP-1974,Promotional,SMS,2.2,4.71,29.28,0.77,Behavioral,0.7,9.05,6.7,17.68,43.15,211.53,2.08,0.94,45.58,13,0.49,0.86
522b674f-579a-466f-b389-6a8d28e7b95a,2026-04-01,CAMP-3092,Upsell,App Push,6.49,3.9,14.25,4.25,Demographic,3.19,1.87,2.52,21.89,56.45,232.72,-0.1,0.51,11.6,46,0.24,0.69
f5865145-a8b6-4dd0-9cc3-cefab68cf20f,2025-12-31,CAMP-5836,Retention,Social Media,2.04,4.36,6.58,2.69,Demographic,7.34,4.14,7.23,17.85,22.47,162.19,-0.96,0.85,10.08,2,0.32,0.71
15ac841d-f2e7-45b4-8834-99bc35f7fd9a,2026-03-22,CAMP-9548,Retention,Website Banner,7.94,4.77,19.37,4.65,Geographic,4.38,13.51,8.87,20.33,19.07,252.17,9.66,0.51,13.43,35,0.1,0.7
cda47dee-f72a-43df-842e-63f417c0d171,2026-05-13,CAMP-4128,Retention,Social Media,8.33,4.32,28.8,4.8,Geographic,8.66,1.32,2.85,18.27,90.25,270.61,7.17,0.57,41.96,22,0.5,0.77
35decbf1-f810-4a28-9824-7265b6109588,2025-09-27,CAMP-9168,Upsell,Email,7.85,0.57,8.31,2.91,Demographic,5.74,2.71,7.96,11.93,69.82,167.89,-0.64,0.83,25.68,29,0.22,0.82
55104c6f-3579-4e88-8fab-39c2e69e4053,2026-01-16,CAMP-2123,Upsell,Website Banner,1.5,3.39,13.86,3.52,Behavioral,3.22,1.76,4.71,6.48,94.47,114.52,3.51,0.66,28.45,36,0.25,0.84
c57f91ff-033c-46f2-9292-ff0605cd2861,2025-10-30,CAMP-4554,Upsell,SMS,4.47,2.39,23.84,4.93,Geographic,0.68,13.73,9.41,14.52,26.42,285.78,6.63,0.62,39.22,2,0.26,0.66
cd4b34dc-9c83-4b52-ad59-cc2cd38c4e4f,2026-07-08,CAMP-9895,Upsell,SMS,6.7,4.72,20.33,2.75,Behavioral,2.08,9.61,2.7,19.67,12.18,105,3.92,0.89,38.52,28,0.24,0.9
56e70091-adb5-45b5-9997-cd72f1994867,2025-10-27,CAMP-8040,Promotional,Social Media,4.53,4.44,14.32,0.56,Demographic,5.1,11.4,9.62,7.17,13.9,260.17,6.51,0.93,45.73,48,0.24,0.99
a225ecd2-da28-4be8-a8c3-4a533ea125f7,2026-01-17,CAMP-2245,Retention,App Push,9.62,2.18,9.16,3.21,Geographic,9.95,10.63,4.37,17.51,87.38,299.34,3.65,0.7,16.47,29,0.32,1
455e6e06-ba43-447a-98be-b8f70fe1db36,2026-07-10,CAMP-1269,Awareness,App Push,6.49,2.87,6.59,1.58,Demographic,5.23,5.03,9.45,10.89,95.89,207.07,-1.59,0.97,26.91,4,0.31,0.92
c75a60ce-38d0-41cc-bcf5-6f46a9895ad0,2026-02-06,CAMP-7919,Promotional,SMS,4.62,1.99,6.04,0.35,Behavioral,8.85,11.13,8.68,14.8,62.33,103.44,8.96,0.74,22.72,43,0.21,0.98
9a3a5ee4-4217-4a84-8f39-d6173e5d2683,2025-12-31,CAMP-1663,Promotional,Social Media,5.62,3.52,22.32,3.19,Behavioral,3.05,13.09,6.11,14.56,23.22,237.99,4.2,0.99,48.97,25,0.11,0.74
a794ce79-992a-4219-a295-c7b1037af474,2026-05-23,CAMP-9551,Upsell,Website Banner,3.56,4.2,5.6,4.11,Behavioral,2.85,4.26,5.16,11.22,27.94,208.98,4.12,0.9,19.78,7,0.47,0.7
a89b0fd9-f5f3-4832-a5d4-114f94aff5e1,2026-02-22,CAMP-5695,Promotional,Website Banner,4.84,1.95,24.97,3.28,Behavioral,9.69,1.79,6,7.92,44.82,207.63,7.64,0.53,33.48,42,0.22,0.66
9f5ba7b2-4b66-4379-8371-e90d1f0880b4,2026-04-19,CAMP-3326,Upsell,SMS,5.68,2.09,18.22,2.94,Demographic,9.41,14.4,8.26,8.7,67.55,171.73,9.51,0.5,24.23,44,0.17,0.77
db6fd69f-d109-4fa6-a0a4-a82081ac96ea,2025-10-29,CAMP-4107,Upsell,SMS,4.89,2.22,22.36,4.43,Geographic,9.53,5.06,6.19,18.87,63.93,191.76,5.6,0.84,13.62,32,0.29,0.87
ab77f8a2-a14c-42d0-b106-f5febeec5720,2025-11-04,CAMP-1200,Promotional,App Push,3.97,4.87,29.31,4.07,Demographic,4.01,12.74,2.95,20.8,24.01,191.56,6.25,0.58,14.9,33,0.11,0.76
1ee13ebc-8a99-4ec0-8987-cbd806294ffd,2025-08-02,CAMP-6767,Awareness,App Push,5.02,4.67,6.34,0.34,Geographic,3.98,1.72,2.96,9.13,62.49,128.35,2.56,0.56,11.47,35,0.39,0.93
def31e08-5f67-4b6c-9839-2055d7e382ac,2026-01-19,CAMP-1057,Retention,Social Media,8.1,4.92,22.82,4.56,Behavioral,3,9.81,7.25,13.3,82.06,169.67,6.31,0.53,49.88,6,0.26,0.97
6411849d-ed29-4920-b3bd-9e4ecef68b6a,2025-12-06,CAMP-9297,Retention,Social Media,5.85,4.85,27.88,0.81,Geographic,7.64,2.39,8.17,6.56,12.1,71.42,4.86,0.8,19.27,38,0.26,0.86
c2190f8b-a158-49b4-98af-6e9ea5525295,2025-10-07,CAMP-1163,Upsell,App Push,4.16,1.76,18.82,2.4,Demographic,4.16,6.16,1.92,8.06,10.55,77.6,-0.64,0.66,45.34,28,0.14,0.74
