Record_ID,Date,Customer_ID,App_Crash_Rate,Website_Conversion_Rate_e_g_plan_purchases,Digital_Onboarding_Completion_Rate,Chatbot_Interaction_Success_Rate,Virtual_Assistant_Usage_Frequency,Digital_Payment_Adoption_Rate,Customer_Portal_Error_Rate,Mobile_App_Feature_Usage_Rate,Digital_Customer_Satisfaction_Score,API_Response_Time_third_party_integrations_ms
61e7bc8d-5cf8-4eb4-b8b3-dd1896761d09,2025-10-04,CUST-294531,0.33,8.12,82.66,63.87,5,52.28,1.34,Plan Change,0.86,55
c3e152fa-03bf-4671-8c77-02b2fd48b506,2026-04-14,CUST-663016,0.06,7.36,82.41,79.07,7,36.13,2.35,Support Chat,0.77,249
ea99d06d-0241-4a52-b981-c18a63c2ce49,2025-09-18,CUST-686938,0.9,7.33,84.34,78.03,8,44.27,1.23,Plan Change,0.75,174
79fe0046-5cd4-493c-8ccf-945f96ebf44c,2026-01-10,CUST-473323,0.98,7.78,82.31,70.5,5,68.19,1.75,Plan Change,0.7,259
49081a0c-5442-4d77-a388-c59c7a9b4746,2026-04-29,CUST-801073,0.66,2.61,78.95,72.92,4,33.5,1.99,Add-ons,0.75,130
16e1a404-401c-45b8-aad1-56ad1074cf4f,2025-08-11,CUST-538103,0.63,8.46,94.72,64.16,4,67.52,1.27,Usage Monitoring,0.72,404
ccf267f6-25c7-406d-94bb-f5d1f2b9b23f,2025-09-16,CUST-553531,0.36,5,87.73,63.84,7,45.27,1.03,Usage Monitoring,0.82,344
4e1a2c08-074c-4d7a-a56f-bb7659c1e0b2,2025-10-06,CUST-351298,0.2,3.89,75.21,85.54,2,46.8,2.83,Billing,0.68,373
808e5095-b0c2-4302-bc3b-e2a3ec4772db,2025-12-28,CUST-751543,0.98,8.52,72.39,74.6,1,68.14,2.45,Support Chat,0.91,223
11fec820-f656-4208-a0bb-b555f8464691,2026-04-04,CUST-360448,0.27,5.74,83.35,67.44,2,62.83,2.48,Plan Change,0.85,214
91edab06-a1d8-40b2-bebb-2eba1d0fcbfb,2025-12-23,CUST-414793,0.86,2.78,80.96,70.31,8,54.04,0.34,Usage Monitoring,0.91,497
c38b2f18-cf73-410b-9715-06dedb96d69b,2025-11-04,CUST-164876,0.64,6.87,85.29,89.38,10,42.76,2.33,Plan Change,0.72,341
706ce341-9141-4324-a026-0440973efc20,2025-10-03,CUST-130767,0.75,4.32,76.58,66.53,1,46.49,1.2,Plan Change,0.79,302
4ee25938-aefa-48c5-b3ad-ad3123a55f7b,2026-02-21,CUST-633785,0.22,9.9,72.42,88.55,8,60.29,1.17,Usage Monitoring,0.71,273
1d88f151-795a-46b9-8f9b-fd3515345418,2026-03-31,CUST-956382,0.87,8.54,88.7,89.34,4,54.48,0.72,Add-ons,0.85,118
d365bd11-3856-4389-b7b5-e5264b91919a,2025-12-04,CUST-820710,0.57,2.49,83.64,67.57,3,45.64,0.89,Billing,0.6,85
5269a05c-620b-4ffe-b415-3ce2c7dd63d1,2026-04-17,CUST-355479,0.16,4.81,73.02,87.36,9,56.46,0.99,Plan Change,0.73,187
12278d0c-3b8e-4803-9de5-6030eca1f482,2026-03-06,CUST-822792,0.71,1.57,81.88,70.83,2,56.06,1.55,Add-ons,0.93,123
f9995b6a-5299-4728-bf4b-5cd7ebd52b5b,2026-06-24,CUST-501531,0.06,3.49,85.04,82.62,7,73.58,1.8,Billing,0.82,147
293a49dc-a822-4bee-b02c-36f2f2c13be4,2026-04-12,CUST-594023,0.53,6.54,84.1,84.79,1,41.04,1.91,Plan Change,0.83,177
68f3f736-a91f-451c-9a3e-30dc9aec84d9,2026-07-08,CUST-965197,0.56,7.96,80.15,73.78,8,67.52,2.45,Usage Monitoring,0.98,340
5ae1b822-c582-4ba0-a544-f82cf4e2a661,2026-04-16,CUST-296251,0.29,1.38,92.12,66.77,3,38.32,2.15,Plan Change,0.89,253
66e5d174-4f31-4116-a41b-9ac2bdaeeabc,2025-08-09,CUST-606771,0.64,3.76,80.66,84.85,2,72.52,0.81,Billing,0.68,253
599679c1-ea27-46f7-a046-5de4c277db0f,2025-09-19,CUST-981351,0.5,8.34,70.18,80.52,8,46.89,0.36,Billing,0.62,377
c3878627-6d57-4696-8b88-eb404d678aeb,2025-08-26,CUST-378405,0.58,2.62,86.24,79.57,6,79.68,0.21,Add-ons,0.93,120
e852dac3-a76b-4a7f-bf57-13e9e06da20d,2025-12-29,CUST-567325,0.19,2.59,70.38,60.19,0,72.23,0.72,Add-ons,0.91,183
ba1859cb-3b48-4290-aa10-9adba8075641,2025-07-27,CUST-384857,0.1,6.88,77.96,79,0,37.43,1.1,Usage Monitoring,0.68,60
5651aae5-4156-429a-88b7-8df1f8f8818b,2026-06-15,CUST-140165,0.6,1.92,91.65,70.96,1,69.76,1.49,Support Chat,0.86,422
37195c24-5cac-4d7a-8ba2-e176e1e0f333,2026-02-24,CUST-885962,0.64,6.94,71.71,64.31,1,57.36,2.16,Billing,0.89,403
d41af024-cdf2-4527-aae5-f6e2243f9134,2026-03-27,CUST-279242,0.14,2.22,93.05,74.51,4,50.97,1.84,Usage Monitoring,0.67,262
e6a96085-e44f-4e08-9f0b-a5ee1f030f15,2025-11-10,CUST-898729,0.17,1.53,89.18,87.3,9,36.4,2.1,Billing,0.85,207
1a2cb591-0afb-4dd1-a210-153b4a3f2835,2026-07-01,CUST-849938,0.74,7.12,76.57,84.66,8,56.3,1.56,Usage Monitoring,0.98,116
b4f7624d-69f9-44d7-a22d-0c51f137a53f,2026-03-18,CUST-724949,0.41,6.65,82.15,75.47,7,67.37,1.14,Plan Change,0.69,245
17711e43-b139-4e0b-a6c2-6abf0af83b82,2026-01-06,CUST-172093,0.72,8.32,79.31,62.47,5,68.79,2.84,Usage Monitoring,0.87,150
11b44e35-5d84-45af-9f33-00c9a4fcf926,2026-01-24,CUST-690906,0.62,4.82,83.7,63.07,7,65.01,2.21,Support Chat,0.92,428
ae4e374a-12b7-4a3c-814e-40f5fc92039b,2025-11-11,CUST-515066,0.84,5.11,78.59,65.25,9,77.09,2.54,Billing,0.72,238
41f97491-2476-4d9a-ae7e-9a54bd729954,2026-04-08,CUST-560247,0.48,2.17,80.1,73.63,1,41.96,0.34,Billing,0.93,119
c64ba188-d4a3-4c81-a820-ee13a1996649,2026-04-29,CUST-478578,0.68,7.31,89.46,64.18,6,65.81,0.6,Support Chat,0.7,290
53a5e0a4-f1f9-44d5-baea-737859848397,2025-12-22,CUST-247614,0.27,8.39,71.97,84.25,3,33.47,1.82,Support Chat,0.98,328
2b554742-bea7-4f6a-ba82-9140a227467e,2025-09-08,CUST-835666,0.6,9.3,76.74,80.63,6,49.67,0.21,Add-ons,0.73,190
c4c07487-a6de-4122-9f2e-9d48ec666308,2026-06-16,CUST-800552,0.25,6.41,80.74,67.26,5,49.44,0.21,Usage Monitoring,0.7,217
315ea597-ea9e-46fe-833c-41e2b239ede7,2026-03-27,CUST-273192,0.17,4.61,79.55,79.04,9,37.87,2.42,Support Chat,0.6,135
768b4dbf-8cbc-48c8-9e37-b0f77b3206f0,2026-01-24,CUST-685693,0.12,9.45,76.73,88.06,3,61.62,2.5,Add-ons,0.74,406
4e6b7739-fe54-439f-84ec-4ae0b550ab6c,2025-08-22,CUST-253471,0.75,3.61,84.21,79.84,2,44.1,0.91,Support Chat,0.88,462
316b52d2-5e79-4ad2-af67-154ddd770b66,2026-02-23,CUST-820605,0.13,7.73,71.2,72.28,6,65.46,2.37,Support Chat,0.74,288
bf799f55-eee9-4f7c-b1a2-22615436a8ec,2025-10-20,CUST-378288,0.71,4.83,86.36,64.67,3,76.34,2.62,Add-ons,0.75,390
deadad55-73de-4214-b46b-a9b0b34d325e,2026-05-06,CUST-894077,0.51,5.58,70.07,80.72,2,46.81,0.21,Support Chat,0.7,498
86a05dc4-a1f9-4f4e-86e9-f0c2922824ee,2025-11-22,CUST-444044,0.59,3.6,80.32,86.81,2,35.52,1.5,Usage Monitoring,0.8,93
0ebcf887-f2d7-4b65-a5ee-43928686a9af,2026-02-06,CUST-675852,0.72,4.02,91.26,69.82,1,39.84,2.3,Support Chat,0.94,495
82dac43a-ae1e-4370-8bc4-b227f3821b0d,2026-01-18,CUST-699845,0.4,8.62,91.67,61.11,7,70.38,1.55,Support Chat,0.83,434
25b69add-59e4-455f-bd96-b976d14d3eda,2025-08-31,CUST-198546,0.95,7.56,81.24,86.54,10,31.19,1.29,Add-ons,0.95,186
d828cbdb-27cf-4d66-8d4a-d3f4c3141487,2025-08-29,CUST-546842,0.34,7.78,78.08,63.5,8,57.3,0.33,Add-ons,0.67,458
bb5bdd77-4db2-40b6-97af-dccf57f42110,2026-05-26,CUST-145800,0.71,3.26,74.39,62.77,1,32.92,2.68,Usage Monitoring,0.84,256
e68597e6-354a-4333-93b2-47185f01e7a4,2025-10-13,CUST-487696,0.31,9.63,70.92,61.34,1,56.23,1.24,Support Chat,0.79,375
43d61930-4a68-4945-ac82-feee9fc72108,2026-01-12,CUST-869095,0.88,4.1,93.01,84.42,2,62.74,0.49,Usage Monitoring,0.9,427
d0e5223d-8c5c-44b3-aa07-2b47160162fc,2026-03-24,CUST-156174,0.62,8.06,85.76,85.9,8,78.5,1.97,Support Chat,0.73,182
c60ce8f0-6a5f-411e-b548-947587e7e0c8,2025-08-10,CUST-365560,0.82,5.3,78.95,71.68,5,73.41,1.64,Add-ons,0.77,143
7c3b9222-9a70-4f8d-8adb-b560b78d4277,2025-10-04,CUST-350255,0.02,7.29,70.93,63.14,7,67.54,0.51,Plan Change,0.75,484
5c4b37f5-fef1-49ad-8139-bf6cb7a03b4c,2026-02-23,CUST-346419,0.42,5.84,84.94,85.26,8,41.87,2.79,Support Chat,0.9,245
fcc84325-d1aa-4582-b737-9584151f5cbc,2026-06-28,CUST-453646,0.85,4.63,72.72,63.43,1,36.96,0.88,Plan Change,0.72,216
94a942aa-aa23-4352-abfa-340e845fa436,2025-08-17,CUST-803346,0.47,9.12,78.26,71.48,4,76.25,2.43,Support Chat,0.81,88
7e8de617-cc4b-4927-bfeb-a09187f2c328,2026-01-15,CUST-132572,0.11,8.28,72.31,60.29,2,74.89,1.52,Add-ons,0.92,415
b1b80f0d-8e81-45dd-8ac1-b15d788fe407,2025-12-01,CUST-520176,0.81,4.46,86.51,63.2,1,30.44,1.22,Add-ons,0.87,286
ac3cc67e-8619-4566-ac7e-6aafd9367f73,2025-10-23,CUST-870687,0.09,1.63,85.08,83.05,3,59.34,1.59,Add-ons,0.82,280
ae76c563-6ddd-48e4-b133-9cc9889b9309,2025-08-02,CUST-449927,0.62,2.31,87.43,66.54,5,79.92,2.3,Support Chat,1,312
81c536bf-b8fd-4eae-a2e7-dead45fa7a05,2026-01-12,CUST-155115,0.39,6.54,90.66,75.4,6,56.94,1.26,Support Chat,0.84,283
3a5679f0-ab69-475c-8f97-be2224a8a544,2026-01-08,CUST-920061,0.06,3.6,83.43,63.78,9,55.18,1.06,Support Chat,0.85,423
5b0dc066-1730-4483-9701-b48be7246d63,2026-01-10,CUST-166824,0.53,2.99,71.81,63.39,3,77.97,1.02,Usage Monitoring,0.6,330
491273fb-69c0-4990-b0b6-777fd27eb85f,2026-04-05,CUST-997562,0.65,7.94,90.45,80.26,5,45.15,2.44,Plan Change,0.85,409
7cf3468e-0aa6-4f4f-9a8f-d34b78714002,2026-01-25,CUST-450003,0.48,3.28,82.54,68.91,6,39.99,0.36,Plan Change,0.86,157
470fc6a0-fee2-4cd9-aff4-53fcec5d2b68,2026-02-18,CUST-438299,0.57,8.68,88.72,62.27,5,36.9,1.58,Usage Monitoring,0.83,311
7e1b9007-0cc8-4931-9d2f-af17c3418690,2025-11-08,CUST-729184,0.58,8.59,87.57,85.06,7,33.67,0.45,Add-ons,0.96,92
38f39c6c-8eca-41bc-842b-612545068608,2026-03-28,CUST-586131,0.88,3.55,76.01,75.85,2,58.77,0.27,Plan Change,0.81,287
355a1538-e601-401a-b970-d763e2be37c3,2026-06-08,CUST-128760,0.74,6.81,93.93,82.41,2,40.77,2.33,Support Chat,0.82,51
80de5968-4c3e-4f66-b9c2-cbfeb8bfbe02,2026-01-02,CUST-878270,0.56,3.94,88.94,83.93,8,42.04,1.03,Usage Monitoring,0.6,153
d4bb26a1-b0a3-4e0f-8d82-07306546dac2,2026-07-04,CUST-577339,0.44,6.84,79.64,89.56,7,55.78,2.47,Billing,0.64,350
40e399d0-33d4-4e2a-b13c-719f26fe6e86,2025-10-12,CUST-524391,0.2,4.26,76.37,75.59,7,40.4,2.67,Plan Change,0.92,396
f009645d-0706-4175-8e12-4076bfaef348,2026-06-23,CUST-752330,0.13,1.32,84.82,84.66,8,32.46,1.3,Support Chat,0.98,99
a9dfa90e-0ecf-4d9f-a4cd-70c4fe2c509c,2026-07-24,CUST-141681,0.91,4.94,78.05,68.86,1,52.85,1.84,Billing,0.78,367
336746de-6483-422f-90a9-c635bd32daea,2026-03-03,CUST-181897,0.28,4.3,74.88,80.03,4,35.45,0.53,Usage Monitoring,0.87,412
8a52a1de-e6bb-4b8c-bb8c-bc9b0759f8d3,2025-11-28,CUST-627209,0.63,7.97,78.89,85.22,1,78.42,0.2,Support Chat,0.94,83
d04fd25c-6eb9-4bdc-ae0b-0a4d58bc08ac,2026-04-21,CUST-690659,0.43,5.11,77.94,70.47,2,51.5,1.03,Plan Change,0.63,333
fe01e721-a589-48a4-b3bf-45ae8e0133d4,2026-01-25,CUST-967848,0.54,9.34,72.28,61.81,0,79.39,0.84,Usage Monitoring,0.79,390
2142ccec-6048-4769-a53e-4e2dbc3a07b6,2026-05-05,CUST-143904,0.99,4.5,75.83,85.82,2,43.3,0.34,Plan Change,0.7,413
0366a1b2-4a85-41aa-adaa-f9af99be832f,2026-05-06,CUST-487585,0.79,7.61,77.85,62.22,0,41.53,2.57,Plan Change,0.94,318
ca621b85-904d-46f0-8d45-8e0c6f1d89a7,2026-07-24,CUST-971484,0.89,9.25,76.41,80.7,8,34.65,0.78,Plan Change,0.97,227
0d32c25f-ae8e-48a8-a227-6919cce674ee,2025-10-22,CUST-878269,0.9,3.8,94.41,79.51,6,65.32,1.95,Billing,0.84,424
1902fe09-0d73-4579-83e7-d4aba481b9d7,2025-11-27,CUST-885886,0.75,8.64,83.31,67.76,0,73.11,1.97,Plan Change,0.97,462
93e151ec-3e39-4e23-a37d-b37ab31f1098,2026-03-28,CUST-657318,0.39,6.27,83.03,87.37,10,63.08,2.55,Support Chat,0.61,254
501db7ea-bcf9-41b7-a7dd-0aea293f57d2,2026-01-15,CUST-557897,0.08,2.43,78.31,61.76,1,52.81,0.82,Support Chat,0.74,444
0c4930e4-6ac2-452d-8f07-bdcd828a7b39,2026-05-04,CUST-569521,0.31,7.63,92.75,89.5,1,63.57,2.18,Plan Change,0.91,439
3424c73f-01d0-4396-b2e9-72a03cd8cbd0,2026-06-03,CUST-544094,0.56,8.87,78.03,82.49,8,35.99,0.72,Support Chat,0.71,178
e6e15d4c-054c-4dd5-9760-eb702f022e44,2026-07-23,CUST-951699,0.01,9.86,91.4,87.72,5,54.99,1.28,Plan Change,0.76,322
4d3a773b-3616-4f95-9229-571d54e1a448,2025-12-15,CUST-573360,0.21,3.89,88.12,77.17,7,74,0.74,Add-ons,0.8,454
e3f40370-9c30-44c4-bae3-e51b25a22d78,2025-07-28,CUST-342225,0.68,9.44,85.62,62.56,9,79.17,0.29,Billing,0.81,159
9b620a90-81a8-4bbb-8e81-04b0bbc3c179,2025-08-25,CUST-607619,0.52,2.09,93.88,78.91,8,53.99,1.46,Usage Monitoring,0.78,113
454880a5-ba4a-40bd-9577-4f947e203b3d,2026-01-13,CUST-150242,0.09,3.83,72.65,64.51,8,56.17,0.5,Billing,0.78,166
6d068812-8566-4104-9020-2806d5b6c214,2025-08-29,CUST-810872,0.49,5.2,82.2,69.72,3,61.06,1.13,Support Chat,0.63,168
3fdbc7a7-27af-4b86-924d-faeee16c866c,2026-03-26,CUST-374839,0.78,4.2,85.6,69.37,2,47.37,0.59,Billing,0.75,297
f8c460f8-4d3f-4396-9e90-62b14fd72eea,2026-02-09,CUST-810300,0.91,8.54,84.02,82.37,4,68.47,2.69,Billing,0.85,419
4ec7866a-838e-4de6-9272-a8c9abd49ad0,2026-06-21,CUST-328823,0.93,2.41,79.26,77.64,2,79.11,2.41,Billing,0.85,232
4bd79b62-3e3e-4269-82ed-680ddad13eff,2025-11-14,CUST-690451,0.4,9.02,90.48,60.19,0,68.22,0.49,Usage Monitoring,0.65,98
b98c44f2-a2ed-4fb9-8b4e-3a85a3590d48,2026-01-28,CUST-280105,0.35,5.59,92.25,64.75,2,62.49,2.29,Add-ons,0.75,236
20e02a9c-e04c-456c-9b09-b2456e4582d5,2026-04-27,CUST-952303,0.65,7.71,90.66,76.57,2,51.96,1.59,Usage Monitoring,0.77,93
41264f55-3343-4bdc-9952-1cdfa3295db6,2026-04-16,CUST-788930,0.67,1.52,89.29,67.37,4,66.13,1.41,Support Chat,0.65,134
58364ef0-899c-455e-8e37-b4cb1acc85a6,2026-07-08,CUST-472763,0.25,4.98,75.1,75.92,7,43.35,2.8,Usage Monitoring,0.61,205
608ba2ac-0f84-4064-b846-e073225e85cd,2026-02-12,CUST-361029,0.03,9.99,73.43,84.26,1,34.83,2.59,Plan Change,0.72,257
42261d8d-ca51-4ceb-82f6-85160e095056,2025-12-01,CUST-934752,0.47,5.34,72.57,82.54,2,78.37,2.37,Usage Monitoring,0.79,394
e76b4840-3497-4981-8904-71a6ffdf55d5,2026-03-11,CUST-498385,0.97,9.54,86.35,75.4,7,71.87,2.7,Billing,0.65,420
c81bfe25-8108-4a8d-8346-3d44ced35e58,2026-03-28,CUST-809528,0.51,6.07,94.19,69.8,9,56.23,2.36,Plan Change,0.64,206
11f86cfe-b94f-4be1-aa0a-7ddccfbf4fae,2025-11-06,CUST-537243,0.28,6.22,79.05,60.3,5,60.97,1.92,Add-ons,0.91,164
2ca8a1f1-8148-4741-9308-f9aaaabe6ad3,2025-08-29,CUST-616631,0.69,5.36,78.91,85.32,1,37.07,0.93,Billing,0.91,259
84bb0d69-e27e-48d2-9739-3b30c23b2f75,2025-10-03,CUST-841139,0.94,2.56,72.33,66.18,5,66.81,1.27,Usage Monitoring,0.76,202
a30cb4d4-4da6-4349-8619-b5df69b1d542,2025-08-15,CUST-537615,0.44,4.7,72,72.65,5,71.29,0.22,Add-ons,0.89,394
a8f2a65b-5888-4113-9aa3-07bafacb2b41,2026-02-21,CUST-573943,0.23,5.55,87.49,79,2,79.77,2.22,Usage Monitoring,0.83,355
dae1a407-5309-4112-a118-73f9e031ccb2,2025-10-29,CUST-520921,0.49,5.16,87.67,86.97,1,71.07,2.36,Add-ons,0.82,242
8e8b23a8-2cdb-4725-bfa1-c84070f46525,2026-04-26,CUST-359642,0.99,8.3,87.81,73.23,2,63.12,0.13,Plan Change,0.82,425
8a9e56a9-b055-4d09-a310-ba589df6c20e,2026-05-14,CUST-883078,0.46,6.06,78.71,87.64,3,55.19,2.84,Support Chat,0.92,378
3ed1b02a-50ec-4af6-9e93-75afe5e45bf5,2026-07-12,CUST-650836,0.03,3.42,94.66,69.24,5,78.74,1.82,Billing,0.85,469
ac8d8461-4675-409a-baa0-32faac6590eb,2026-01-16,CUST-448844,0.02,8.91,94.98,74.19,10,32.72,1.88,Plan Change,0.83,345
a1a66fe9-8434-41c6-b657-3194ae00c9fb,2025-08-26,CUST-568899,0.32,7,89.39,88.97,0,70.25,1.12,Usage Monitoring,0.88,262
8a8f4fe8-4092-47a2-9fac-74016e22bdb2,2026-04-16,CUST-354659,0.44,4.57,91.5,76.87,4,38.27,1.36,Plan Change,0.64,236
5975e3a3-fea4-4616-a109-cf33fcb9e16b,2025-09-14,CUST-699053,0.39,8,90.44,67.79,1,41.61,0.48,Support Chat,0.92,208
e5bb0484-9c0c-4bb0-a5be-345ffc84dd4c,2026-07-16,CUST-821275,0.48,3.23,94.72,64.2,6,68.42,0.51,Usage Monitoring,0.96,463
8adbd553-459b-4d4a-9065-19926e5c88f9,2026-03-05,CUST-269573,0.59,5.24,71.77,78,0,30.47,2.98,Billing,0.81,312
33d0b717-8260-45dd-9985-b1069550bf2d,2026-05-21,CUST-839013,0.32,8.56,79.27,63.07,8,71.32,0.24,Support Chat,0.83,454
409f9f64-18c0-453e-8352-6dfe425d241b,2026-01-06,CUST-750066,0.21,8.57,87.22,68.24,0,77.42,1.64,Support Chat,0.88,238
1602869a-8a73-4980-be29-b4bcd4b951e5,2025-07-31,CUST-735143,0.42,5.55,94.33,82.02,7,56.47,2.4,Support Chat,0.87,93
b79620ad-e5e6-40df-8dd5-5c93380c6946,2026-03-12,CUST-579319,0.69,6.57,93.3,79.16,2,39.6,0.81,Usage Monitoring,0.8,427
c1312e83-828a-4d11-8a6c-e6d1f8e9a431,2025-11-07,CUST-505554,0.24,5.27,81.58,64.78,8,47.36,2.84,Usage Monitoring,0.89,491
ea0439f0-009c-48eb-9e21-d619ace885da,2025-08-06,CUST-616249,0.91,6.88,78.66,72.69,3,72.45,0.22,Plan Change,0.99,393
3cdfbcf5-380e-4083-a2d8-ac825bb32cc2,2025-09-30,CUST-572981,0.91,1.05,93.6,89.18,5,36.13,0.18,Plan Change,0.8,190
2fb023a9-8f34-4707-857b-ee1c2bab6b89,2026-03-22,CUST-295799,0.1,4.42,72.55,77,8,54.84,0.92,Plan Change,0.72,273
3a11bc2a-e024-4837-916a-4acecbb8f796,2026-03-25,CUST-452860,0.76,9.24,89.31,67.38,3,50.2,0.79,Support Chat,0.95,355
0222fffc-f57c-48eb-adf4-326b3222d33c,2026-04-13,CUST-991920,0.95,6.1,72.08,76.59,9,78.93,1.92,Add-ons,0.77,425
3ae92253-b595-4bdd-9258-7838d76b6dfd,2026-05-02,CUST-636031,0.81,8.1,71.45,77.76,1,53.58,0.19,Support Chat,0.61,51
c372c50a-b5c0-404a-af22-a9ab54c5fd98,2025-10-24,CUST-586989,0.17,9.99,89.82,75.4,10,49.66,1.06,Billing,0.62,486
04af5f8f-3ca7-48c4-8ec0-6a1ebb86fa5d,2026-01-12,CUST-333206,0.09,1.45,78.22,71.18,1,72.34,0.82,Plan Change,0.98,479
020e77a6-a365-423e-85cc-92e91991e57e,2026-04-08,CUST-492886,0.69,4.98,78.22,72.1,9,48.58,0.9,Plan Change,0.76,338
9be8fe7c-19f3-4783-b86e-01179278dd48,2025-12-01,CUST-718121,0.6,5.97,84.9,76.74,0,33.4,0.74,Support Chat,0.77,396
4119fffa-8a11-4bcf-86f5-0f79a1556958,2026-04-09,CUST-163526,0.58,7.13,71.91,81.57,5,34.07,1.92,Plan Change,0.73,54
b1828c4a-6e6f-43c6-b2b0-c792aee5e370,2025-09-09,CUST-960815,0.85,1.71,86.92,70.39,6,38.32,2.44,Support Chat,0.68,378
4addbb87-ab2f-4e80-80be-bb99da7c34b9,2025-10-27,CUST-936976,0.85,7.95,79.19,67.67,8,72,1.53,Plan Change,0.87,468
74b5fc5f-8658-4553-bed5-924852c59946,2026-02-11,CUST-319035,0.1,9.75,81.04,67.11,0,35.78,2,Plan Change,0.62,67
34db7fc8-0b6b-4465-9192-89f4eadcedc7,2025-08-11,CUST-148221,0.29,4.97,74.82,75.22,5,40.03,1.55,Billing,0.84,303
f02b0729-fb88-4c78-8daa-66cf0d614c8f,2026-07-14,CUST-574633,0.69,7.05,73.9,74.7,2,53.11,2.39,Support Chat,0.75,157
2b0ad81c-8783-4370-989c-2f22e868d0c0,2026-02-02,CUST-345682,0.3,8.46,78.65,62.84,9,48.97,0.47,Billing,0.86,365
8b012f9f-9831-41fb-8529-887e73169249,2025-12-20,CUST-687835,0.61,2.64,86.45,86.04,5,57.48,1.42,Plan Change,0.94,394
